budget,contrast,changed_report_budget_cells,equal_series_mean_rougeL_difference,equal_report_mean_rougeL_difference,cluster_bootstrap_95_low,cluster_bootstrap_95_high,exact_series_signflip_p,holm_adjusted_p_four,bootstrap_samples,bootstrap_seed
5,extended_512_minus_production_256,0,0.0,0.0,0.0,0.0,1.0,1.0,10000,20261323
5,chunk_mean_254_minus_production_256,1,-0.0005692656089376694,-0.0015180416238337851,-0.0017077968268130084,0.0,1.0,1.0,10000,20261324
10,extended_512_minus_production_256,2,0.0005773124843038525,0.0004698788789417846,0.0,0.0014769257846939088,0.5,1.0,10000,20261823
10,chunk_mean_254_minus_production_256,2,0.00011539397838406934,-3.966704829109676e-05,-0.00043543279380717573,0.0007816147289593838,1.0,1.0,10000,20261824
