doc_id,report_series_id,condition,word_budget,selected_sentence_count,used_words,unused_words,selected_sentence_ids,rouge1_f1,rouge2_f1,rougeL_f1
nerc_001_november_13_wyoming_disturbance_report,nerc_001_november_13_wyoming_disturbance_report,c2ges_full,110,4,105,5,s00055|s00446|s00451|s00582,0.08897485493230174,0.016785022595222725,0.05673758865248227
nerc_001_november_13_wyoming_disturbance_report,nerc_001_november_13_wyoming_disturbance_report,c2ges_full,260,6,256,4,s00055|s00416|s00418|s00446|s00451|s00582,0.1774383078730905,0.047058823529411764,0.0963572267920094
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,lead,110,6,106,4,s00001|s00002|s00003|s00005|s00008|s00009,0.25252525252525254,0.08445945945945946,0.12457912457912458
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,lead,260,9,234,26,s00001|s00002|s00003|s00004|s00005|s00006|s00007|s00008|s00009,0.40997229916897504,0.13055555555555556,0.17174515235457063
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,centroid,110,4,108,2,s00006|s00012|s00016|s00049,0.2449664429530201,0.05050505050505051,0.1174496644295302
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,centroid,260,7,258,2,s00002|s00004|s00006|s00012|s00016|s00049|s00053,0.418230563002681,0.0967741935483871,0.1635388739946381
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,textrank,110,6,109,1,s00006|s00012|s00016|s00021|s00024|s00027,0.23450586264656614,0.06050420168067227,0.1306532663316583
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,textrank,260,10,210,50,s00004|s00006|s00011|s00012|s00016|s00019|s00021|s00024|s00027|s00049,0.37822349570200575,0.09770114942528735,0.19197707736389685
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,semantic_mmr,110,5,108,2,s00013|s00027|s00036|s00039|s00063,0.21812080536912754,0.020202020202020204,0.10738255033557048
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,semantic_mmr,260,9,227,33,s00006|s00013|s00027|s00036|s00039|s00044|s00047|s00063|s00067,0.36643356643356645,0.044880785413744746,0.13986013986013987
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,role,110,6,107,3,s00002|s00011|s00015|s00019|s00024|s00029,0.2756302521008403,0.09443507588532883,0.17478991596638654
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,role,260,8,237,23,s00002|s00011|s00015|s00019|s00024|s00028|s00029|s00048,0.4413793103448276,0.10788381742738588,0.20413793103448277
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,graph_no_cf_strict,110,3,103,7,s00002|s00006|s00011,0.25042301184433163,0.06791171477079797,0.12859560067681897
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,graph_no_cf_strict,260,7,238,22,s00002|s00006|s00011|s00012|s00029|s00049|s00053,0.4297520661157025,0.09668508287292818,0.17355371900826447
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,c2ges_full,110,4,108,2,s00006|s00012|s00024|s00049,0.25838926174496646,0.06397306397306397,0.13087248322147652
nerc_002_inverter_based_resource_disturbances_in_th,nerc_002_inverter_based_resource_disturbances_in_th,c2ges_full,260,7,235,25,s00002|s00006|s00012|s00024|s00029|s00049|s00053,0.42876901798063616,0.10263522884882108,0.17427385892116184
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,lead,110,6,105,5,s00001|s00002|s00003|s00004|s00005|s00006,0.14533443435177537,0.06120760959470637,0.08753096614368291
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,lead,260,10,220,40,s00001|s00002|s00003|s00004|s00005|s00006|s00007|s00008|s00009|s00010,0.2669683257918552,0.09818731117824774,0.12518853695324283
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,centroid,110,2,107,3,s00095|s00096,0.11541632316570487,0.02477291494632535,0.05605935696619951
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,centroid,260,7,260,0,s00072|s00095|s00096|s00127|s00128|s00135|s00136,0.21669106881405564,0.042521994134897365,0.09224011713030747
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,textrank,110,3,90,20,s00072|s00127|s00135,0.1003344481605351,0.020100502512562814,0.051839464882943144
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,textrank,260,7,246,14,s00072|s00095|s00096|s00100|s00127|s00135|s00136,0.21005917159763315,0.04296296296296297,0.09023668639053253
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,semantic_mmr,110,3,107,3,s00027|s00095|s00102,0.11541632316570487,0.028075970272502068,0.06265457543281121
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,semantic_mmr,260,10,235,25,s00014|s00017|s00023|s00027|s00095|s00102|s00123|s00127|s00144|s00146,0.23266219239373603,0.0642270351008215,0.09992542878448919
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,role,110,4,104,6,s00001|s00003|s00009|s00010,0.14214876033057852,0.04635761589403973,0.0859504132231405
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,role,260,8,257,3,s00001|s00003|s00009|s00010|s00018|s00039|s00064|s00099,0.26265590608950845,0.057310800881704635,0.1144534115920763
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,graph_no_cf_strict,110,2,109,1,s00043|s00074,0.09218106995884773,0.013190436933223413,0.044444444444444446
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,graph_no_cf_strict,260,5,258,2,s00001|s00043|s00075|s00095|s00129,0.20967741935483872,0.057268722466960346,0.09677419354838711
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,c2ges_full,110,2,106,4,s00039|s00043,0.09405940594059406,0.013223140495867768,0.04785478547854786
nerc_004_march_april_2022_california_battery_energy,nerc_004_march_april_2022_california_battery_energy,c2ges_full,260,5,256,4,s00001|s00018|s00043|s00072|s00075,0.2114537444933921,0.051470588235294115,0.09691629955947137
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,lead,110,5,103,7,s00001|s00002|s00003|s00004|s00005,0.1701199563794984,0.05901639344262295,0.1025081788440567
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,lead,260,10,185,75,s00001|s00002|s00003|s00004|s00005|s00006|s00007|s00008|s00009|s00010,0.25625625625625625,0.0641925777331996,0.1181181181181181
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,centroid,110,3,103,7,s00035|s00037|s00045,0.15485278080697928,0.028415300546448086,0.07633587786259542
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,centroid,260,8,237,23,s00017|s00034|s00035|s00037|s00042|s00045|s00076|s00083,0.26260704091341575,0.05719733079122974,0.10846812559467174
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,textrank,110,4,97,13,s00035|s00037|s00082|s00083,0.13391877058177826,0.024202420242024205,0.07683863885839737
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,textrank,260,10,241,19,s00034|s00035|s00037|s00045|s00082|s00083|s00085|s00088|s00092|s00101,0.24644549763033177,0.03608736942070275,0.10995260663507109
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,semantic_mmr,110,4,104,6,s00014|s00035|s00094|s00112,0.130718954248366,0.026200873362445417,0.07625272331154684
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,semantic_mmr,260,8,245,15,s00014|s00021|s00030|s00035|s00068|s00094|s00108|s00112,0.2738432483474976,0.07000946073793757,0.11709159584513691
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,role,110,4,109,1,s00009|s00016|s00018|s00081,0.13867822318526546,0.03040173724212812,0.07367280606717226
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,role,260,7,254,6,s00009|s00016|s00018|s00024|s00034|s00035|s00040,0.2958801498127341,0.0675422138836773,0.12359550561797752
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,graph_no_cf_strict,110,3,104,6,s00009|s00016|s00035,0.1328976034858388,0.028384279475982526,0.07407407407407407
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,graph_no_cf_strict,260,8,256,4,s00009|s00016|s00034|s00035|s00040|s00045|s00076|s00082,0.2803738317757009,0.054307116104868915,0.11588785046728972
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,c2ges_full,110,3,104,6,s00009|s00016|s00035,0.1328976034858388,0.028384279475982526,0.07407407407407407
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,c2ges_full,260,8,256,4,s00009|s00016|s00034|s00035|s00040|s00045|s00076|s00082,0.2803738317757009,0.054307116104868915,0.11588785046728972
nerc_006_june_2022_odessa_disturbance_report,series_odessa,lead,110,5,110,0,s00001|s00002|s00003|s00004|s00007,0.06702775897088693,0.029132791327913278,0.04197698036560596
nerc_006_june_2022_odessa_disturbance_report,series_odessa,lead,260,10,193,67,s00001|s00002|s00003|s00004|s00005|s00006|s00007|s00008|s00009|s00010,0.10997695093842606,0.04876441515650742,0.061903193941389545
nerc_006_june_2022_odessa_disturbance_report,series_odessa,centroid,110,1,98,12,s00217,0.04214819850441876,0.008843537414965987,0.02719238613188307
nerc_006_june_2022_odessa_disturbance_report,series_odessa,centroid,260,3,233,27,s00061|s00217|s00272,0.10594735131621709,0.036422764227642276,0.05914852128696783
nerc_006_june_2022_odessa_disturbance_report,series_odessa,textrank,110,2,90,20,s00061|s00486,0.04430811179277437,0.015006821282401092,0.027266530334014993
nerc_006_june_2022_odessa_disturbance_report,series_odessa,textrank,260,5,249,11,s00061|s00134|s00217|s00474|s00486,0.10539928871645653,0.025881591717890652,0.05108309085030714
nerc_006_june_2022_odessa_disturbance_report,series_odessa,semantic_mmr,110,3,106,4,s00196|s00245|s00456,0.056271186440677974,0.015603799185888736,0.034576271186440674
nerc_006_june_2022_odessa_disturbance_report,series_odessa,semantic_mmr,260,5,252,8,s00196|s00217|s00220|s00245|s00456,0.10981912144702843,0.027149321266968326,0.06007751937984497
nerc_006_june_2022_odessa_disturbance_report,series_odessa,role,110,2,103,7,s00020|s00060,0.04614862572107228,0.017657045840407472,0.031218187987784193
nerc_006_june_2022_odessa_disturbance_report,series_odessa,role,260,5,259,1,s00020|s00060|s00094|s00095|s00474,0.11537222043184017,0.038697194453402126,0.06445375443119562
nerc_006_june_2022_odessa_disturbance_report,series_odessa,graph_no_cf_strict,110,1,98,12,s00217,0.04214819850441876,0.008843537414965987,0.02719238613188307
nerc_006_june_2022_odessa_disturbance_report,series_odessa,graph_no_cf_strict,260,3,256,4,s00118|s00486|s00538,0.0761290322580645,0.018076178179470628,0.035483870967741936
nerc_006_june_2022_odessa_disturbance_report,series_odessa,c2ges_full,110,1,98,12,s00217,0.04214819850441876,0.008843537414965987,0.02719238613188307
nerc_006_june_2022_odessa_disturbance_report,series_odessa,c2ges_full,260,3,252,8,s00257|s00500|s00538,0.07493540051679586,0.0193923723335488,0.034237726098191215
nerc_009_odessa_disturbance_report,series_odessa,lead,110,1,105,5,s00001,0.060881417537482954,0.0354706684856753,0.043616537937301234
nerc_009_odessa_disturbance_report,series_odessa,lead,260,3,259,1,s00001|s00002|s00005,0.15456475583864118,0.07224819379515512,0.09341825902335456
nerc_009_odessa_disturbance_report,series_odessa,centroid,110,2,94,16,s00692|s00707,0.06940639269406393,0.02010968921389397,0.03652968036529681
nerc_009_odessa_disturbance_report,series_odessa,centroid,260,5,230,30,s00089|s00497|s00692|s00703|s00707,0.14961306964746346,0.047332185886402756,0.06362854686156492
nerc_009_odessa_disturbance_report,series_odessa,textrank,110,3,102,8,s00682|s00703|s00707,0.08098271155595997,0.03005464480874317,0.0445859872611465
nerc_009_odessa_disturbance_report,series_odessa,textrank,260,7,251,9,s00174|s00497|s00682|s00692|s00703|s00707|s00709,0.1763953983809118,0.06311300639658848,0.08265871325095868
nerc_009_odessa_disturbance_report,series_odessa,semantic_mmr,110,1,101,9,s00685,0.05644060081929905,0.007289293849658315,0.028220300409649526
nerc_009_odessa_disturbance_report,series_odessa,semantic_mmr,260,5,244,16,s00135|s00338|s00437|s00605|s00685,0.14615384615384616,0.03165098374679213,0.06153846153846154
nerc_009_odessa_disturbance_report,series_odessa,role,110,4,108,2,s00038|s00066|s00115|s00543,0.07894736842105263,0.028156221616712083,0.043557168784029036
nerc_009_odessa_disturbance_report,series_odessa,role,260,6,237,23,s00038|s00066|s00087|s00115|s00192|s00543,0.15602228889841407,0.04804804804804804,0.0702957565366481
nerc_009_odessa_disturbance_report,series_odessa,graph_no_cf_strict,110,2,80,30,s00174|s00692,0.06433823529411764,0.01931922723091076,0.034926470588235295
nerc_009_odessa_disturbance_report,series_odessa,graph_no_cf_strict,260,4,248,12,s00087|s00143|s00174|s00692,0.17064846416382254,0.04953031596925705,0.0733788395904437
nerc_009_odessa_disturbance_report,series_odessa,c2ges_full,110,2,80,30,s00174|s00692,0.06433823529411764,0.01931922723091076,0.034926470588235295
nerc_009_odessa_disturbance_report,series_odessa,c2ges_full,260,4,248,12,s00087|s00143|s00174|s00692,0.17064846416382254,0.04953031596925705,0.0733788395904437
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,lead,110,1,101,9,s00001,0.03914107094319109,0.019037258634756592,0.029355803207393318
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,lead,260,8,255,5,s00001|s00002|s00003|s00004|s00005|s00006|s00007|s00008,0.1027915470910514,0.04176455233620465,0.05374380380902687
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,centroid,110,2,103,7,s00124|s00177,0.04944308611790274,0.024463169339494426,0.03096984515077425
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,centroid,260,7,242,18,s00121|s00124|s00177|s00185|s00210|s00267|s00274,0.10261780104712041,0.04609743321110529,0.05654450261780104
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,textrank,110,3,98,12,s00121|s00124|s00274,0.043525571273122954,0.02231899836690256,0.02992383025027203
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,textrank,260,7,242,18,s00121|s00124|s00177|s00185|s00210|s00267|s00274,0.10261780104712041,0.04609743321110529,0.05654450261780104
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,semantic_mmr,110,3,99,11,s00060|s00177|s00229,0.046233342398694595,0.019047619047619046,0.030459613815610548
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,semantic_mmr,260,8,237,23,s00008|s00060|s00130|s00177|s00196|s00197|s00229|s00258,0.10694626474442989,0.044584316810910046,0.05609436435124509
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,role,110,1,101,9,s00001,0.03914107094319109,0.019037258634756592,0.029355803207393318
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,role,260,5,256,4,s00001|s00008|s00010|s00015|s00084,0.09337506520605113,0.0407098121085595,0.0505998956703182
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,graph_no_cf_strict,110,2,107,3,s00177|s00231,0.04993215739484396,0.019006244909041542,0.032564450474898234
