word_budget,condition,n_reports,mean_used_words,mean_selected_sentences,equal_report_mean_rougeL_f1,reports_with_unused_capacity
110,lead,15,105.6,4.066666666666666,0.0728292887901719,12
110,centroid,15,100.6,2.6666666666666665,0.0625912898118211,15
110,textrank,15,100.53333333333333,3.4,0.06486384836166396,14
110,semantic_mmr,15,104.0,3.3333333333333335,0.06269859319946983,14
110,role,15,100.73333333333333,3.1333333333333333,0.06936737931194045,15
110,graph_no_cf_strict,15,100.93333333333334,2.4,0.0616536342360759,15
110,c2ges_full,15,102.2,2.533333333333333,0.0636539022576534,15
260,lead,15,234.06666666666666,8.4,0.10849449207449445,15
260,centroid,15,245.33333333333334,5.866666666666666,0.09589693038135134,14
260,textrank,15,240.46666666666667,7.333333333333333,0.10010820722956187,15
260,semantic_mmr,15,244.06666666666666,7.066666666666666,0.09521675166289349,15
260,role,15,244.53333333333333,6.333333333333333,0.10177860738249699,15
260,graph_no_cf_strict,15,249.4,4.533333333333333,0.09862746109245268,15
260,c2ges_full,15,249.93333333333334,4.8,0.098838554866968,15
