protocol_sha256,arm,k,n_claims,mean_f1,seed_sd_f1
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,full,1,1500,0.6676987926670279,0.002094840750418824
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,full,3,1500,0.49104557520337705,0.002061591868285982
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,full,5,1500,0.41542948411066066,0.0005553840440800561
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,full,10,1500,0.35604633499785315,0.00030069644427332704
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,bm25,1,1500,0.6993632563514915,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,bm25,3,1500,0.4864023951739122,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,bm25,5,1500,0.4109063483357601,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,bm25,10,1500,0.3529582574411935,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,query_only,1,1500,0.6707915151297503,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,query_only,3,1500,0.4823640910230694,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,query_only,5,1500,0.4115459080135552,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,query_only,10,1500,0.3562366951647597,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,dense,1,1500,0.6020525781408134,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,dense,3,1500,0.46890598616496454,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,dense,5,1500,0.40328065474830194,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,dense,10,1500,0.35545264405531224,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,no_local,1,1500,0.6643565704448058,0.0037882911896712744
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,no_local,3,1500,0.4904248510038293,0.0017394468349583808
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,no_local,5,1500,0.41491482887482894,0.000454545468476039
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,no_local,10,1500,0.35619709429618673,8.325468065283509e-05
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,true_no_floor,1,1500,0.6808487493769846,0.0018173346044292494
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,true_no_floor,3,1500,0.4870861911451695,0.0014486534569560286
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,true_no_floor,5,1500,0.413987591406415,0.0006202040848456347
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,true_no_floor,10,1500,0.3560632386586469,0.00015727100785337315
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,true_no_role,1,1500,0.672836969675205,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,true_no_role,3,1500,0.48303345129242964,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,true_no_role,5,1500,0.4129398233574705,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,true_no_role,10,1500,0.3564280322495751,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,cross_encoder,1,1500,0.7260772775155129,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,cross_encoder,3,1500,0.501289385960903,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,cross_encoder,5,1500,0.41955510875433477,0.0
b1b2dc29fce3653e4e80a776faf3f2e903658564581635ea838b22761f9fd69b,cross_encoder,10,1500,0.3569417462972022,0.0
