backbone,metric,effect,estimate,ci_low,ci_high,clusters,bootstrap_samples
qwen,execution,context_package_main,-0.05277777777777778,-0.11314040765734744,0.0,70,20000
qwen,execution,structural_hint_main,0.23055555555555557,0.05725190839694656,0.4343442234848484,70,20000
qwen,execution,interaction,-0.12777777777777777,-0.24468085106382978,-0.0343130252100841,70,20000
qwen,structural_common,context_package_main,0.030555555555555555,-0.02100950906678459,0.09782608695652174,70,20000
qwen,structural_common,structural_hint_main,0.4083333333333333,0.21153350515463926,0.6122485737810971,70,20000
qwen,structural_common,interaction,-0.07222222222222222,-0.20513392857142848,0.022321428571428572,70,20000
granite,execution,context_package_main,0.013888888888888888,-0.058823529411764705,0.07909884208759835,70,20000
granite,execution,structural_hint_main,0.15833333333333333,-0.02073756620838671,0.3689328757951121,70,20000
granite,execution,interaction,0.06111111111111111,-0.051949350649350634,0.19886363636363635,70,20000
granite,structural_common,context_package_main,0.044444444444444446,-0.05652173913043478,0.13915318246954841,70,20000
granite,structural_common,structural_hint_main,0.35555555555555557,0.13520408163265307,0.5793117131910235,70,20000
granite,structural_common,interaction,0,-0.21808983151528236,0.20134228187919462,70,20000
