paper,experiment_id,method,method_role,repeat,hypervolume_proxy,budget_feasibility_rate,feasibility_rate,constraint_violation_rate,investment_cost_index,reliability_benefit_proxy,renewable_benefit_proxy,load_support_proxy,compliance_score,evidence_score,schedule_risk,implementation_risk,ranking_stability,trace_completeness,move_trace_completeness,dependency_balance,portfolio_size,local_move_count,runtime_s,source_status
p6,budget_constrained_selection,Greedy BCR,baseline,4,1.69417001,1.00000000,1.00000000,0.00000000,0.82061497,1.71500000,155.65683158,46.56000000,0.70000000,0.82000000,0.18000000,0.20000000,0.76460000,0.71840000,0.62400000,1.00000000,9,0,0.00016900,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,AHP-TOPSIS,baseline,1,1.73256756,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.80620000,0.86360000,0.72960000,1.00000000,9,0,0.00013330,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,AHP-TOPSIS,baseline,2,1.73256756,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.80620000,0.86360000,0.72960000,1.00000000,9,0,0.00013950,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,AHP-TOPSIS,baseline,3,1.73256756,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.80620000,0.86360000,0.72960000,1.00000000,9,0,0.00013150,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,AHP-TOPSIS,baseline,4,1.73256756,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.80620000,0.86360000,0.72960000,1.00000000,9,0,0.00014120,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Random Feasible,baseline,1,5.15436009,1.00000000,1.00000000,0.00000000,0.85460741,8.01761474,60.24039081,32.54952000,0.70000000,0.86750000,0.24500000,0.21779706,0.69400000,0.64085000,0.64000000,1.00000000,8,1,0.00008540,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Random Feasible,baseline,2,6.84687057,1.00000000,1.00000000,0.00000000,0.89359757,6.31429221,26.40834545,22.58971000,0.74250000,0.87500000,0.19750000,0.19389853,0.69400000,0.64250000,0.64000000,1.00000000,8,1,0.00006300,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Random Feasible,baseline,3,5.00957485,1.00000000,1.00000000,0.00000000,0.78999329,5.44579924,18.07838648,40.63699000,0.73333333,0.86222222,0.20000000,0.20124314,0.68066667,0.63968889,0.53777778,0.88888889,9,0,0.00004450,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Random Feasible,baseline,4,5.31202143,1.00000000,1.00000000,0.00000000,0.80003561,7.96654074,20.30764244,47.22998000,0.73111111,0.87333333,0.22888889,0.20693072,0.69400000,0.64213333,0.56000000,1.00000000,9,0,0.00004210,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoForwardSearch,ablation,1,1.59474007,1.00000000,1.00000000,0.00000000,0.36928253,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.83720000,1.00000000,1.00000000,4,5,0.00024720,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoForwardSearch,ablation,2,1.59474007,1.00000000,1.00000000,0.00000000,0.36928253,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.83720000,1.00000000,1.00000000,4,5,0.00025990,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoForwardSearch,ablation,3,1.59474007,1.00000000,1.00000000,0.00000000,0.36928253,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.83720000,1.00000000,1.00000000,4,5,0.00024870,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoForwardSearch,ablation,4,1.59474007,1.00000000,1.00000000,0.00000000,0.36928253,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.83720000,1.00000000,1.00000000,4,5,0.00024390,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoBackwardSearch,ablation,1,1.72553413,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.84400000,0.83720000,0.71040000,1.00000000,9,0,0.00050220,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoBackwardSearch,ablation,2,1.72553413,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.84400000,0.83720000,0.71040000,1.00000000,9,0,0.00048040,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoBackwardSearch,ablation,3,1.72553413,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.84400000,0.83720000,0.71040000,1.00000000,9,0,0.00048440,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoBackwardSearch,ablation,4,1.72553413,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.84400000,0.83720000,0.71040000,1.00000000,9,0,0.00048810,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-RandomMutationOnly,ablation,1,1.71381175,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78740000,0.79320000,0.67840000,1.00000000,9,0,0.00013190,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-RandomMutationOnly,ablation,2,1.71381175,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78740000,0.79320000,0.67840000,1.00000000,9,0,0.00013180,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-RandomMutationOnly,ablation,3,1.71381175,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78740000,0.79320000,0.67840000,1.00000000,9,0,0.00012990,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-RandomMutationOnly,ablation,4,1.71381175,1.00000000,1.00000000,0.00000000,0.82159759,1.71500000,157.74843158,47.19000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78740000,0.79320000,0.67840000,1.00000000,9,0,0.00012970,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoDependencyMoves,ablation,1,1.59474007,1.00000000,1.00000000,0.00000000,0.36928253,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.84920000,0.85480000,1.00000000,1.00000000,4,5,0.00059630,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoDependencyMoves,ablation,2,1.59474007,1.00000000,1.00000000,0.00000000,0.36928253,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.84920000,0.85480000,1.00000000,1.00000000,4,5,0.00060910,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoDependencyMoves,ablation,3,1.59474007,1.00000000,1.00000000,0.00000000,0.36928253,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.84920000,0.85480000,1.00000000,1.00000000,4,5,0.00059290,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoDependencyMoves,ablation,4,1.59474007,1.00000000,1.00000000,0.00000000,0.36928253,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.84920000,0.85480000,1.00000000,1.00000000,4,5,0.00063360,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoFeasibilityRecovery,ablation,1,1.59474007,1.00000000,1.00000000,0.00000000,0.36928253,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.73080000,0.84600000,1.00000000,1.00000000,4,5,0.00063840,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoFeasibilityRecovery,ablation,2,1.59474007,1.00000000,1.00000000,0.00000000,0.36928253,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.73080000,0.84600000,1.00000000,1.00000000,4,5,0.00064830,public_rts_simbench_nerc_project_review_v1
p6,budget_constrained_selection,Ablation-NoFeasibilityRecovery,ablation,3,1.59474007,1.00000000,1.00000000,0.00000000,0.36928253,0.76222222,78.89734737,23.62000000,0.70000000,0.82000000,0.18000000,0.20000000,0.73080000,0.84600000,1.00000000,1.00000000,4,5,0.00073750,public_rts_simbench_nerc_project_review_v1
