paper,experiment_id,method,method_role,seed,hypervolume,feasible_front_size,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,local_move_count,trace_event_count,decision_coverage,preference_achievement_distance,runtime_s,source_status
p6,budget_constrained_selection,BiLo-NSGA,proposed,24,0.16564096,39,0.96861749,22.16022831,59.56829797,0.28425778,12,3667,3667,1.00000000,nan,0.222295,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,25,0.15886173,39,0.99864958,21.44294176,46.05936013,0.28960778,12,3761,3761,1.00000000,nan,0.230466,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,26,0.16187310,37,0.98371776,21.92690015,79.08451481,0.28759112,12,3580,3580,1.00000000,nan,0.222589,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,27,0.17337460,39,0.99795883,24.32121989,4.25626240,0.30466604,12,3746,3746,0.98181818,nan,0.219387,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,28,0.17337732,39,0.96774403,24.63517829,58.68353077,0.30194937,12,3749,3749,1.00000000,nan,0.220090,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,BiLo-NSGA,proposed,29,0.14700922,37,0.96970798,19.26082279,60.55106417,0.26788286,12,3752,3752,1.00000000,nan,0.227490,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,0,0.15329050,40,0.98819772,20.81937491,0.90373360,0.27819943,10,0,0,0.00000000,nan,0.137628,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,1,0.16986338,40,0.94837014,24.86850644,30.20827393,0.29861604,12,0,0,0.00000000,nan,0.081826,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,2,0.15310351,40,0.98048292,20.72894962,14.96552401,0.27463286,12,0,0,0.00000000,nan,0.081994,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,3,0.16200124,40,0.99446775,22.57418671,29.61565897,0.29030778,12,0,0,0.00000000,nan,0.081604,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p6,budget_constrained_selection,NSGA-II,baseline,4,0.15543760,40,0.92996599,20.95122891,11.94754717,0.26393286,12,0,0,0.00000000,nan,0.082015,public_rts_simbench_nerc_project_review_v3_direct_family_controls
