paper,experiment_id,method,method_role,seed,hypervolume,feasible_front_size,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,local_move_count,trace_event_count,decision_coverage,runtime_s,source_status
p6,budget_constrained_selection,BiLo-NSGA,proposed,25,0.16596274,39,0.97324761,22.33022831,15.32930428,0.28495778,12,3557,3557,0.98113208,0.195125,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,BiLo-NSGA,proposed,26,0.17347479,39,0.97550339,23.95289173,63.78976977,0.30326604,12,3222,3222,0.98000000,0.177480,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,BiLo-NSGA,proposed,27,0.17334798,39,0.97744768,24.83350644,23.00685708,0.30264937,12,3573,3573,0.98000000,0.193066,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,BiLo-NSGA,proposed,28,0.16328357,39,0.96518612,22.16022831,52.40205797,0.28425778,12,3498,3498,0.95000000,0.185611,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,BiLo-NSGA,proposed,29,0.15805197,39,0.93554798,21.01905804,58.16760013,0.30244485,11,3486,3486,0.97727273,0.193703,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,0,0.15329050,40,0.98819772,20.81937491,0.90373360,0.27819943,10,0,0,0.00000000,0.080707,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,1,0.16986338,40,0.94837014,24.86850644,30.20827393,0.29861604,12,0,0,0.00000000,0.079532,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,2,0.15310351,40,0.98048292,20.72894962,14.96552401,0.27463286,12,0,0,0.00000000,0.080625,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,3,0.16200124,40,0.99446775,22.57418671,29.61565897,0.29030778,12,0,0,0.00000000,0.081111,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,4,0.15543760,40,0.92996599,20.95122891,11.94754717,0.26393286,12,0,0,0.00000000,0.079459,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,5,0.17011949,40,0.99601410,23.63443236,2.75914528,0.26643795,13,0,0,0.00000000,0.084387,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,6,0.17151347,40,0.88370524,26.66894247,1.97933520,0.33013559,11,0,0,0.00000000,0.083050,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,7,0.15291005,40,0.86071019,20.62596773,15.72498717,0.27443585,11,0,0,0.00000000,0.080970,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,8,0.17110615,40,0.92417940,26.23307955,1.23755593,0.29598271,12,0,0,0.00000000,0.079985,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,9,0.16626937,40,0.93759387,23.06231871,15.68917897,0.28294112,12,0,0,0.00000000,0.080674,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,10,0.16299854,40,0.99724404,22.57418671,35.52525897,0.29030778,12,0,0,0.00000000,0.079350,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,11,0.16838053,40,0.86040889,27.15290086,20.60000988,0.32793559,11,0,0,0.00000000,0.077816,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,12,0.15643428,40,0.96812596,21.47794176,46.95045697,0.28557445,12,0,0,0.00000000,0.080656,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,13,0.16211874,40,0.94506357,22.39355647,22.33320113,0.28092445,12,0,0,0.00000000,0.081850,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,14,0.17041409,40,0.99624270,24.08339076,2.46168313,0.26829949,13,0,0,0.00000000,0.077962,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,15,0.14236061,40,0.80474051,18.83751091,38.09162517,0.29019943,10,0,0,0.00000000,0.080256,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,16,0.15803471,40,0.96962329,21.47794176,50.03181697,0.28557445,12,0,0,0.00000000,0.079768,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,17,0.17119273,40,0.93777210,25.55079300,18.76059493,0.29729937,12,0,0,0.00000000,0.079981,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,18,0.16974592,40,0.93552076,25.99975139,12.91385277,0.29931604,12,0,0,0.00000000,0.079641,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,19,0.17025102,40,0.86151096,25.12690928,20.75555493,0.31083568,11,0,0,0.00000000,0.081297,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,20,0.13913883,40,0.97924631,18.30657331,20.85199437,0.25360794,12,0,0,0.00000000,0.079824,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,21,0.17049203,40,0.87532068,23.94309067,38.23883293,0.31370841,11,0,0,0.00000000,0.079903,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,22,0.16207749,40,0.98709565,22.84536649,1.07746856,0.29700934,10,0,0,0.00000000,0.079955,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,23,0.14525463,40,0.91033453,19.67535302,20.11802617,0.28390858,11,0,0,0.00000000,0.080174,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,24,0.16243250,40,0.96861749,22.16022831,59.40701797,0.28425778,12,0,0,0.00000000,0.080576,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,25,0.15079809,40,0.99790137,20.58604675,9.26203045,0.28219943,10,0,0,0.00000000,0.086991,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,26,0.17014404,40,0.93567140,23.97375981,11.04419781,0.28364112,12,0,0,0.00000000,0.085543,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,27,0.16359052,40,0.96568300,22.53957473,12.59090428,0.30100934,10,0,0,0.00000000,0.081559,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,28,0.15558629,40,0.92592633,21.28317960,2.70973033,0.26059953,12,0,0,0.00000000,0.079102,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-II,baseline,29,0.14828190,40,0.86897402,19.49472278,23.01500833,0.27367221,11,0,0,0.00000000,0.081601,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,0,0.13540159,40,0.87690095,17.49323405,35.91821021,0.26020866,11,0,0,0.00000000,0.102910,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,1,0.14989674,40,0.95028328,20.36756489,30.81674617,0.26524953,12,0,0,0.00000000,0.099464,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,2,0.15897227,40,0.87320082,21.96967275,33.39152113,0.29297213,11,0,0,0.00000000,0.100227,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,3,0.15132484,40,0.70049673,20.80765256,20.87780644,0.31796593,9,0,0,0.00000000,0.101581,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,4,0.13305084,40,0.84289784,17.41230944,2.81395868,0.25073594,11,0,0,0.00000000,0.098647,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,5,0.14660520,40,0.96671466,19.68527833,54.35194517,0.26656620,12,0,0,0.00000000,0.100774,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,6,0.15013662,40,0.53666651,20.29183582,0.02766960,0.36069906,7,0,0,0.00000000,0.101240,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,7,0.14051649,40,0.93756405,18.57490147,14.28599437,0.24624127,12,0,0,0.00000000,0.098392,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,8,0.15065852,40,0.97463934,20.31904058,14.61282617,0.27261620,12,0,0,0.00000000,0.100628,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,9,0.14198605,40,0.92403151,18.82661480,10.46589221,0.24825794,12,0,0,0.00000000,0.101382,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,10,0.14510835,40,0.84971689,19.28226270,1.37669321,0.25589957,11,0,0,0.00000000,0.100019,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,11,0.12888424,40,0.99198652,16.84337767,38.71431237,0.25624127,12,0,0,0.00000000,0.098521,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,12,0.15695336,40,0.97221687,21.44961360,59.95573697,0.28557445,12,0,0,0.00000000,0.102208,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,13,0.15849571,40,0.86915002,21.94134460,28.76736113,0.29297213,11,0,0,0.00000000,0.099126,public_rts_simbench_nerc_project_review_v2_real_algorithms
