doc_id,report_series_id,budget,variant,selected_sentence_ids,rouge1_f1,rouge2_f1,rougeL_f1,redundancy,overlap_with_full,overlap_with_historical_strict,normalized_vs_strict_changed
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,10,full,s00009|s00016|s00018|s00034|s00035|s00040|s00045|s00052|s00076|s00082,0.3267857142857143,0.07513416815742398,0.13035714285714287,0.06668308412973696,1.0,0.8,0
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,10,historical_strict_no_path,s00009|s00016|s00034|s00035|s00040|s00045|s00047|s00076|s00082|s00102,0.32446808510638303,0.063943161634103,0.12411347517730496,0.07403609543399614,0.8,1.0,0
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,10,normalized_no_path,s00009|s00016|s00034|s00035|s00040|s00045|s00047|s00076|s00082|s00102,0.32446808510638303,0.063943161634103,0.12411347517730496,0.07403609543399614,0.8,1.0,0
nerc_006_june_2022_odessa_disturbance_report,series_odessa,5,full,s00217|s00257|s00273|s00500|s00538,0.14067278287461774,0.0397796817625459,0.06238532110091744,0.05824058901449754,1.0,0.6,0
nerc_006_june_2022_odessa_disturbance_report,series_odessa,5,historical_strict_no_path,s00118|s00217|s00273|s00486|s00538,0.1417226634086744,0.03850855745721271,0.06414172266340867,0.07252221931243026,0.6,1.0,0
nerc_006_june_2022_odessa_disturbance_report,series_odessa,5,normalized_no_path,s00118|s00217|s00273|s00486|s00538,0.1417226634086744,0.03850855745721271,0.06414172266340867,0.07252221931243026,0.6,1.0,0
nerc_006_june_2022_odessa_disturbance_report,series_odessa,10,full,s00217|s00220|s00257|s00273|s00486|s00500|s00521|s00523|s00532|s00538,0.19775151340443933,0.055956158061724826,0.0761026232343615,0.06925039615796602,1.0,0.6,0
nerc_006_june_2022_odessa_disturbance_report,series_odessa,10,historical_strict_no_path,s00060|s00118|s00217|s00273|s00355|s00486|s00487|s00500|s00523|s00538,0.24097723486951697,0.07055555555555555,0.09217101610216547,0.06447374930366086,0.6,1.0,0
nerc_006_june_2022_odessa_disturbance_report,series_odessa,10,normalized_no_path,s00060|s00118|s00217|s00273|s00355|s00486|s00487|s00500|s00523|s00538,0.24097723486951697,0.07055555555555555,0.09217101610216547,0.06447374930366086,0.6,1.0,0
nerc_009_odessa_disturbance_report,series_odessa,5,full,s00087|s00089|s00143|s00174|s00692,0.20372670807453416,0.06299212598425197,0.08115942028985507,0.07048107199148483,1.0,1.0,0
nerc_009_odessa_disturbance_report,series_odessa,5,historical_strict_no_path,s00087|s00089|s00143|s00174|s00692,0.20372670807453416,0.06299212598425197,0.08115942028985507,0.07048107199148483,1.0,1.0,0
nerc_009_odessa_disturbance_report,series_odessa,5,normalized_no_path,s00087|s00089|s00143|s00174|s00692,0.20372670807453416,0.06299212598425197,0.08115942028985507,0.07048107199148483,1.0,1.0,0
nerc_009_odessa_disturbance_report,series_odessa,10,full,s00087|s00089|s00142|s00143|s00174|s00431|s00483|s00611|s00685|s00692,0.3518452167681834,0.10326281821441378,0.1175206019347904,0.07296513818952914,1.0,0.9,0
nerc_009_odessa_disturbance_report,series_odessa,10,historical_strict_no_path,s00035|s00087|s00089|s00142|s00143|s00174|s00483|s00611|s00685|s00692,0.34569679510262874,0.10450450450450449,0.117392870003601,0.07785428718668562,0.9,1.0,0
nerc_009_odessa_disturbance_report,series_odessa,10,normalized_no_path,s00035|s00087|s00089|s00142|s00143|s00174|s00483|s00611|s00685|s00692,0.34569679510262874,0.10450450450450449,0.117392870003601,0.07785428718668562,0.9,1.0,0
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,5,full,s00072|s00177|s00208|s00217|s00231,0.11253598534415075,0.045561665357423405,0.06019366657942946,0.09645407148698557,1.0,0.8,0
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,5,historical_strict_no_path,s00001|s00177|s00208|s00217|s00231,0.13644524236983843,0.057993328201180395,0.06873557322390357,0.07842324585222069,0.8,1.0,0
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,5,normalized_no_path,s00001|s00177|s00208|s00217|s00231,0.13644524236983843,0.057993328201180395,0.06873557322390357,0.07842324585222069,0.8,1.0,0
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,10,full,s00001|s00047|s00072|s00177|s00208|s00217|s00218|s00226|s00230|s00231,0.20496436470877366,0.08261617900172118,0.08847382649299582,0.07019852752268686,1.0,0.8,0
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,10,historical_strict_no_path,s00001|s00047|s00072|s00124|s00177|s00208|s00217|s00230|s00231|s00234,0.20521653543307086,0.09158050221565732,0.08809055118110237,0.07984447807681955,0.8,1.0,0
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,10,normalized_no_path,s00001|s00047|s00072|s00124|s00177|s00208|s00217|s00230|s00231|s00234,0.20521653543307086,0.09158050221565732,0.08809055118110237,0.07984447807681955,0.8,1.0,0
