budget,variant,mean_rouge1_f1,mean_rouge2_f1,mean_rougeL_f1,mean_redundancy
5,full,0.23587573235783105,0.06112013285136355,0.10604353776914528,0.07453433648364403
5,historical_strict_no_path,0.24972947724864422,0.06481031362296187,0.10937580695821687,0.07979424719853602
5,normalized_no_path,0.2513707167863871,0.06562137221796469,0.10989043675039849,0.08079425410609427
10,full,0.3366118252030732,0.08738987662632705,0.1276357894288674,0.06668934315467706
10,historical_strict_no_path,0.34712268414966874,0.0930059688346797,0.13099622461045224,0.07464284232701397
10,normalized_no_path,0.34849042282340853,0.09275192319792266,0.13043525522165048,0.07641466692709975
