budget,contrast,full_vs_normalized_changed_reports,normalized_vs_historical_strict_changed_reports,equal_series_mean_rougeL_difference,equal_report_mean_rougeL_difference,cluster_bootstrap_95_low,cluster_bootstrap_95_high,exact_series_signflip_p,holm_adjusted_p_two,bootstrap_samples,bootstrap_seed
5,full_minus_normalized_no_path,14,1,-0.006129507926999203,-0.0038468989812531994,-0.015907867508984146,0.0016600490489901674,0.220703125,0.44140625,10000,20260828
10,full_minus_normalized_no_path,14,3,-0.003931816134769442,-0.0027994657927830737,-0.010059951455239682,0.0010390638525783796,0.2265625,0.44140625,10000,20260833
