paper,experiment_id,param_axis,param_value,population_size,method,method_role,n_seeds,mean_hypervolume,std_hypervolume,min_hypervolume,max_hypervolume,hv_seed_values,mw_p_value_vs_reference,rank_vs_reference,source_status
p4,deterministic_vs_scenario,population_size,20,20,SHIELD-MOEA,proposed,10,0.25827118,0.01553680,0.22944613,0.27425989,0.27288306;0.25032983;0.23533269;0.25547945;0.26442052;0.26986680;0.27425989;0.26410812;0.26658535;0.22944613,0.0113297,proposed_above,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,population_size,20,20,NSGA-II,baseline_reference,10,0.23603521,0.01428121,0.20759489,0.25236370,0.24366492;0.20759489;0.24500920;0.24991325;0.24025487;0.23571448;0.21582395;0.25236370;0.23465955;0.23535326,0.0113297,reference,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,population_size,40,40,SHIELD-MOEA,proposed,10,0.26735580,0.01078940,0.24512018,0.27868523,0.25754859;0.24512018;0.27327322;0.26952050;0.27845697;0.27039316;0.27868523;0.26220588;0.27703270;0.26132160,0.00728456,proposed_above,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,population_size,40,40,NSGA-II,baseline_reference,10,0.25273007,0.00742626,0.24350954,0.26512935,0.25231715;0.26206710;0.24862826;0.26512935;0.25934313;0.25425663;0.24438733;0.24691542;0.25074675;0.24350954,0.00728456,reference,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,population_size,60,60,SHIELD-MOEA,proposed,10,0.26708924,0.01199946,0.24758340,0.28253845,0.26880497;0.27558126;0.28253845;0.27352234;0.26409543;0.24789581;0.24758340;0.26021767;0.27525772;0.27539537,0.10411,proposed_above,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,population_size,60,60,NSGA-II,baseline_reference,10,0.26097945,0.00560261,0.25429691,0.26830131,0.25773226;0.26827513;0.25911109;0.25429691;0.26735062;0.26830131;0.25761873;0.25818976;0.25432684;0.26459181,0.10411,reference,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,screen_k,2,40,SHIELD-MOEA,proposed,10,0.27152970,0.00621507,0.26006719,0.28082665,0.26998720;0.26006719;0.27205073;0.26870387;0.28082665;0.27707319;0.27764918;0.26668395;0.26743957;0.27481550,0.000329839,proposed_above,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,screen_k,2,40,NSGA-II,baseline_reference,10,0.25273007,0.00742626,0.24350954,0.26512935,0.25231715;0.26206710;0.24862826;0.26512935;0.25934313;0.25425663;0.24438733;0.24691542;0.25074675;0.24350954,0.000329839,reference,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,screen_k,4,40,SHIELD-MOEA,proposed,10,0.26583320,0.01084288,0.24667891,0.28145207,0.25280190;0.27586192;0.26416205;0.24667891;0.26500217;0.27443376;0.27359964;0.25969232;0.26464723;0.28145207,0.0140193,proposed_above,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,screen_k,4,40,NSGA-II,baseline_reference,10,0.25273007,0.00742626,0.24350954,0.26512935,0.25231715;0.26206710;0.24862826;0.26512935;0.25934313;0.25425663;0.24438733;0.24691542;0.25074675;0.24350954,0.0140193,reference,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,screen_k,8,40,SHIELD-MOEA,proposed,10,0.27011613,0.00793003,0.25695895,0.27883050,0.27883050;0.27730582;0.26144534;0.27858089;0.26087827;0.26822314;0.27131225;0.27440646;0.27321968;0.25695895,0.00131494,proposed_above,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,screen_k,8,40,NSGA-II,baseline_reference,10,0.25273007,0.00742626,0.24350954,0.26512935,0.25231715;0.26206710;0.24862826;0.26512935;0.25934313;0.25425663;0.24438733;0.24691542;0.25074675;0.24350954,0.00131494,reference,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,screen_every,3,40,SHIELD-MOEA,proposed,10,0.26880478,0.00735627,0.25437822,0.27960551,0.26941420;0.27366113;0.25935787;0.27433229;0.26689838;0.27960551;0.27205916;0.27058569;0.25437822;0.26775539,0.000768539,proposed_above,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,screen_every,3,40,NSGA-II,baseline_reference,10,0.25273007,0.00742626,0.24350954,0.26512935,0.25231715;0.26206710;0.24862826;0.26512935;0.25934313;0.25425663;0.24438733;0.24691542;0.25074675;0.24350954,0.000768539,reference,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,screen_every,5,40,SHIELD-MOEA,proposed,10,0.26874529,0.00849340,0.25246593,0.28296863,0.27394311;0.27444880;0.27020820;0.26396023;0.25246593;0.26194122;0.28296863;0.27091611;0.26350807;0.27309260,0.00170625,proposed_above,public_simbench_planning_sensitivity_v1
p4,deterministic_vs_scenario,screen_every,5,40,NSGA-II,baseline_reference,10,0.25273007,0.00742626,0.24350954,0.26512935,0.25231715;0.26206710;0.24862826;0.26512935;0.25934313;0.25425663;0.24438733;0.24691542;0.25074675;0.24350954,0.00170625,reference,public_simbench_planning_sensitivity_v1
