paper,method,method_role,mean_hypervolume_proxy,mean_constraint_violation_rate,mean_investment_cost_index,mean_loss_index,mean_voltage_risk,mean_hosting_capacity,mean_der_readiness,mean_flexibility_ratio,mean_subnet_coverage,mean_kind_diversity,mean_survivability_rate,mean_runtime_s,runs
p4,SHIELD-MOEA,proposed,0.79432775,0.01653255,0.95151438,0.12462474,0.17829045,0.00008215,0.35483871,0.02500000,1.00000000,0.28125000,0.98125000,0.00028068,24
p4,MOEA/D,baseline,0.77286075,0.02128085,0.84697567,0.12429972,0.18308634,0.00028208,0.44666325,0.09914021,1.00000000,0.42708333,0.96456908,0.00007255,24
p4,Ablation-NoScenarioScreen,ablation,0.76928208,0.02294350,0.75682382,0.12483675,0.18476983,0.00019684,0.41890681,0.07903439,0.99305556,0.39583333,0.96398256,0.00007366,24
p4,Ablation-NoRepair,ablation,0.76260683,0.05378696,0.88901734,0.12401662,0.18243337,0.00029853,0.43817204,0.09583333,1.00000000,0.40625000,0.97981366,0.00007295,24
p4,Ablation-NoOutage,ablation,0.76100783,0.02161286,0.82669319,0.12443571,0.18341245,0.00025210,0.45026882,0.10416667,0.97916667,0.39583333,0.94545667,0.00007690,24
p4,NSGA-II,baseline,0.76093446,0.02179868,0.84372048,0.12416737,0.18360417,0.00032052,0.47715054,0.12500000,0.97916667,0.42708333,0.94526804,0.00007614,24
p4,GA,baseline,0.74311381,0.02370500,0.82709361,0.12363284,0.18554979,0.00040110,0.58002112,0.22966270,1.00000000,0.58333333,0.95129438,0.00011511,24
p4,Ablation-NoResilienceObj,ablation,0.72458753,0.02450735,0.87922912,0.12281524,0.18633853,0.00069824,0.66084229,0.27083333,0.96527778,0.55208333,0.90805883,0.00009068,24
p4,Weighted Sum,baseline,0.45139408,0.03240373,0.43017204,0.12678636,0.19432777,0.00000722,1.00000000,1.00000000,1.00000000,0.25000000,0.49954242,0.00007867,24
p4,Deterministic Planning,baseline,0.45139408,0.03240373,0.43017204,0.12678636,0.19432777,0.00000722,1.00000000,1.00000000,1.00000000,0.25000000,0.49954242,0.00007433,24
