paper,experiment_id,comparison,opponent_role,n_per_group,mean_proposed,mean_opponent,mean_diff,u_statistic,p_value,p_holm,significant_005_holm
p4,der_uncertainty,SHIELD-MOEA vs Ablation-NoOutage,ablation,30,0.27136646,0.26757763,0.00378883,584.00,0.0484135,0.1262,False
p4,der_uncertainty,SHIELD-MOEA vs Ablation-NoRepair,ablation,30,0.27136646,0.24895774,0.02240872,881.00,1.95678e-10,9.7839e-10,True
p4,der_uncertainty,SHIELD-MOEA vs Ablation-NoResilienceObj,ablation,30,0.27136646,0.26744814,0.00391832,588.00,0.0420668,0.1262,False
p4,der_uncertainty,SHIELD-MOEA vs Ablation-NoScenarioScreen,ablation,30,0.27136646,0.26835890,0.00300756,558.00,0.111987,0.1262,False
p4,der_uncertainty,SHIELD-MOEA vs Deterministic Planning,baseline,30,0.27136646,0.02440943,0.24695703,900.00,1.21178e-12,1.21178e-11,True
p4,der_uncertainty,SHIELD-MOEA vs GA,baseline,30,0.27136646,0.21069940,0.06066706,900.00,1.40589e-11,9.84123e-11,True
p4,der_uncertainty,SHIELD-MOEA vs MOEA/D,baseline,30,0.27136646,0.00047204,0.27089442,900.00,1.21178e-12,1.21178e-11,True
p4,der_uncertainty,SHIELD-MOEA vs NSGA-II,baseline,30,0.27136646,0.25471323,0.01665323,887.00,1.09367e-10,6.56202e-10,True
p4,der_uncertainty,SHIELD-MOEA vs NSGA-II+Repair,baseline,30,0.27136646,0.25501841,0.01634805,878.00,2.60985e-10,1.04394e-09,True
p4,der_uncertainty,SHIELD-MOEA vs Weighted Sum,baseline,30,0.27136646,0.02050950,0.25085696,900.00,1.21178e-12,1.21178e-11,True
p4,deterministic_vs_scenario,SHIELD-MOEA vs Ablation-NoOutage,ablation,30,0.26958535,0.26594348,0.00364187,577.00,0.0614519,0.122904,False
p4,deterministic_vs_scenario,SHIELD-MOEA vs Ablation-NoRepair,ablation,30,0.26958535,0.24471335,0.02487200,856.00,2.0338e-09,1.22028e-08,True
p4,deterministic_vs_scenario,SHIELD-MOEA vs Ablation-NoResilienceObj,ablation,30,0.26958535,0.26839102,0.00119433,503.00,0.437641,0.437641,False
p4,deterministic_vs_scenario,SHIELD-MOEA vs Ablation-NoScenarioScreen,ablation,30,0.26958535,0.26564326,0.00394209,595.00,0.0326509,0.0979528,False
p4,deterministic_vs_scenario,SHIELD-MOEA vs Deterministic Planning,baseline,30,0.26958535,0.02440943,0.24517592,900.00,1.21178e-12,1.21178e-11,True
p4,deterministic_vs_scenario,SHIELD-MOEA vs GA,baseline,30,0.26958535,0.21155854,0.05802681,900.00,1.24547e-11,8.71829e-11,True
p4,deterministic_vs_scenario,SHIELD-MOEA vs MOEA/D,baseline,30,0.26958535,0.00048140,0.26910395,900.00,1.72025e-12,1.3762e-11,True
p4,deterministic_vs_scenario,SHIELD-MOEA vs NSGA-II,baseline,30,0.26958535,0.25443645,0.01514890,806.00,1.47332e-07,5.89327e-07,True
p4,deterministic_vs_scenario,SHIELD-MOEA vs NSGA-II+Repair,baseline,30,0.26958535,0.25322398,0.01636137,852.00,2.92155e-09,1.46077e-08,True
p4,deterministic_vs_scenario,SHIELD-MOEA vs Weighted Sum,baseline,30,0.26958535,0.02050950,0.24907585,900.00,1.21178e-12,1.21178e-11,True
p4,load_uncertainty,SHIELD-MOEA vs Ablation-NoOutage,ablation,30,0.26210523,0.26100818,0.00109705,454.00,0.958731,0.958731,False
p4,load_uncertainty,SHIELD-MOEA vs Ablation-NoRepair,ablation,30,0.26210523,0.23875202,0.02335321,868.00,6.72195e-10,4.03317e-09,True
p4,load_uncertainty,SHIELD-MOEA vs Ablation-NoResilienceObj,ablation,30,0.26210523,0.26421465,-0.00210942,360.00,0.185767,0.557301,False
p4,load_uncertainty,SHIELD-MOEA vs Ablation-NoScenarioScreen,ablation,30,0.26210523,0.25871092,0.00339431,532.00,0.22823,0.557301,False
p4,load_uncertainty,SHIELD-MOEA vs Deterministic Planning,baseline,30,0.26210523,0.02417130,0.23793393,900.00,1.21178e-12,1.21178e-11,True
p4,load_uncertainty,SHIELD-MOEA vs GA,baseline,30,0.26210523,0.20635318,0.05575205,900.00,1.33688e-11,9.35817e-11,True
p4,load_uncertainty,SHIELD-MOEA vs MOEA/D,baseline,30,0.26210523,0.00047204,0.26163319,900.00,1.21178e-12,1.21178e-11,True
p4,load_uncertainty,SHIELD-MOEA vs NSGA-II,baseline,30,0.26210523,0.24771758,0.01438764,829.00,2.19474e-08,1.09737e-07,True
p4,load_uncertainty,SHIELD-MOEA vs NSGA-II+Repair,baseline,30,0.26210523,0.24767843,0.01442679,817.00,6.01039e-08,2.40415e-07,True
p4,load_uncertainty,SHIELD-MOEA vs Weighted Sum,baseline,30,0.26210523,0.01970659,0.24239864,900.00,1.21178e-12,1.21178e-11,True
p4,outage_contingency,SHIELD-MOEA vs Ablation-NoOutage,ablation,30,0.26981804,0.26250102,0.00731702,623.00,0.0107626,0.0322878,True
p4,outage_contingency,SHIELD-MOEA vs Ablation-NoRepair,ablation,30,0.26981804,0.24632332,0.02349472,874.00,3.82016e-10,2.2921e-09,True
p4,outage_contingency,SHIELD-MOEA vs Ablation-NoResilienceObj,ablation,30,0.26981804,0.26849044,0.00132761,494.00,0.520145,1,False
p4,outage_contingency,SHIELD-MOEA vs Ablation-NoScenarioScreen,ablation,30,0.26981804,0.26899102,0.00082702,489.00,0.56922,1,False
p4,outage_contingency,SHIELD-MOEA vs Deterministic Planning,baseline,30,0.26981804,0.02271571,0.24710233,900.00,1.21178e-12,1.21178e-11,True
p4,outage_contingency,SHIELD-MOEA vs GA,baseline,30,0.26981804,0.21344906,0.05636898,900.00,1.24547e-11,8.71829e-11,True
p4,outage_contingency,SHIELD-MOEA vs MOEA/D,baseline,30,0.26981804,0.00047204,0.26934600,900.00,1.21178e-12,1.21178e-11,True
p4,outage_contingency,SHIELD-MOEA vs NSGA-II,baseline,30,0.26981804,0.25224440,0.01757364,838.00,1.01045e-08,5.05227e-08,True
p4,outage_contingency,SHIELD-MOEA vs NSGA-II+Repair,baseline,30,0.26981804,0.25599490,0.01382314,809.00,1.15665e-07,4.62662e-07,True
p4,outage_contingency,SHIELD-MOEA vs Weighted Sum,baseline,30,0.26981804,0.01904103,0.25077701,900.00,1.21178e-12,1.21178e-11,True
p4,pareto_quality,SHIELD-MOEA vs Ablation-NoOutage,ablation,30,0.26651628,0.26635542,0.00016086,480.00,0.662735,1,False
p4,pareto_quality,SHIELD-MOEA vs Ablation-NoRepair,ablation,30,0.26651628,0.24359485,0.02292143,837.00,1.10234e-08,6.61404e-08,True
p4,pareto_quality,SHIELD-MOEA vs Ablation-NoResilienceObj,ablation,30,0.26651628,0.26856797,-0.00205169,376.00,0.277189,0.831568,False
p4,pareto_quality,SHIELD-MOEA vs Ablation-NoScenarioScreen,ablation,30,0.26651628,0.26658452,-0.00006824,441.00,0.899995,1,False
p4,pareto_quality,SHIELD-MOEA vs Deterministic Planning,baseline,30,0.26651628,0.02440943,0.24210685,900.00,1.21178e-12,1.21178e-11,True
p4,pareto_quality,SHIELD-MOEA vs GA,baseline,30,0.26651628,0.20726284,0.05925344,900.00,1.0149e-11,7.10428e-11,True
p4,pareto_quality,SHIELD-MOEA vs MOEA/D,baseline,30,0.26651628,0.00047204,0.26604424,900.00,1.21178e-12,1.21178e-11,True
p4,pareto_quality,SHIELD-MOEA vs NSGA-II,baseline,30,0.26651628,0.25276291,0.01375337,754.00,7.22083e-06,2.88833e-05,True
p4,pareto_quality,SHIELD-MOEA vs NSGA-II+Repair,baseline,30,0.26651628,0.25349226,0.01302402,782.00,9.53321e-07,4.7666e-06,True
p4,pareto_quality,SHIELD-MOEA vs Weighted Sum,baseline,30,0.26651628,0.02050950,0.24600678,900.00,1.21178e-12,1.21178e-11,True
p4,restoration_aware_evaluation,SHIELD-MOEA vs Ablation-NoOutage,ablation,30,0.33877953,0.33142355,0.00735598,651.00,0.00303395,0.00910184,True
p4,restoration_aware_evaluation,SHIELD-MOEA vs Ablation-NoRepair,ablation,30,0.33877953,0.31941476,0.01936477,862.00,1.17374e-09,7.04241e-09,True
p4,restoration_aware_evaluation,SHIELD-MOEA vs Ablation-NoResilienceObj,ablation,30,0.33877953,0.33998365,-0.00120412,423.00,0.695215,0.695215,False
p4,restoration_aware_evaluation,SHIELD-MOEA vs Ablation-NoScenarioScreen,ablation,30,0.33877953,0.33585288,0.00292665,555.00,0.122353,0.244706,False
p4,restoration_aware_evaluation,SHIELD-MOEA vs Deterministic Planning,baseline,30,0.33877953,0.02531659,0.31346294,900.00,1.21178e-12,1.21178e-11,True
p4,restoration_aware_evaluation,SHIELD-MOEA vs GA,baseline,30,0.33877953,0.29119488,0.04758465,900.00,1.5394e-11,1.07758e-10,True
p4,restoration_aware_evaluation,SHIELD-MOEA vs MOEA/D,baseline,30,0.33877953,0.00047204,0.33830749,900.00,1.21178e-12,1.21178e-11,True
p4,restoration_aware_evaluation,SHIELD-MOEA vs NSGA-II,baseline,30,0.33877953,0.32708099,0.01169854,781.00,1.02773e-06,5.13867e-06,True
p4,restoration_aware_evaluation,SHIELD-MOEA vs NSGA-II+Repair,baseline,30,0.33877953,0.32699274,0.01178679,773.00,1.86085e-06,7.44339e-06,True
p4,restoration_aware_evaluation,SHIELD-MOEA vs Weighted Sum,baseline,30,0.33877953,0.02025461,0.31852492,900.00,1.21178e-12,1.21178e-11,True
p4,scenario_screening_efficiency,SHIELD-MOEA vs Ablation-NoOutage,ablation,30,0.26702631,0.26618318,0.00084313,512.00,0.363222,0.541411,False
p4,scenario_screening_efficiency,SHIELD-MOEA vs Ablation-NoRepair,ablation,30,0.26702631,0.24346794,0.02355837,825.00,3.08105e-08,1.84863e-07,True
p4,scenario_screening_efficiency,SHIELD-MOEA vs Ablation-NoResilienceObj,ablation,30,0.26702631,0.27047757,-0.00345127,351.00,0.145319,0.435957,False
p4,scenario_screening_efficiency,SHIELD-MOEA vs Ablation-NoScenarioScreen,ablation,30,0.26702631,0.26929000,-0.00226370,375.00,0.270705,0.541411,False
p4,scenario_screening_efficiency,SHIELD-MOEA vs Deterministic Planning,baseline,30,0.26702631,0.02440943,0.24261688,900.00,1.21178e-12,1.21178e-11,True
p4,scenario_screening_efficiency,SHIELD-MOEA vs GA,baseline,30,0.26702631,0.21026983,0.05675648,900.00,1.44885e-11,1.01419e-10,True
p4,scenario_screening_efficiency,SHIELD-MOEA vs MOEA/D,baseline,30,0.26702631,0.00047204,0.26655427,900.00,1.21178e-12,1.21178e-11,True
p4,scenario_screening_efficiency,SHIELD-MOEA vs NSGA-II,baseline,30,0.26702631,0.25481232,0.01221399,765.00,3.32415e-06,1.32966e-05,True
p4,scenario_screening_efficiency,SHIELD-MOEA vs NSGA-II+Repair,baseline,30,0.26702631,0.25495170,0.01207461,785.00,7.59915e-07,3.79957e-06,True
p4,scenario_screening_efficiency,SHIELD-MOEA vs Weighted Sum,baseline,30,0.26702631,0.02050950,0.24651681,900.00,1.21178e-12,1.21178e-11,True
p4,unseen_stress_generalization,SHIELD-MOEA vs Ablation-NoOutage,ablation,30,0.24649824,0.24898858,-0.00249034,448.00,0.982307,1,False
p4,unseen_stress_generalization,SHIELD-MOEA vs Ablation-NoRepair,ablation,30,0.24649824,0.22887544,0.01762280,736.00,2.43271e-05,0.000145963,True
p4,unseen_stress_generalization,SHIELD-MOEA vs Ablation-NoResilienceObj,ablation,30,0.24649824,0.24977694,-0.00327870,373.00,0.258051,0.774154,False
p4,unseen_stress_generalization,SHIELD-MOEA vs Ablation-NoScenarioScreen,ablation,30,0.24649824,0.24782774,-0.00132950,483.00,0.630876,1,False
p4,unseen_stress_generalization,SHIELD-MOEA vs Deterministic Planning,baseline,30,0.24649824,0.02110909,0.22538915,900.00,1.21178e-12,1.21178e-11,True
p4,unseen_stress_generalization,SHIELD-MOEA vs GA,baseline,30,0.24649824,0.20819411,0.03830413,870.00,2.95956e-10,2.07169e-09,True
p4,unseen_stress_generalization,SHIELD-MOEA vs MOEA/D,baseline,30,0.24649824,0.00047204,0.24602620,900.00,1.21178e-12,1.21178e-11,True
p4,unseen_stress_generalization,SHIELD-MOEA vs NSGA-II,baseline,30,0.24649824,0.23246598,0.01403226,707.00,0.000149316,0.000746578,True
p4,unseen_stress_generalization,SHIELD-MOEA vs NSGA-II+Repair,baseline,30,0.24649824,0.23824389,0.00825435,649.00,0.00333861,0.0133544,True
p4,unseen_stress_generalization,SHIELD-MOEA vs Weighted Sum,baseline,30,0.24649824,0.01598897,0.23050927,900.00,1.21178e-12,1.21178e-11,True
