paper,experiment_id,comparison,opponent_role,n_per_group,mean_proposed,mean_opponent,mean_diff,u_statistic,p_value,p_holm,significant_005_holm
p4,der_uncertainty,SHIELD-MOEA vs Control-DEOnly,mechanism_control,30,0.27136646,0.27113108,0.00023538,441.00,0.899995,1,False
p4,der_uncertainty,SHIELD-MOEA vs Control-FixedWorstK,mechanism_control,30,0.27136646,0.26952407,0.00184239,479.00,0.673495,1,False
p4,der_uncertainty,SHIELD-MOEA vs Control-GAOnly,mechanism_control,30,0.27136646,0.26510207,0.00626439,619.00,0.0127321,0.0381963,True
p4,deterministic_vs_scenario,SHIELD-MOEA vs Control-DEOnly,mechanism_control,30,0.26958535,0.26791117,0.00167418,503.00,0.437641,0.437641,False
p4,deterministic_vs_scenario,SHIELD-MOEA vs Control-FixedWorstK,mechanism_control,30,0.26958535,0.26617143,0.00341392,580.00,0.0555457,0.111091,False
p4,deterministic_vs_scenario,SHIELD-MOEA vs Control-GAOnly,mechanism_control,30,0.26958535,0.26491173,0.00467362,621.00,0.0117107,0.0351321,True
p4,load_uncertainty,SHIELD-MOEA vs Control-DEOnly,mechanism_control,30,0.26210523,0.26134623,0.00075900,456.00,0.935192,0.935192,False
p4,load_uncertainty,SHIELD-MOEA vs Control-FixedWorstK,mechanism_control,30,0.26210523,0.26041310,0.00169213,513.00,0.355472,0.710945,False
p4,load_uncertainty,SHIELD-MOEA vs Control-GAOnly,mechanism_control,30,0.26210523,0.25364429,0.00846094,665.00,0.0015178,0.00455339,True
p4,outage_contingency,SHIELD-MOEA vs Control-DEOnly,mechanism_control,30,0.26981804,0.26948627,0.00033177,462.00,0.864994,1,False
p4,outage_contingency,SHIELD-MOEA vs Control-FixedWorstK,mechanism_control,30,0.26981804,0.27031315,-0.00049511,435.00,0.830255,1,False
p4,outage_contingency,SHIELD-MOEA vs Control-GAOnly,mechanism_control,30,0.26981804,0.26663956,0.00317848,524.00,0.277189,0.831568,False
p4,pareto_quality,SHIELD-MOEA vs Control-DEOnly,mechanism_control,30,0.26651628,0.26948400,-0.00296772,370.00,0.23985,0.4797,False
p4,pareto_quality,SHIELD-MOEA vs Control-FixedWorstK,mechanism_control,30,0.26651628,0.26664035,-0.00012407,480.00,0.662735,0.662735,False
p4,pareto_quality,SHIELD-MOEA vs Control-GAOnly,mechanism_control,30,0.26651628,0.26155733,0.00495895,568.00,0.0823572,0.247072,False
p4,restoration_aware_evaluation,SHIELD-MOEA vs Control-DEOnly,mechanism_control,30,0.33877953,0.34073596,-0.00195643,396.00,0.428963,0.857927,False
p4,restoration_aware_evaluation,SHIELD-MOEA vs Control-FixedWorstK,mechanism_control,30,0.33877953,0.33978451,-0.00100498,422.00,0.684323,0.857927,False
p4,restoration_aware_evaluation,SHIELD-MOEA vs Control-GAOnly,mechanism_control,30,0.33877953,0.33716021,0.00161931,523.00,0.283778,0.851334,False
p4,scenario_screening_efficiency,SHIELD-MOEA vs Control-DEOnly,mechanism_control,30,0.26702631,0.26545018,0.00157613,505.00,0.420386,1,False
p4,scenario_screening_efficiency,SHIELD-MOEA vs Control-FixedWorstK,mechanism_control,30,0.26702631,0.26743086,-0.00040456,433.00,0.807275,1,False
p4,scenario_screening_efficiency,SHIELD-MOEA vs Control-GAOnly,mechanism_control,30,0.26702631,0.26586185,0.00116446,489.00,0.56922,1,False
p4,unseen_stress_generalization,SHIELD-MOEA vs Control-DEOnly,mechanism_control,30,0.24649824,0.24845620,-0.00195797,492.00,0.53951,0.634684,False
p4,unseen_stress_generalization,SHIELD-MOEA vs Control-FixedWorstK,mechanism_control,30,0.24649824,0.25233352,-0.00583528,365.00,0.211561,0.634684,False
p4,unseen_stress_generalization,SHIELD-MOEA vs Control-GAOnly,mechanism_control,30,0.24649824,0.24627604,0.00022220,526.00,0.264326,0.634684,False
