paper,experiment_id,method,method_role,reinforcement,storage,der,automation,source_status
p4,load_uncertainty,SHIELD-MOEA,proposed,7,5,1,0,public_simbench_planning_v2_real_moea
p4,load_uncertainty,NSGA-II,baseline,8,3,2,0,public_simbench_planning_v2_real_moea
p4,load_uncertainty,NSGA-II+Repair,baseline,8,3,2,0,public_simbench_planning_v2_real_moea
p4,load_uncertainty,MOEA/D,baseline,0,0,0,0,public_simbench_planning_v2_real_moea
p4,load_uncertainty,GA,baseline,7,5,0,0,public_simbench_planning_v2_real_moea
p4,load_uncertainty,Weighted Sum,baseline,1,0,0,3,public_simbench_planning_v2_real_moea
p4,load_uncertainty,Deterministic Planning,baseline,0,1,15,0,public_simbench_planning_v2_real_moea
p4,load_uncertainty,Ablation-NoScenarioScreen,ablation,10,2,0,0,public_simbench_planning_v2_real_moea
p4,load_uncertainty,Ablation-NoRepair,ablation,8,4,1,0,public_simbench_planning_v2_real_moea
p4,load_uncertainty,Ablation-NoResilienceObj,ablation,7,5,1,0,public_simbench_planning_v2_real_moea
p4,load_uncertainty,Ablation-NoOutage,ablation,8,4,1,0,public_simbench_planning_v2_real_moea
p4,outage_contingency,SHIELD-MOEA,proposed,8,4,1,0,public_simbench_planning_v2_real_moea
p4,outage_contingency,NSGA-II,baseline,7,3,3,0,public_simbench_planning_v2_real_moea
p4,outage_contingency,NSGA-II+Repair,baseline,8,3,2,0,public_simbench_planning_v2_real_moea
p4,outage_contingency,MOEA/D,baseline,0,0,0,0,public_simbench_planning_v2_real_moea
p4,outage_contingency,GA,baseline,9,3,1,0,public_simbench_planning_v2_real_moea
p4,outage_contingency,Weighted Sum,baseline,1,0,0,3,public_simbench_planning_v2_real_moea
p4,outage_contingency,Deterministic Planning,baseline,0,1,15,0,public_simbench_planning_v2_real_moea
p4,outage_contingency,Ablation-NoScenarioScreen,ablation,11,0,0,0,public_simbench_planning_v2_real_moea
p4,outage_contingency,Ablation-NoRepair,ablation,8,3,2,0,public_simbench_planning_v2_real_moea
p4,outage_contingency,Ablation-NoResilienceObj,ablation,8,4,1,0,public_simbench_planning_v2_real_moea
p4,outage_contingency,Ablation-NoOutage,ablation,6,7,0,0,public_simbench_planning_v2_real_moea
p4,restoration_aware_evaluation,SHIELD-MOEA,proposed,8,4,1,0,public_simbench_planning_v2_real_moea
p4,restoration_aware_evaluation,NSGA-II,baseline,9,3,1,0,public_simbench_planning_v2_real_moea
p4,restoration_aware_evaluation,NSGA-II+Repair,baseline,8,4,1,0,public_simbench_planning_v2_real_moea
p4,restoration_aware_evaluation,MOEA/D,baseline,0,0,0,0,public_simbench_planning_v2_real_moea
p4,restoration_aware_evaluation,GA,baseline,7,5,0,0,public_simbench_planning_v2_real_moea
p4,restoration_aware_evaluation,Weighted Sum,baseline,1,0,0,3,public_simbench_planning_v2_real_moea
p4,restoration_aware_evaluation,Deterministic Planning,baseline,0,1,15,0,public_simbench_planning_v2_real_moea
p4,restoration_aware_evaluation,Ablation-NoScenarioScreen,ablation,9,3,0,0,public_simbench_planning_v2_real_moea
p4,restoration_aware_evaluation,Ablation-NoRepair,ablation,7,5,1,0,public_simbench_planning_v2_real_moea
p4,restoration_aware_evaluation,Ablation-NoResilienceObj,ablation,6,7,0,0,public_simbench_planning_v2_real_moea
p4,restoration_aware_evaluation,Ablation-NoOutage,ablation,6,7,0,0,public_simbench_planning_v2_real_moea
p4,scenario_screening_efficiency,SHIELD-MOEA,proposed,7,4,2,0,public_simbench_planning_v2_real_moea
p4,scenario_screening_efficiency,NSGA-II,baseline,7,3,3,0,public_simbench_planning_v2_real_moea
p4,scenario_screening_efficiency,NSGA-II+Repair,baseline,7,4,2,0,public_simbench_planning_v2_real_moea
p4,scenario_screening_efficiency,MOEA/D,baseline,0,0,0,0,public_simbench_planning_v2_real_moea
p4,scenario_screening_efficiency,GA,baseline,7,5,0,0,public_simbench_planning_v2_real_moea
p4,scenario_screening_efficiency,Weighted Sum,baseline,1,0,0,3,public_simbench_planning_v2_real_moea
p4,scenario_screening_efficiency,Deterministic Planning,baseline,0,1,15,0,public_simbench_planning_v2_real_moea
p4,scenario_screening_efficiency,Ablation-NoScenarioScreen,ablation,8,3,2,0,public_simbench_planning_v2_real_moea
p4,scenario_screening_efficiency,Ablation-NoRepair,ablation,8,2,3,0,public_simbench_planning_v2_real_moea
p4,scenario_screening_efficiency,Ablation-NoResilienceObj,ablation,8,3,2,0,public_simbench_planning_v2_real_moea
p4,scenario_screening_efficiency,Ablation-NoOutage,ablation,6,6,1,0,public_simbench_planning_v2_real_moea
p4,pareto_quality,SHIELD-MOEA,proposed,7,5,1,0,public_simbench_planning_v2_real_moea
p4,pareto_quality,NSGA-II,baseline,10,1,2,0,public_simbench_planning_v2_real_moea
p4,pareto_quality,NSGA-II+Repair,baseline,7,3,3,0,public_simbench_planning_v2_real_moea
p4,pareto_quality,MOEA/D,baseline,0,0,0,0,public_simbench_planning_v2_real_moea
p4,pareto_quality,GA,baseline,7,5,0,0,public_simbench_planning_v2_real_moea
