paper,method,method_role,mean_hypervolume,std_hypervolume,mean_hypervolume_worst_case,mean_feasible_front_size,mean_compromise_cost_index,mean_portfolio_size,mean_runtime_s,runs
p4,Control-DEOnly,mechanism_control,0.27425014,0.02715576,0.26917876,38.7958,nan,0.0000,0.087433,240
p4,Control-FixedWorstK,mechanism_control,0.27407637,0.02664087,0.26918903,38.8875,nan,0.0000,0.067894,240
p4,SHIELD-MOEA,proposed,0.27396193,0.02699979,0.26911449,38.8917,0.97902359,12.7500,0.088926,240
p4,Control-GAOnly,mechanism_control,0.27014414,0.02792521,0.26541767,38.8042,nan,0.0000,0.063610,240
