horizon_hours,contrast_id,selection_objective,treatment_blend,control_blend,metric,better_direction,n_pairs,mean_treatment_minus_control,median_treatment_minus_control,treatment_wins,ties,control_wins,p_exact_sign_flip,p_holm_within_horizon,holm_significant_005
1,selected_retrieval_vs_head_mae,mae,selected,fixed_1,curtailment_mae,lower,10,-0.0049606891,-0.0047216503,10,0,0,0.0019531250,0.0117187500,True
1,selected_retrieval_vs_head_onset,onset_f1,selected,fixed_1,onset_f1,higher,10,0.0000000000,0.0000000000,0,10,0,1.0000000000,1.0000000000,False
1,fixed_half_vs_head_mae,mae,fixed_0.5,fixed_1,curtailment_mae,lower,10,-0.0026904718,-0.0025703336,10,0,0,0.0019531250,0.0117187500,True
1,fixed_half_vs_head_onset,onset_f1,fixed_0.5,fixed_1,onset_f1,higher,10,0.0244187099,0.0220955577,10,0,0,0.0019531250,0.0117187500,True
1,selected_vs_fixed_half_mae,mae,selected,fixed_0.5,curtailment_mae,lower,10,-0.0022702173,-0.0021513166,10,0,0,0.0019531250,0.0117187500,True
1,selected_vs_fixed_half_onset,onset_f1,selected,fixed_0.5,onset_f1,higher,10,-0.0244187099,-0.0220955577,0,0,10,0.0019531250,0.0117187500,True
24,selected_retrieval_vs_head_mae,mae,selected,fixed_1,curtailment_mae,lower,10,-0.0022005539,-0.0020603118,10,0,0,0.0019531250,0.0117187500,True
24,selected_retrieval_vs_head_onset,onset_f1,selected,fixed_1,onset_f1,higher,10,0.0000000000,0.0000000000,0,10,0,1.0000000000,1.0000000000,False
24,fixed_half_vs_head_mae,mae,fixed_0.5,fixed_1,curtailment_mae,lower,10,-0.0012262075,-0.0011351599,10,0,0,0.0019531250,0.0117187500,True
24,fixed_half_vs_head_onset,onset_f1,fixed_0.5,fixed_1,onset_f1,higher,10,0.0016343933,-0.0013961052,5,0,5,0.6523437500,1.0000000000,False
24,selected_vs_fixed_half_mae,mae,selected,fixed_0.5,curtailment_mae,lower,10,-0.0009743464,-0.0009251518,10,0,0,0.0019531250,0.0117187500,True
24,selected_vs_fixed_half_onset,onset_f1,selected,fixed_0.5,onset_f1,higher,10,-0.0016343933,0.0013961052,5,0,5,0.6523437500,1.0000000000,False
