cap,horizon_hours,method,method_role,selection_objective,blend_mode,n_seeds,mean_alpha_head,mean_checkpoint_epoch,mean_ridge_lambda,mean_curtailment_mae,std_curtailment_mae,mean_curtailment_rmse,std_curtailment_rmse,mean_event_f1,std_event_f1,mean_onset_f1,std_onset_f1,mean_onset_mae,std_onset_mae,mean_stress_subset_mae,std_stress_subset_mae
0.60,24,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,10,0.50000000,5.0000,NA,0.0442126899,0.0006037741,0.0797751265,0.0003662283,0.0007604563,0.0024047739,0.2402413854,0.0074444692,0.1283034405,0.0010749508,0.1049102199,0.0009021735
0.60,24,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,10,1.00000000,5.0000,NA,0.0450134514,0.0010338296,0.0787856555,0.0005998162,0.0000000000,0.0000000000,0.2517383632,0.0078963947,0.1243806811,0.0020343479,0.1038146989,0.0014632109
0.60,24,Ridge,baseline,onset_f1,not_applicable,1,NA,NA,1e-06,0.0505687510,0.0000000000,0.0847575085,0.0000000000,0.0000000000,0.0000000000,0.2368112544,0.0000000000,0.1125761294,0.0000000000,0.1078412447,0.0000000000
0.70,1,GRU-LSR,proposed,mae,selected,10,0.00000000,17.0000,NA,0.0077739132,0.0001651497,0.0256044225,0.0003785322,0.6743697793,0.0073320529,0.1541649704,0.0113119964,0.0490079180,0.0013914829,0.0275780904,0.0006070902
0.70,1,GRU-LSR-Fixed0,mechanism_control,mae,fixed_0,10,0.00000000,17.0000,NA,0.0077739132,0.0001651497,0.0256044225,0.0003785322,0.6743697793,0.0073320529,0.1541649704,0.0113119964,0.0490079180,0.0013914829,0.0275780904,0.0006070902
0.70,1,GRU-LSR-Fixed0.5,mechanism_control,mae,fixed_0.5,10,0.50000000,17.0000,NA,0.0100441305,0.0007490173,0.0257928749,0.0011124324,0.6833014386,0.0085909755,0.1666721044,0.0064739891,0.0439665176,0.0017590414,0.0320987110,0.0020967250
0.70,1,GRU-LSR-Fixed1,mechanism_control,mae,fixed_1,10,1.00000000,17.0000,NA,0.0127346023,0.0015202760,0.0283362610,0.0026854276,0.6697991960,0.0858211747,0.1591971110,0.0155374085,0.0424507847,0.0022496001,0.0380999225,0.0042025402
0.70,1,Ridge,baseline,mae,not_applicable,1,NA,NA,0.1,0.0176835202,0.0000000000,0.0354673121,0.0000000000,0.3769633508,0.0000000000,0.1245753114,0.0000000000,0.0379286643,0.0000000000,0.0502029686,0.0000000000
0.70,1,DirectPolicyTransform-Privileged,privileged_control,not_applicable,not_applicable,1,NA,NA,NA,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.3333333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.70,1,Persistence,baseline,not_applicable,not_applicable,1,NA,NA,NA,0.0069079419,0.0000000000,0.0239618849,0.0000000000,0.7697368421,0.0000000000,0.0000000000,0.0000000000,0.0675322459,0.0000000000,0.0245880407,0.0000000000
0.70,1,Seasonal-24h,baseline,not_applicable,not_applicable,1,NA,NA,NA,0.0203666185,0.0000000000,0.0593524296,0.0000000000,0.3421052632,0.0000000000,0.1065088757,0.0000000000,0.0704356699,0.0000000000,0.0551652764,0.0000000000
0.70,1,GRU-LSR,proposed,onset_f1,selected,10,1.00000000,5.0000,NA,0.0151732177,0.0007200989,0.0331739713,0.0012874658,0.5832003683,0.1052842722,0.1397766190,0.0052582536,0.0430974060,0.0006380016,0.0454387203,0.0015066319
0.70,1,GRU-LSR-Fixed0,mechanism_control,onset_f1,fixed_0,10,0.00000000,5.0000,NA,0.0079040854,0.0001450429,0.0259008403,0.0003865979,0.6745347159,0.0079871864,0.1554870701,0.0121587134,0.0498072239,0.0009143556,0.0280318570,0.0005086584
0.70,1,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,10,0.50000000,5.0000,NA,0.0112625561,0.0003867075,0.0279166598,0.0006639817,0.6749646773,0.0111031860,0.1641953288,0.0052917743,0.0437167564,0.0005874203,0.0357547172,0.0008296654
0.70,1,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,10,1.00000000,5.0000,NA,0.0151732177,0.0007200989,0.0331739713,0.0012874658,0.5832003683,0.1052842722,0.1397766190,0.0052582536,0.0430974060,0.0006380016,0.0454387203,0.0015066319
