protocol_sha256,role,mode,k,n_seeds,n_documents,mean_precision,seed_sd_precision,doc_ci_low_precision,doc_ci_high_precision,seed_min_precision,seed_max_precision,mean_recall,seed_sd_recall,doc_ci_low_recall,doc_ci_high_recall,seed_min_recall,seed_max_recall,mean_f1,seed_sd_f1,doc_ci_low_f1,doc_ci_high_f1,seed_min_f1,seed_max_f1
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,bm25,1,5,145,0.8066666666666666,0.0,0.7685014429810869,0.8432021238992718,0.8066666666666666,0.8066666666666666,0.669523629420689,0.0,0.6333142841222392,0.7067384898151834,0.669523629420689,0.669523629420689,0.6993632563514905,0.0,0.6599588262306177,0.7360168371955695,0.6993632563514905,0.6993632563514905
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,bm25,3,5,145,0.38788888888888695,0.0,0.3709739258658849,0.40487979388726586,0.38788888888888695,0.38788888888888695,0.8306527351189107,1.2412670766236366e-16,0.7990815182052747,0.8631296399737585,0.8306527351189108,0.8306527351189108,0.4864023951739114,0.0,0.46699595985947057,0.5049935087677765,0.4864023951739114,0.4864023951739114
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,bm25,5,5,145,0.3032222222222171,0.0,0.2846729359894264,0.3237194427921791,0.3032222222222171,0.3032222222222171,0.8913173312526246,0.0,0.8638035510951432,0.916488623124699,0.8913173312526246,0.8913173312526246,0.41090634833575923,6.206335383118183e-17,0.39107143691114776,0.43214796246860304,0.4109063483357592,0.4109063483357592
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,bm25,10,5,145,0.24663756613756732,3.1031676915590914e-17,0.2248728568841643,0.27273111346436435,0.2466375661375673,0.2466375661375673,0.9592554075009959,0.0,0.9446794295115838,0.9717604663671446,0.9592554075009959,0.9592554075009959,0.3529582574411937,0.0,0.3253644819079657,0.38159790852436964,0.3529582574411937,0.3529582574411937
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,full,1,5,145,0.7785333333333333,0.0027648588471103743,0.7305086900422004,0.8240368080035501,0.7753333333333333,0.782,0.636993629420689,0.002005584795108508,0.5939686742820967,0.6786605094010315,0.6349402960873557,0.639162518309578,0.6676987926670264,0.002094840750418824,0.6227726147419473,0.7111407898861899,0.6655116209498547,0.6700272775155113
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,full,3,5,145,0.391177777777776,0.0015978380455332036,0.37512360099056774,0.4066848722082789,0.3894444444444426,0.39322222222222064,0.8401801034912794,0.003660907548561322,0.8100828701698211,0.8682044650435173,0.8352016907928668,0.8443683574595334,0.4910455752033759,0.002061591868285917,0.47510233127388535,0.5089528393475036,0.4883520512110285,0.4935204013793785
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,full,5,5,145,0.3060488888888836,0.000436144726234551,0.28707278488336296,0.3249820691765328,0.30535555555555033,0.3065555555555503,0.9041183916736859,0.0014355732205807439,0.8809272016795332,0.9262642769491627,0.9025780261133206,0.9060108062961004,0.4154294841106596,0.0005553840440800868,0.3950251640873067,0.4370227394266434,0.41468541795894637,0.41615664488017334
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,full,10,5,145,0.24902423280423402,0.00022803508501983454,0.22463702587352435,0.2731660766251496,0.24883756613756736,0.24930423280423405,0.9667150828256711,0.0005350296491823911,0.9547155831941577,0.977223784956336,0.9658091232297114,0.967239257909846,0.3560463349978532,0.0003006964442732788,0.3289248376246611,0.38578111639042684,0.3557411597676253,0.35642051306539957
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,lead_k,1,5,145,0.6953333333333334,0.0,0.6365972753689483,0.751289409339589,0.6953333333333334,0.6953333333333334,0.5517569627540224,0.0,0.49248014780255417,0.6084151709621602,0.5517569627540224,0.5517569627540224,0.5826696055578396,0.0,0.5273426785678137,0.637060899941063,0.5826696055578396,0.5826696055578396
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,label_blind,lead_k,3,5,145,0.3381111111111075,0.0,0.31442982693633875,0.361094626927054,0.3381111111111075,0.3381111111111075,0.6923502218913986,0.0,0.6404772443863092,0.7445280980990618,0.6923502218913986,0.6923502218913986,0.41374812599394584,6.206335383118183e-17,0.384774188178525,0.4443297768063803,0.4137481259939459,0.4137481259939459
