protocol_sha256,seed,role,source,wall_seconds,peak_rss_bytes,boundary
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2026,label_blind,paper_projects\2026_c2ges_engineeringletters\workspace\w3_c2_pilot\full_8000_1500_1500\label_blind\resource_usage.json,199.3578634000005,,recorded full selector script; not mode-specific or online latency
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2026,predicted,paper_projects\2026_c2ges_engineeringletters\workspace\w3_c2_pilot\full_8000_1500_1500\predicted\resource_usage.json,191.74811209999461,,recorded full selector script; not mode-specific or online latency
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2026,oracle,paper_projects\2026_c2ges_engineeringletters\workspace\w3_c2_pilot\full_8000_1500_1500\oracle\resource_usage.json,201.5842571999965,,recorded full selector script; not mode-specific or online latency
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2027,label_blind,paper_projects\2026_c2ges_engineeringletters\workspace\w4_c2_five_seed\seed_2027\label_blind\resource_usage.json,198.06860710000183,,recorded full selector script; not mode-specific or online latency
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2027,predicted,paper_projects\2026_c2ges_engineeringletters\workspace\w4_c2_five_seed\seed_2027\predicted\resource_usage.json,200.66447779999726,,recorded full selector script; not mode-specific or online latency
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2027,oracle,paper_projects\2026_c2ges_engineeringletters\workspace\w4_c2_five_seed\seed_2027\oracle\resource_usage.json,196.0682123000006,,recorded full selector script; not mode-specific or online latency
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2028,label_blind,paper_projects\2026_c2ges_engineeringletters\workspace\w4_c2_five_seed\seed_2028\label_blind\resource_usage.json,197.24845040000218,,recorded full selector script; not mode-specific or online latency
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2028,predicted,paper_projects\2026_c2ges_engineeringletters\workspace\w4_c2_five_seed\seed_2028\predicted\resource_usage.json,204.0830050000004,,recorded full selector script; not mode-specific or online latency
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2028,oracle,paper_projects\2026_c2ges_engineeringletters\workspace\w4_c2_five_seed\seed_2028\oracle\resource_usage.json,200.513085700004,,recorded full selector script; not mode-specific or online latency
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2029,label_blind,paper_projects\2026_c2ges_engineeringletters\workspace\w4_c2_five_seed\seed_2029\label_blind\resource_usage.json,209.17335930000263,,recorded full selector script; not mode-specific or online latency
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2029,predicted,paper_projects\2026_c2ges_engineeringletters\workspace\w4_c2_five_seed\seed_2029\predicted\resource_usage.json,205.44282639999437,,recorded full selector script; not mode-specific or online latency
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2029,oracle,paper_projects\2026_c2ges_engineeringletters\workspace\w4_c2_five_seed\seed_2029\oracle\resource_usage.json,192.43745719999424,,recorded full selector script; not mode-specific or online latency
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2030,label_blind,paper_projects\2026_c2ges_engineeringletters\workspace\w4_c2_five_seed\seed_2030\label_blind\resource_usage.json,198.14370580000104,,recorded full selector script; not mode-specific or online latency
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2030,predicted,paper_projects\2026_c2ges_engineeringletters\workspace\w4_c2_five_seed\seed_2030\predicted\resource_usage.json,223.03146849999757,,recorded full selector script; not mode-specific or online latency
f77083b98c269180bd3cd458211a5948837596f73fef592ca5a8bb463726b247,2030,oracle,paper_projects\2026_c2ges_engineeringletters\workspace\w4_c2_five_seed\seed_2030\oracle\resource_usage.json,211.40669619999971,,recorded full selector script; not mode-specific or online latency
