backbone,condition,correct,n,rate,status
qwen,F00_Full_NoShape,76,180,0.4222222222222222,development-visible synthetic GridDB descriptive cell
qwen,F01_Full_WithShape,129,180,0.7166666666666667,development-visible synthetic GridDB descriptive cell
qwen,F10_Compact_NoShape,78,180,0.43333333333333335,development-visible synthetic GridDB descriptive cell
qwen,F11_Compact_WithShape,108,180,0.6,development-visible synthetic GridDB descriptive cell
granite,F00_Full_NoShape,77,180,0.42777777777777776,development-visible synthetic GridDB descriptive cell
granite,F01_Full_WithShape,100,180,0.5555555555555556,development-visible synthetic GridDB descriptive cell
granite,F10_Compact_NoShape,74,180,0.4111111111111111,development-visible synthetic GridDB descriptive cell
granite,F11_Compact_WithShape,108,180,0.6,development-visible synthetic GridDB descriptive cell
