budget,contrast,metric,n_reports,observed_mean_delta,positive,negative,tie,exact_two_sided_signflip_p,holm_adjusted_p_six_tests,extreme_assignments,enumerated_assignments
5,c2ges_full_minus_graph_no_cf_strict,rougeL_f1,15,-0.0033322691890715814,7,7,1,0.436767578125,0.436767578125,14312,32768
5,c2ges_full_minus_semantic_mmr,rougeL_f1,15,0.020736754757105624,14,1,0,0.00030517578125,0.00152587890625,10,32768
5,c2ges_full_minus_textrank,rougeL_f1,15,0.025437736692032364,14,1,0,0.0001220703125,0.000732421875,4,32768
10,c2ges_full_minus_graph_no_cf_strict,rougeL_f1,15,-0.0033604351815848337,6,8,1,0.20068359375,0.4013671875,6576,32768
10,c2ges_full_minus_semantic_mmr,rougeL_f1,15,0.01435989724581933,11,4,0,0.006591796875,0.0263671875,216,32768
10,c2ges_full_minus_textrank,rougeL_f1,15,0.012028981595047155,13,2,0,0.0096435546875,0.0289306640625,316,32768
