doc_id,sample_ordinal,page,block_number,x0_ratio,y0_ratio,x1_ratio,y1_ratio,word_count,character_count,normalized_sha256,legacy_exact_match
nerc_001_november_13_wyoming_disturbance_report,1,8,4,0.08823529411764706,0.12315014155224116,0.8983626022837521,0.23547977871365017,31,209,8E2D253E696CB57CBD7E76E4B8CD253A9A4E6414AEEBA265FCA37F4D2E9E7385,1
nerc_001_november_13_wyoming_disturbance_report,122,15,4,0.08823529411764706,0.13708950774838227,0.8999312656377655,0.2494192219743825,60,343,20DC0B08E1F94A4931532B603993F46EDF7D59AC6924223DCBBA1BCBE8D6CA48,1
nerc_001_november_13_wyoming_disturbance_report,321,28,8,0.11768627790064594,0.31121826171875,0.8793429705052594,0.34672977948429606,21,144,AE493F11EE7D0D8C2DAF4E5AAC8244320C0C4E792BF3724F3FC571857134B417,1
nerc_002_inverter_based_resource_disturbances_in_th,1,5,4,0.08823529411764706,0.12315014155224116,0.9032196842767055,0.21623736680156053,14,82,52326761E893F034E28B6CD49D7902CEC98356F13898026121F371BB4913672F,1
nerc_002_inverter_based_resource_disturbances_in_th,49,11,13,0.08823529411764706,0.5918495871803977,0.9010920306436376,0.6656944197837753,54,344,1C26F9BBA0DCBF18AD0F0D7974F6BF25B7BB7E9F4B0DC4D772E0073C57BF23A6,1
nerc_002_inverter_based_resource_disturbances_in_th,53,11,17,0.11768627790064594,0.7752080589833886,0.8741742302389706,0.851792923127762,36,236,F41BA90A032CB16913E942498AA27B05B63D6DC775045072E544E6463B23FD92,0
nerc_003_january_2025_arctic_events_a_system_perfor,1,5,3,0.05881849301406761,0.11130680700745245,0.9267939149943831,0.2171123003718829,49,304,184EEC0C25C18901D913DBE2671F5220F7A86E0A8723A25F6D13BE5A103EB79C,1
nerc_003_january_2025_arctic_events_a_system_perfor,82,11,3,0.05967084099264706,0.25272080392548535,0.9351015776590584,0.37620305533360954,120,726,9667F5220C458E710937BB7A6383E13407FD2A28AD6A3D64A09D4FDE8943BBA8,1
nerc_003_january_2025_arctic_events_a_system_perfor,226,22,1,0.058823529411764705,0.07087704629609079,0.9258502636080473,0.3231878569631865,21,125,49EABE46931A8D93A0F89BCCA7431C226D95B53F6CA7C5AE61EFDCA6EDAFB699,1
nerc_004_march_april_2022_california_battery_energy,1,6,4,0.07645256690729678,0.10282137899687796,0.9276378357332516,0.5709203469632852,35,235,D0A94BCC33A643FA8FC70F377062C98F534B3D44BADFF1F547A8338095E10830,1
nerc_004_march_april_2022_california_battery_energy,83,11,24,0.07647058075549555,0.4702456310541943,0.9232582640803717,0.6411564759533814,24,171,35934C079AFF1A7F804EFA2E51846F56165BDEC714C374118D79C49684CFFF25,1
nerc_004_march_april_2022_california_battery_energy,85,11,35,0.16025003420761208,0.8125444662691367,0.8941037047143076,0.8773389103436711,120,329,710FF744C4569899EED2033CD546CE212A202A7E3DAE73FD667AD684D0E1DE4D,0
nerc_005_nerc_2023_southwest_ut_disturbance_report,1,6,4,0.07647058698866102,0.08058711735889165,0.927716024560866,0.4422790450279159,32,206,C90813593ED2BD8C51C8D94EF46FA5C94AAFA0A4A56CCE034F27EB022F4358F3,0
nerc_005_nerc_2023_southwest_ut_disturbance_report,64,11,3,0.07647058698866102,0.0664962421764027,0.9276822158713746,0.835107360223327,22,160,9920EF7B9ADDD6BCE109E0CE230FC4145CBEE19AB0044A56FAD3B228709624B0,1
nerc_005_nerc_2023_southwest_ut_disturbance_report,79,11,3,0.07647058698866102,0.0664962421764027,0.9276822158713746,0.835107360223327,63,398,15854ADB7B4CA897F123771E0353A3564D1CD3B3AE8E7B6241591AD3C01C13FF,1
nerc_006_june_2022_odessa_disturbance_report,1,10,4,0.07645261677262051,0.10266789523037997,0.9276730406518076,0.401298099093967,16,116,63111B6448CA6D5B252C6EEAE3E417C4F0D62EE52C44ABAB7ACC5CE8F5D986F1,1
nerc_006_june_2022_odessa_disturbance_report,275,30,4,0.07647058698866102,0.0752436127325501,0.9276491052964154,0.2678120353005149,10,76,9F1F78D617397B2763F7054238DB6B4D07C75BCCD2F1C1F4D0496E51DDA27DFF,0
nerc_006_june_2022_odessa_disturbance_report,488,49,18,0.1702742483101639,0.79015735664753,0.8835334528505413,0.8554926400232796,140,402,A96A8C65C8025DB605C1D1A2237EC20101C767882A30E77DC6892697F84550F5,0
nerc_007_panhandle_wind_disturbance_report,1,6,4,0.07639851289636948,0.10266789523037997,0.9276185877182904,0.5029812051792337,23,165,BB0F1B24189F0BEF419658D137234FB471CC223367AA6773EA4C862F363C0C67,1
nerc_007_panhandle_wind_disturbance_report,181,20,5,0.10585407182282093,0.6988169352213541,0.9275566549862132,0.7684163565587516,28,188,6AEFAC92AB1D64EA1015BE2E4797C026E25CEBD3AE79503263291E70ECF62298,0
nerc_007_panhandle_wind_disturbance_report,224,24,28,0.07636234807033165,0.46039515793925584,0.9276384341171364,0.8734291153724747,98,617,F4E7C4F2F53FFB1D95898968F33E6FAC28724171CF1A84E794FCA9F8F93FC330,0
nerc_008_nerc_2021_california_solar_pv_disturbances,1,8,4,0.07647058698866102,0.10664774191499961,0.927649005565768,0.3113699248342803,22,139,62B6CB2AFDBAA7A43CC9ABF5768637BC67DA8253681FED13F7374BEF2CCDEDB2,1
nerc_008_nerc_2021_california_solar_pv_disturbances,357,31,4,0.07647058698866102,0.07922345941716974,0.9276764314938215,0.5507133946274266,18,120,F58F02BA1A590F500DF559FCED3CAD7FE6393C71D5DC66CE207602442C8589F4,1
nerc_008_nerc_2021_california_solar_pv_disturbances,470,41,4,0.07647058698866102,0.09876896636654632,0.9276633667790033,0.3713699494949495,106,657,F7CC404B9C49BF826352E452FD212C7E0C83E5A74C5E2A37EFFE7DBA43D175C1,1
nerc_009_odessa_disturbance_report,1,9,4,0.07720588235294118,0.1066919480911409,0.9282261468226614,0.17540403809210267,24,160,CFC318D2453EA36F5009D1717DDA31A234FCE6F357AEBADC6B7FAA7423977319,0
nerc_009_odessa_disturbance_report,167,20,4,0.07720588235294118,0.07813134819570214,0.9294950198503881,0.7204293145073785,103,682,4373693EE8A4E12F1EF87B01EEFC68AC912720DDED2EAD8FD5E1B974E537F771,0
nerc_009_odessa_disturbance_report,343,31,15,0.07720588235294118,0.7649241746074021,0.9291971244064032,0.8468181725704309,46,305,DAE38EF1EC825445C6D1814C496256FD6E48574E5EEC6250C1B65077407FBA47,0
nerc_011_san_fernando_disturbance_report,1,10,4,0.07647058698866102,0.10266789523037997,0.9274992101332721,0.1764769313311336,22,147,FDD3F74ED245E6B515512838461A2222A8237F1A08A4C035893A38A4FD75C47C,0
nerc_011_san_fernando_disturbance_report,7,10,9,0.07641327303219465,0.3688333299424913,0.9276131025326797,0.6802374329229798,93,718,19249D2F50DD1B66D3304D1ECA80AE68768B883017A1231AF44519403CECB6A2,0
nerc_011_san_fernando_disturbance_report,144,23,7,0.1352618847017974,0.7512308756510416,0.9275803908803104,0.8886872879182449,30,202,C80622B83E3D1BEA01F54F4882E568B31E10E9460327289DF2936522C9FD5C33,0
nerc_012_january_11_oscillation_event_report,1,7,4,0.07647058698866102,0.10638886268692788,0.9277516284020119,0.3112373544712259,42,265,8A9CA4DF378B2D47EEB4176592ED1CDCA1A5B10F8D5B14BC79B6E6B0D59D38B9,1
nerc_012_january_11_oscillation_event_report,10,8,4,0.07647058698866102,0.08696967423564256,0.9278004964192709,0.770429283681542,105,604,D0E51643D949C6DBC969D3D90A6D50149311D6494954D626AD223781F30EDA69,0
nerc_012_january_11_oscillation_event_report,83,11,4,0.07647058698866102,0.09851008713847459,0.9277696796492034,0.7272096113725142,51,369,AF7E9075279738C58D92A11D4222D07FEE8EC6A083A663965EF9240145D73FBB,1
nerc_014_april_may_2018_solar_pv_disturbance_report,1,10,4,0.08901143541523054,0.1066919480911409,0.6834150326797386,0.29472221991028447,55,296,B346D28BDC5225BA36C1D943B2CFDB7FBE7E18AEBE602171F92A1FC43CF9B9EE,0
nerc_014_april_may_2018_solar_pv_disturbance_report,166,28,4,0.08901143541523054,0.08289774499758325,0.9176848168466606,0.3422727488508128,53,360,025E9627601729791544CC94ADB13D924C180866EE7F41294316370EB75B1142,1
nerc_014_april_may_2018_solar_pv_disturbance_report,205,31,4,0.08901143541523054,0.08645201211023812,0.9176796308529922,0.33823232939749054,113,685,574B5BFF06CF057955E01B7830C19DB49BBEBC95600B12DCAC02F98F7BB1A425,1
nerc_015_polar_vortex_review,1,6,3,0.08823529411764706,0.09851008713847459,0.9160222072227329,0.4050631282305477,43,265,2F1E5FF973512B5CC134357ABB5DF3278884B58A135BED1CBA5C9BD11715C59F,1
nerc_015_polar_vortex_review,254,25,16,0.11768627790064594,0.5825944380326704,0.550073561325572,0.600088408499053,10,59,32C18C972146D00A782356D92B4863F6E890D7717221BE2A9B7E0EF82BA9834A,0
nerc_015_polar_vortex_review,360,31,3,0.08823529411764706,0.12411619436861289,0.9160081452014399,0.920575768056542,91,571,5098AA5E911D661E18218088E06617EE5338A7EEC439458292379AF7ADA90249,1
nerc_016_september_2017_hurricane_irma_event_analys,1,8,4,0.07647058698866102,0.09851008713847459,0.9277696796492034,0.43082073481395994,25,170,12CBD239E06946F24C125870968A0BAED00A9A51346BE7728F6AA104B655D09F,1
nerc_016_september_2017_hurricane_irma_event_analys,49,10,15,0.07647058698866102,0.5659277559530855,0.9277643939248876,0.8760353627831045,105,713,753D4619C882C56E8E048AB37C2C38EB3E2163EB53C72474790CC85D4E41FEE0,0
nerc_016_september_2017_hurricane_irma_event_analys,119,16,7,0.10588235792770885,0.3234782363429214,0.733210844152114,0.34097220680930396,12,80,E0D6DBD21BCD8C8A9FD640A4DAADC6A4E7BD74B743FA63783562E90AEAECC9E9,0
nerc_017_august_2017_hurricane_harvey_event_analysi,1,7,4,0.07647058698866102,0.10638886268692788,0.927769779379851,0.3233964708116319,30,186,03493C4B6746A29D81D559F90DA4383E98C907804A450B5E543AE4BA6F603CB5,1
nerc_017_august_2017_hurricane_harvey_event_analysi,203,22,5,0.07647058698866102,0.5133964461509628,0.8220841650869332,0.580542940081972,24,166,90557177B7B3ED140B629C3AF6FC7C63EB411E36E7B0F9F2931881EE32A02DFD,0
nerc_017_august_2017_hurricane_harvey_event_analysi,300,29,15,0.13701013801923764,0.5355563693576388,0.8917060802185458,0.5893677220200048,522,1378,4E59067EF75D6E92849DAC7D74E92261A860CE9262C5F9386F07D448F567950E,0
nerc_018_900_mw_solar_photovoltaic_resource_interru,1,8,4,0.08823529411764706,0.10638886268692788,0.9160167220371221,0.42551768909801135,26,160,41DCED85F39D64E3E6BE1408931F62DA02A863A74F2747C9B8A109799FA230AC,0
nerc_018_900_mw_solar_photovoltaic_resource_interru,8,8,4,0.08823529411764706,0.10638886268692788,0.9160167220371221,0.42551768909801135,82,505,150B906EEBFB7993BD02EF07EA30A56206C4762CC4921560ABE1AE5E6F61985D,0
nerc_018_900_mw_solar_photovoltaic_resource_interru,135,20,6,0.08823529411764706,0.46476009638622556,0.7501547320995455,0.4980934605453954,9,53,98530E1626547982CC7D3F5A229109BD064959845474B03BDB8BE271970D90BF,0
nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,1,7,4,0.08823529411764706,0.10638886268692788,0.9160073473562602,0.22199493947655263,15,79,3B8A3FD87479383C9C1DA1EE153648EFAF60E5FB46D180DA07B01F7A20424F19,0
nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,37,10,4,0.08823529411764706,0.08772728659889915,0.9160145279628779,0.5423611342304885,78,512,8D7778B1CD667551FC9A5F432DC0CA301D59E05CB233EB8B87D8D7F974D123CC,1
nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,179,20,4,0.08823529411764706,0.08772728659889915,0.9160183177274817,0.457790413288155,14,108,B9EDAE18D0D7B1FE80011C81A6C0A9EA363F30D22FA75CD3CE1E999D7D060BB5,1
nerc_021_hurricane_sandy_event_analysis_report,1,6,4,0.08823529411764706,0.10366163350114918,0.9089618757659313,0.5956944552334872,36,223,C20BF6DC34D84CE5C3F65738C98F4FC90074422762AA5ED0761BE53E2A17A9E5,1
nerc_021_hurricane_sandy_event_analysis_report,49,11,37,0.08823529411764706,0.4083964800593829,0.9042209799772774,0.727361120358862,62,412,64BE41692952B98910ADB197C3597F339888F08784FEE30717EC90A227AA02A6,1
nerc_021_hurricane_sandy_event_analysis_report,158,20,7,0.08823529411764706,0.16859191355079112,0.9160376654730903,0.8819394352460148,21,165,21DAD06612ADA5605AED66E82E0DE2DCA39B5E69933A9688C70A37622D1E5A0D,1
nerc_026_aep_summer_2022_storm_event_observations,1,5,4,0.07647058698866102,0.09866159612482245,0.9277696796492034,0.23123737296672783,23,192,AB0D48D9F6AB1188E11973B86BA978478D070FA95E04145BCF29F852C74B2558,1
nerc_026_aep_summer_2022_storm_event_observations,86,10,4,0.07647058698866102,0.09866159612482245,0.9277728710299223,0.6382702143505367,35,198,E4206CC9AA0B253EF378B5AFD259C371E807FFB0E0A7C8310B6F1E0638826A98,1
nerc_026_aep_summer_2022_storm_event_observations,127,12,5,0.07647058698866102,0.3677903762971512,0.9277805502897774,0.920575768056542,69,308,691ED57465848FCD51D758DEC8A8B0FAFB1AD5CD10CC57DCAB9C00FDEB5C8C19,0
nerc_027_analysis_and_risk_mitigations_for_loss_of_,1,7,4,0.07647058698866102,0.09876896636654632,0.9275723126978656,0.20182445795849116,28,174,ECA9968DC9E902DA674DD368D75C863B799163DFE34D0FFA201AA8FE7FF46A5C,1
nerc_027_analysis_and_risk_mitigations_for_loss_of_,119,17,9,0.10588235792770885,0.7710417930525962,0.9275797924964256,0.8223800659179688,12,72,33C366A90816C4EEBF3CAA66F0563EDDCBAD2B0A9DFCC2A5163584AE2EDFF5C0,1
nerc_027_analysis_and_risk_mitigations_for_loss_of_,138,18,7,0.07647058698866102,0.7620770232846038,0.9217059565525428,0.9008711997908775,103,669,0589A79AEA34C952C156508FA7129B51BBAE80B0F00EE43BAA85B5DF1AB7B415,0
nerc_028_ems_special_assessment,1,7,4,0.07651143915512983,0.09869947337140941,0.9276569840175654,0.20176766135475852,28,174,ECA9968DC9E902DA674DD368D75C863B799163DFE34D0FFA201AA8FE7FF46A5C,1
nerc_028_ems_special_assessment,117,16,7,0.07651143915512983,0.6432765613902699,0.9278856663922079,0.8148358277600221,18,88,503C335E4AA185DB853F838245047CC8EED6172D676D9678517BFA4A70AE32C9,1
nerc_028_ems_special_assessment,147,18,8,0.07651143915512983,0.7758838383838383,0.9209379308363971,0.9149305555555556,103,669,9AA3700CC756DE80F5B983B8B3BA85C95AFC3FF77B1EEDDA4338DCFC83D71984,0
nerc_030_winter_storm_elliott_recommendation_3_blac,1,8,4,0.07643960192312602,0.10282137899687796,0.9277195151335274,0.4265245379823627,32,188,11DC8CC469CF127B22B176A6A4460A277694B3A8A9EBB9C4155BEC7253CDA963,1
