cell_id,factor,delta_mean_hv_vs_registered,percent_delta_mean_hv_vs_registered,delta_mean_matched_single_hv_vs_registered,positive_seed_fraction_vs_registered,negative_seed_fraction_vs_registered,no_preference_comparator_cell,trace_minus_no_preference_mean_hv
registered,reference,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,registered,0.0012123349
risk_max,formulation,-0.0072571382,-6.8827887700,0.0000515227,0.0333333333,0.9666666667,risk_max,0.0031545623
quality_compliance_025,formulation,0.0014225210,1.3491422230,0.0006401751,0.7333333333,0.2666666667,quality_compliance_025,0.0003940571
quality_compliance_075,formulation,-0.0024264090,-2.3012460499,0.0001280292,0.2000000000,0.8000000000,quality_compliance_075,-0.0007952446
preferences_k4,preference,0.0002622899,0.2487600385,-0.0004089072,0.5000000000,0.5000000000,registered,0.0014746248
preferences_k16,preference,-0.0001281518,-0.1215412668,0.0007865673,0.5000000000,0.5000000000,registered,0.0010841831
profile_reliability,preference,-0.0004571156,-0.4335359244,0.0011387188,0.3333333333,0.6000000000,registered,0.0007552193
profile_renewable,preference,0.0010354230,0.9820121376,-0.0007267501,0.6000000000,0.4000000000,registered,0.0022477579
profile_traceability,preference,0.0004332763,0.4109263417,0.0000190298,0.4333333333,0.5000000000,registered,0.0016456112
