cap,horizon_hours,n_fit,n_selection,n_calibration,n_test,n_onsets_selection,n_onsets_calibration,n_onsets_test,n_events_test
0.70,1,4332,875,875,2627,0,0,57,152
0.70,24,4309,852,852,2604,0,0,172,150
0.60,1,4332,875,875,2627,0,0,68,256
0.60,24,4309,852,852,2604,0,0,263,256
0.80,1,4332,875,875,2627,0,0,31,63
0.80,24,4309,852,852,2604,0,0,86,63
