horizon_hours,method,method_role,curtailment_mae,onset_mae,event_f1,onset_f1,stress_subset_mae,runtime_s,n
1,Ablation-LSTMEncoder,ablation,0.007626707000000001,0.046782215,0.6805223,0.1854085,0.021971997,3.9327799999999997,10
1,Ablation-NoRetrievalBank,ablation,0.012407241,0.041909344,0.6961067,0.1630991,0.031147565999999998,5.66674,10
1,Ablation-NoSiamese,ablation,0.012810499999999999,0.04880844,0.541833,0.089172,0.03528196,11.28033,10
1,Ablation-NoTopology,ablation,0.007507171,0.047435461,0.6594606000000001,0.18459730000000002,0.021651556,6.56015,10
1,Ablation-SmallBank,ablation,0.015343890000000002,0.06937456,0.0,0.042458,0.04431182,5.69585,10
1,DSTAR-GRU,proposed,0.0076985,0.048755692,0.6740755,0.1761139,0.022188149,6.6596400000000004,10
1,LSTM,baseline,0.009662819,0.043790539,0.7242008,0.1735141,0.025032232999999997,3.01857,10
1,MLP,baseline,0.01294264,0.048663857,0.6314671,0.1623016,0.029112398,0.27294,10
1,Persistence,baseline,0.00690531,0.06753225,0.769737,0.042458,0.01994194,0.0004,1
1,Ridge,baseline,0.01984423,0.04455398,0.434783,0.143426,0.05038428,0.1239,1
1,Seasonal-24h,baseline,0.02035887,0.07043567,0.342105,0.076271,0.0488662,0.0004,1
1,kNN-RawFeature,baseline,0.0128105,0.04880844,0.541833,0.089172,0.03528196,6.7359,1
24,Ablation-LSTMEncoder,ablation,0.020324653,0.11111369,0.06841749999999999,0.1687468,0.045672921,3.91303,10
24,Ablation-NoRetrievalBank,ablation,0.021952731,0.109819721,0.0,0.2069725,0.046139279,5.714090000000001,10
24,Ablation-NoSiamese,ablation,0.01946336,0.10675782,0.131737,0.224913,0.04350381,11.24298,10
24,Ablation-NoTopology,ablation,0.020346628999999998,0.110883511,0.0616352,0.17524679999999998,0.045795176,6.519880000000001,10
24,Ablation-SmallBank,ablation,0.015343890000000002,0.13239732,0.0,0.122857,0.04431182,5.74177,10
24,DSTAR-GRU,proposed,0.020542812,0.11082187000000002,0.0342903,0.1767887,0.046255805,6.47677,10
24,LSTM,baseline,0.021961952,0.10902062900000001,0.0185976,0.21079569999999997,0.045832598,2.95857,10
24,MLP,baseline,0.026641809,0.102266657,0.167563,0.2063726,0.048859077,0.27838,10
24,Persistence,baseline,0.02035887,0.13228327,0.34,0.122857,0.0488662,0.0004,1
24,Ridge,baseline,0.02427802,0.1064865,0.025157,0.235602,0.04949261,0.0774,1
24,Seasonal-24h,baseline,0.02035887,0.13228327,0.34,0.122857,0.0488662,0.0004,1
24,kNN-RawFeature,baseline,0.01946336,0.10675782,0.131737,0.226415,0.04350381,6.5796,1
