run_namespace,cap,horizon_hours,selection_objective,condition_id,method_role,rank_eligible,curtailment_mae,curtailment_rmse,onset_f1,comparison_scope,wording_router_branch
p1_ieee_access_upgrade_v2,0.70,1,mae,Ridge,trained_baseline,True,0.0176835201894,0.0354673120622,0.124575311438,deterministic descriptive reference; no seed-based p-value,method-specific
p1_ieee_access_upgrade_v2,0.70,1,not_applicable,DirectPolicyTransform-Privileged,privileged_audit,False,0,0,0.333333333333,privileged construction/visibility audit; not a forecaster,method-specific
p1_ieee_access_upgrade_v2,0.70,1,not_applicable,Persistence,naive_baseline,True,0.00690794195226,0.0239618849157,0,deterministic descriptive reference; no seed-based p-value,Persistence
p1_ieee_access_upgrade_v2,0.70,1,not_applicable,Seasonal-24h,naive_baseline,True,0.0203666184332,0.0593524295402,0.10650887574,deterministic descriptive reference; no seed-based p-value,method-specific
p1_ieee_access_upgrade_v2,0.70,1,onset_f1,Ridge,trained_baseline,True,0.0203672886692,0.0511172399203,0.111627906977,deterministic descriptive reference; no seed-based p-value,method-specific
p1_ieee_access_upgrade_v2,0.70,24,mae,Ridge,trained_baseline,True,0.0226168227231,0.0493340381846,0.232288037166,deterministic descriptive reference; no seed-based p-value,method-specific
p1_ieee_access_upgrade_v2,0.70,24,not_applicable,DirectPolicyTransform-Privileged,privileged_audit,False,0,0,0.752735229759,privileged construction/visibility audit; not a forecaster,method-specific
p1_ieee_access_upgrade_v2,0.70,24,not_applicable,Persistence,naive_baseline,True,0.0205465079202,0.059613970395,0,deterministic descriptive reference; no seed-based p-value,Persistence
p1_ieee_access_upgrade_v2,0.70,24,not_applicable,Seasonal-24h,naive_baseline,True,0.0205465079202,0.059613970395,0,deterministic descriptive reference; no seed-based p-value,method-specific
p1_ieee_access_upgrade_v2,0.70,24,onset_f1,Ridge,trained_baseline,True,0.0254937101208,0.0519513313823,0.217882836588,deterministic descriptive reference; no seed-based p-value,method-specific
