paper,words,paragraphs,mean_paragraph_words,median_paragraph_words,display_equations,figures,tables,sentences,mean_sentence_words,median_sentence_words,p90_sentence_words,short_sentence_share_le15,long_sentence_share_gt40,first_person_share,passive_proxy_share,contrast_connector_share,cause_connector_share,qualification_connector_share,evidence_connector_share,logic_spine_score_5,math_foundation_score_5,statistics_score_5,ml_or_optimization_foundation_score_5,title,target
P2,6317,77,62.324675324675326,50,30,14,7,198,24.237373737373737,21.0,36,0.2828282828282828,0.0707070707070707,0.025252525252525252,0.19696969696969696,0.050505050505050504,0.015151515151515152,0.050505050505050504,0.10606060606060606,1.67,2.0,0.5,1.5,The Study of an Improved Particle Swarm Optimization Algorithm Applied to Economic Dispatch in Microgrids,Electronics
P2,4608,51,73.49019607843137,61,8,9,1,139,26.964028776978417,22,48,0.2014388489208633,0.12949640287769784,0.02158273381294964,0.4748201438848921,0.06474820143884892,0.04316546762589928,0.03597122302158273,0.050359712230215826,2.78,2.67,0.5,2.0,Multi-Objective Site Selection and Capacity Determination of Distribution Network Considering New Energy Uncertainties and Shared Energy Storage of Electric Vehicles,Electronics
P3,8533,82,83.04878048780488,67.0,30,23,11,260,26.176923076923078,21.5,41,0.25769230769230766,0.10384615384615385,0.0038461538461538464,0.3576923076923077,0.04230769230769231,0.03461538461538462,0.09230769230769231,0.1076923076923077,2.78,3.0,1.0,2.0,Reliability-Oriented Distribution System Reinforcement Planning with Renewable Resources Considering Network Restoration and Intentional Islanding,Energies
P3,6625,76,66.05263157894737,58.0,13,12,11,198,25.353535353535353,22.0,41,0.26262626262626265,0.10101010101010101,0.005050505050505051,0.3686868686868687,0.04040404040404041,0.050505050505050504,0.045454545454545456,0.12626262626262627,3.33,3.0,0.5,2.0,"A Classification-Based Global Optimization Approach for Integrated Planning of Distributed Generation, Capacitor Banks, and Electric Vehicle Charging Stations in Radial Distribution Networks",Energies
P3,10936,137,56.00729927007299,47,60,9,10,276,27.80072463768116,23.0,44,0.22826086956521738,0.12681159420289856,0.0,0.5471014492753623,0.0036231884057971015,0.0036231884057971015,0.028985507246376812,0.06159420289855073,1.67,3.0,1.0,1.0,"Transmission and Generation Expansion Planning Considering Virtual Power Lines/Plants, Distributed Energy Injection and Demand Response Flexibility from TSO-DSO Interface",Energies
P3,6776,83,65.50602409638554,54,22,16,13,248,21.919354838709676,21.0,34,0.31048387096774194,0.05241935483870968,0.008064516129032258,0.32661290322580644,0.020161290322580645,0.04838709677419355,0.04435483870967742,0.06451612903225806,2.78,3.5,1.0,2.5,Economic Dispatch in Electrical Systems with Hybrid Generation Using the Differential Evolution Algorithm: A Comparative Analysis with Other Optimization Techniques Under Energy Limitation Scenarios,Energies
P3,5826,65,69.03076923076924,56,25,6,7,154,29.136363636363637,23.5,55,0.2077922077922078,0.14935064935064934,0.006493506493506494,0.33116883116883117,0.012987012987012988,0.032467532467532464,0.05194805194805195,0.09740259740259741,1.67,3.5,1.0,3.5,Multi-Objective Collaborative Optimization of Distribution Networks with Energy Storage and Electric Vehicles Using an Improved NSGA-II Algorithm,Energies
P3,8313,88,65.77272727272727,47.0,26,11,5,205,28.204878048780486,26,48,0.16585365853658537,0.15121951219512195,0.0,0.32195121951219513,0.04390243902439024,0.02926829268292683,0.05365853658536585,0.08780487804878048,1.67,4.0,2.0,2.5,Vulnerability-Driven Multi-Objective Energy Storage Planning Using Enhanced Beluga Whale Optimization for Resilient Distribution Networks,Energies
P3,6566,103,50.019417475728154,38,16,6,3,185,27.84864864864865,23,43,0.22162162162162163,0.12432432432432433,0.0,0.32972972972972975,0.04864864864864865,0.005405405405405406,0.043243243243243246,0.05945945945945946,2.22,3.0,0.5,0.5,Coordinated Source–Network–Storage Expansion Planning of Active Distribution Networks Based on WGAN-GP Scenario Generation,Energies
P3,8328,84,68.58333333333333,41.5,45,9,7,188,30.643617021276597,25.5,47,0.20212765957446807,0.14361702127659576,0.015957446808510637,0.3191489361702128,0.03723404255319149,0.0425531914893617,0.0425531914893617,0.10638297872340426,2.22,3.5,0.5,1.5,Active Distribution Network Expansion Planning Based on Wasserstein Distance and Dual Relaxation,Energies
P3,10095,122,65.02459016393442,51.0,33,16,6,280,28.332142857142856,24.0,42,0.17857142857142858,0.11785714285714285,0.0035714285714285713,0.325,0.017857142857142856,0.02857142857142857,0.06785714285714285,0.09642857142857143,2.22,3.5,1.0,1.0,A Distributed Energy Storage-Based Planning Method for Enhancing Distribution Network Resilience,Energies
P3,6561,54,66.61111111111111,55.5,39,15,11,163,22.067484662576685,19,38,0.31901840490797545,0.06748466257668712,0.006134969325153374,0.48466257668711654,0.012269938650306749,0.05521472392638037,0.018404907975460124,0.06134969325153374,1.67,3.5,1.0,1.5,Flexible Reconfiguration for Optimal Operation of Distribution Network Under Renewable Generation and Load Uncertainty,Energies
P4,10095,122,65.02459016393442,51.0,33,16,6,280,28.332142857142856,24.0,42,0.17857142857142858,0.11785714285714285,0.0035714285714285713,0.325,0.017857142857142856,0.02857142857142857,0.06785714285714285,0.09642857142857143,2.22,3.5,1.0,1.0,A Distributed Energy Storage-Based Planning Method for Enhancing Distribution Network Resilience,Energies
P4,6561,54,66.61111111111111,55.5,39,15,11,163,22.067484662576685,19,38,0.31901840490797545,0.06748466257668712,0.006134969325153374,0.48466257668711654,0.012269938650306749,0.05521472392638037,0.018404907975460124,0.06134969325153374,1.67,3.5,1.0,1.5,Flexible Reconfiguration for Optimal Operation of Distribution Network Under Renewable Generation and Load Uncertainty,Energies
P4,5803,63,76.28571428571429,55,23,8,2,227,21.17180616740088,20,30,0.30837004405286345,0.048458149779735685,0.01762114537444934,0.18502202643171806,0.039647577092511016,0.013215859030837005,0.04405286343612335,0.0881057268722467,2.78,3.0,0.5,2.5,Distribution Network Optimization and Flexibility Enhancement Based on Power Grid Equipment Maintenance,Energies
P4,5826,65,69.03076923076924,56,25,6,7,154,29.136363636363637,23.5,55,0.2077922077922078,0.14935064935064934,0.006493506493506494,0.33116883116883117,0.012987012987012988,0.032467532467532464,0.05194805194805195,0.09740259740259741,1.67,3.5,1.0,3.5,Multi-Objective Collaborative Optimization of Distribution Networks with Energy Storage and Electric Vehicles Using an Improved NSGA-II Algorithm,Energies
P4,9066,101,69.98019801980197,53,31,6,9,319,22.156739811912225,21,35,0.2727272727272727,0.047021943573667714,0.0,0.31974921630094044,0.0438871473354232,0.07210031347962383,0.06583072100313479,0.09717868338557993,2.22,3.5,1.5,1.5,A Differential Planning Strategy for Distribution Network Resilience Enhancement Considering Decision Dependence Uncertainty,Energies
P4,8742,90,75.75555555555556,58.0,29,9,3,254,26.84251968503937,23.5,41,0.1889763779527559,0.11023622047244094,0.0,0.2874015748031496,0.06692913385826772,0.04330708661417323,0.05511811023622047,0.09448818897637795,1.67,4.0,0.5,3.0,Integrated Multi-Criteria Planning for Resilient Renewable Energy-Based Microgrid Considering Advanced Demand Response and Uncertainty,Energies
P4,8533,82,83.04878048780488,67.0,30,23,11,260,26.176923076923078,21.5,41,0.25769230769230766,0.10384615384615385,0.0038461538461538464,0.3576923076923077,0.04230769230769231,0.03461538461538462,0.09230769230769231,0.1076923076923077,2.78,3.0,1.0,2.0,Reliability-Oriented Distribution System Reinforcement Planning with Renewable Resources Considering Network Restoration and Intentional Islanding,Energies
P4,6625,76,66.05263157894737,58.0,13,12,11,198,25.353535353535353,22.0,41,0.26262626262626265,0.10101010101010101,0.005050505050505051,0.3686868686868687,0.04040404040404041,0.050505050505050504,0.045454545454545456,0.12626262626262627,3.33,3.0,0.5,2.0,"A Classification-Based Global Optimization Approach for Integrated Planning of Distributed Generation, Capacitor Banks, and Electric Vehicle Charging Stations in Radial Distribution Networks",Energies
P4,10936,137,56.00729927007299,47,60,9,10,276,27.80072463768116,23.0,44,0.22826086956521738,0.12681159420289856,0.0,0.5471014492753623,0.0036231884057971015,0.0036231884057971015,0.028985507246376812,0.06159420289855073,1.67,3.0,1.0,1.0,"Transmission and Generation Expansion Planning Considering Virtual Power Lines/Plants, Distributed Energy Injection and Demand Response Flexibility from TSO-DSO Interface",Energies
P4,6776,83,65.50602409638554,54,22,16,13,248,21.919354838709676,21.0,34,0.31048387096774194,0.05241935483870968,0.008064516129032258,0.32661290322580644,0.020161290322580645,0.04838709677419355,0.04435483870967742,0.06451612903225806,2.78,3.5,1.0,2.5,Economic Dispatch in Electrical Systems with Hybrid Generation Using the Differential Evolution Algorithm: A Comparative Analysis with Other Optimization Techniques Under Energy Limitation Scenarios,Energies
P5,7390,103,57.48543689320388,41,24,7,3,249,23.779116465863453,21,37,0.2931726907630522,0.08433734939759036,0.0321285140562249,0.28112449799196787,0.040160642570281124,0.09236947791164658,0.06827309236947791,0.07630522088353414,3.33,4.0,1.0,2.0,A Hybrid Heuristic–Benders Method for Wind–Hydrogen Investment Planning with Non-Analytical Cost Functions,Energies
P5,13563,134,84.58208955223881,81.5,7,5,8,481,23.563409563409564,22,36,0.20997920997921,0.04781704781704782,0.004158004158004158,0.3284823284823285,0.04365904365904366,0.12266112266112267,0.10187110187110188,0.10395010395010396,3.89,2.58,1.5,2.0,A Secondary-Data-Driven Decision Support Framework for Strategic Energy Investment Prioritization: An Explainable Multi-Criteria Application Across Countries,Energies
P5,6647,68,71.5,62.0,36,17,1,185,26.243243243243242,22,44,0.21621621621621623,0.13513513513513514,0.05405405405405406,0.17297297297297298,0.021621621621621623,0.010810810810810811,0.043243243243243246,0.05945945945945946,1.67,3.5,1.0,3.5,Multi-Objective Optimization for the Low-Carbon Operation of Integrated Energy Systems Based on an Improved Genetic Algorithm,Energies
P5,7736,79,70.49367088607595,50,40,9,1,166,33.54819277108434,29.0,55,0.13855421686746988,0.24096385542168675,0.006024096385542169,0.26506024096385544,0.024096385542168676,0.04819277108433735,0.04819277108433735,0.04216867469879518,2.78,3.0,1.0,2.0,Multi-Objective Optimization of Energy Storage Station Configuration in Power Grids Considering the Flexibility of Thermal Load Control,Energies
P5,9423,98,84.44897959183673,69.5,9,16,10,364,22.736263736263737,21.0,35,0.25,0.04395604395604396,0.0,0.21153846153846154,0.07417582417582418,0.019230769230769232,0.027472527472527472,0.12362637362637363,2.78,2.25,0.5,1.0,Optimization of Grid-Connected and Off-Grid Hybrid Energy Systems for a Greenhouse Facility,Energies
P5,9988,98,83.48979591836735,70.5,36,10,8,284,28.795774647887324,25.0,42,0.14788732394366197,0.10211267605633803,0.007042253521126761,0.34507042253521125,0.07042253521126761,0.028169014084507043,0.09507042253521127,0.10211267605633803,2.22,3.0,0.5,1.5,"Multi-Timescale Coordinated Planning of Wind, Solar, and Energy Storage Considering Generalized Adequacy",Energies
P5,6692,83,53.68674698795181,45,22,9,14,179,24.88268156424581,22,42,0.2122905027932961,0.11731843575418995,0.0893854748603352,0.25139664804469275,0.11173184357541899,0.07262569832402235,0.0446927374301676,0.12290502793296089,2.22,4.0,0.0,1.5,A Novel Hybrid Power-Grid Investment Optimization Model with Collaborative Consideration of Risk and Benefit,Energies
P5,9187,120,64.36666666666666,55.0,21,6,8,306,25.241830065359476,23.5,37,0.17647058823529413,0.06535947712418301,0.0,0.3431372549019608,0.0784313725490196,0.07516339869281045,0.06209150326797386,0.08823529411764706,2.22,4.0,1.5,4.0,Bi-Objective Resilient Backbone-Grid Planning via a Three-Stage TER-NSGA-II Approach Considering Pumped-Storage Hub Effects,Energies
P5,6395,53,100.58490566037736,75,18,14,8,182,29.291208791208792,25.0,48,0.10989010989010989,0.15934065934065933,0.038461538461538464,0.3516483516483517,0.027472527472527472,0.038461538461538464,0.06043956043956044,0.09340659340659341,1.11,3.0,1.0,3.5,Multi-Objective Optimization of Offshore Wind Farm Configuration for Energy Storage Based on NSGA-II,Energies
P5,8598,116,56.28448275862069,38.0,40,12,4,231,28.264069264069263,23,44,0.22077922077922077,0.12121212121212122,0.012987012987012988,0.18181818181818182,0.030303030303030304,0.021645021645021644,0.04329004329004329,0.05194805194805195,2.22,3.5,0.5,2.5,A Two-Tier Planning Approach for Hybrid Energy Storage Systems Considering Grid Power Flexibility in New Energy High-Penetration Grids,Energies
P6,11527,149,50.604026845637584,33,63,2,9,232,32.5,26.0,59,0.14224137931034483,0.1939655172413793,0.0,0.6896551724137931,0.021551724137931036,0.05603448275862069,0.05603448275862069,0.07758620689655173,2.22,3.5,1.0,1.0,Optimal Planning and Investment Return Analysis of Grid-Side Energy Storage System Addressing Multi-Dimensional Grid Security Requirements,Applied Sciences
P6,10092,85,91.34117647058824,66,30,7,6,230,33.756521739130434,26.0,53,0.18695652173913044,0.2,0.013043478260869565,0.25217391304347825,0.04782608695652174,0.034782608695652174,0.04782608695652174,0.09130434782608696,2.22,2.5,1.5,1.0,Multi-Stage Coordinated Planning for Transmission and Energy Storage Considering Large-Scale Renewable Energy Integration,Applied Sciences
P6,7044,81,77.64197530864197,69,0,5,4,219,28.71689497716895,24,45,0.1780821917808219,0.1461187214611872,0.0547945205479452,0.319634703196347,0.0410958904109589,0.0867579908675799,0.0547945205479452,0.0547945205479452,1.67,2.0,0.0,1.0,Comprehensive Energy Analysis of Vehicle-to-Grid (V2G) Integration with the Power Grid: A Systemic Approach Incorporating Integrated Resource Planning Methodology,Applied Sciences
P6,6285,56,96.33928571428571,68.0,17,8,13,218,24.724770642201836,22.0,37,0.16055045871559634,0.0779816513761468,0.0,0.45871559633027525,0.045871559633027525,0.11009174311926606,0.01834862385321101,0.1743119266055046,1.11,2.5,1.5,1.0,Interruption Cost Estimation for Value-Based Reliability Investment in Emerging Smart Grid Resources,Applied Sciences
P6,6182,60,83.6,65.0,3,13,2,243,20.641975308641975,20,29,0.26337448559670784,0.03292181069958848,0.03292181069958848,0.12757201646090535,0.0411522633744856,0.02880658436213992,0.06172839506172839,0.07818930041152264,3.33,2.25,1.0,2.0,Multi-Stage Stochastic MILP Framework for Renewable Microgrid Dispatch Under High Renewable Penetration: Optimizing Variability and Uncertainty Management,Applied Sciences
P6,7174,84,69.07142857142857,50.0,15,13,7,203,28.571428571428573,25,45,0.17733990147783252,0.13793103448275862,0.06896551724137931,0.43349753694581283,0.009852216748768473,0.08866995073891626,0.009852216748768473,0.16748768472906403,2.78,1.0,0.5,0.5,Real-Time Short-Circuit Current Calculation in Electrical Distribution Systems Considering the Uncertainty of Renewable Resources and Electricity Loads,Applied Sciences
P6,7821,87,57.54022988505747,47,43,13,15,227,22.044052863436125,19,33,0.3524229074889868,0.05286343612334802,0.0,0.22466960352422907,0.030837004405286344,0.10572687224669604,0.048458149779735685,0.05286343612334802,3.33,4.0,2.0,3.0,A Repair-Based Improved Whale Optimization Algorithm for Low-Carbon Economic Dispatch of an Islanded Renewable Microgrid,Applied Sciences
P6,12195,132,65.40151515151516,48.0,23,9,6,317,27.233438485804417,23,42,0.22082018927444794,0.11041009463722397,0.006309148264984227,0.2870662460567823,0.08201892744479496,0.0473186119873817,0.10725552050473186,0.05993690851735016,1.67,3.0,0.5,1.5,Optimal Dispatch of Multi-Coupling Systems Considering Molten Salt Thermal Energy Storage Retrofit and Cost Allocation Under Rapid Load Variations,Applied Sciences
P6,6035,53,74.0377358490566,68,11,7,7,164,23.914634146341463,22.0,35,0.22560975609756098,0.06097560975609756,0.012195121951219513,0.5365853658536586,0.024390243902439025,0.036585365853658534,0.006097560975609756,0.07317073170731707,2.22,2.92,0.5,2.0,Analysis of Heuristic Optimization Technique Solutions for Combined Heat-Power Economic Load Dispatch,Applied Sciences
P6,9253,57,146.7719298245614,116,15,9,4,311,26.90032154340836,26,39,0.12540192926045016,0.08360128617363344,0.04180064308681672,0.1864951768488746,0.05787781350482315,0.05144694533762058,0.06430868167202572,0.06752411575562701,3.89,3.5,1.0,1.5,Power Grid Load Forecasting Using a CNN-LSTM Network Based on a Multi-Modal Attention Mechanism,Applied Sciences
