paper,words,paragraphs,mean_paragraph_words,median_paragraph_words,display_equations,figures,tables,sentences,mean_sentence_words,median_sentence_words,p90_sentence_words,short_sentence_share_le15,long_sentence_share_gt40,first_person_share,passive_proxy_share,contrast_connector_share,cause_connector_share,qualification_connector_share,evidence_connector_share,logic_spine_score_5,math_foundation_score_5,statistics_score_5,ml_or_optimization_foundation_score_5,title,target
P1,13758,172,59.2906976744186,46.5,8,9,11,388,26.237113402061855,23.0,44,0.20876288659793815,0.12886597938144329,0.005154639175257732,0.4536082474226804,0.04639175257731959,0.059278350515463915,0.05412371134020619,0.13144329896907217,2.22,2.67,1.5,1.5,Evaluation of System Performance for Load Dispatch Feasibility Under N-1 Generator Contingencies in Day-Ahead Unit Commitment,IEEE Access
P1,5145,66,71.77272727272727,56.0,3,5,3,213,22.169014084507044,20,37,0.2676056338028169,0.07511737089201878,0.215962441314554,0.22065727699530516,0.028169014084507043,0.03286384976525822,0.03755868544600939,0.0892018779342723,2.78,2.25,0.5,4.5,LoadSeer: Exploiting Tensor Graph Convolutional Network for Power Load Forecasting With Spatio-Temporal Characteristics,IEEE Access
P1,17993,181,76.1878453038674,59,20,12,20,567,24.156966490299823,21,42,0.2786596119929453,0.1164021164021164,0.012345679012345678,0.3844797178130511,0.04585537918871252,0.04056437389770723,0.054673721340388004,0.10052910052910052,2.78,3.5,2.0,2.0,Enhanced Coati Optimization Algorithm for Static and Dynamic Transmission Network Expansion Planning Problems,IEEE Access
P1,5406,51,69.62745098039215,52,0,8,2,129,27.48062015503876,25,51,0.26356589147286824,0.1937984496124031,0.07751937984496124,0.4496124031007752,0.046511627906976744,0.031007751937984496,0.03875968992248062,0.15503875968992248,1.11,1.5,1.5,3.0,Short Term Power Load Combination Forecasting Method Based on Feature Extraction,IEEE Access
P1,6624,67,87.28358208955224,67,14,13,5,216,27.01388888888889,23.0,44,0.2222222222222222,0.12962962962962962,0.07407407407407407,0.2638888888888889,0.027777777777777776,0.06018518518518518,0.037037037037037035,0.11574074074074074,2.78,3.5,0.5,4.5,Enhancing Short-Term Power Load Forecasting With a TimesNet-Crossformer-LSTM Approach,IEEE Access
P1,4029,57,57.228070175438596,40,17,6,6,95,34.252631578947366,26,63,0.2,0.25263157894736843,0.0,0.29473684210526313,0.05263157894736842,0.042105263157894736,0.07368421052631578,0.11578947368421053,0.0,1.0,0.5,1.5,Short-Term Power Load Forecasting Based on DE-IHHO Optimized BiLSTM,IEEE Access
P1,7246,91,54.94505494505494,40,16,9,7,197,25.299492385786802,19,49,0.3350253807106599,0.13705583756345177,0.04568527918781726,0.6091370558375635,0.02030456852791878,0.01015228426395939,0.01015228426395939,0.08121827411167512,1.67,3.5,0.5,2.5,The Power Load Forecasting Model of Combined SaDE-ELM and FA-CAWOA-SVM Based on CSSA,IEEE Access
P1,5036,71,57.478873239436616,49,10,15,4,172,23.697674418604652,20.5,42,0.3081395348837209,0.11046511627906977,0.011627906976744186,0.4011627906976744,0.023255813953488372,0.03488372093023256,0.011627906976744186,0.11627906976744186,2.22,2.83,1.5,2.5,Short-Term Load Forecasting for Electrical Power Distribution Systems Using Enhanced Deep Neural Networks,IEEE Access
P1,5403,53,64.60377358490567,50,5,5,4,107,31.91588785046729,27,58,0.22429906542056074,0.2803738317757009,0.028037383177570093,0.48598130841121495,0.009345794392523364,0.037383177570093455,0.018691588785046728,0.16822429906542055,1.67,2.92,1.5,3.0,Short-Term Power Load Forecasting Based on VMD-Pyraformer-Adan,IEEE Access
P1,7201,76,66.09210526315789,50.5,4,5,2,206,24.33009708737864,21.0,40,0.27184466019417475,0.09223300970873786,0.11165048543689321,0.30097087378640774,0.06796116504854369,0.07766990291262135,0.019417475728155338,0.07766990291262135,3.33,1.83,0.5,2.5,Communication-Efficient Federated Learning for Power Load Forecasting in Electric IoTs,IEEE Access
P2,5328,57,85.24561403508773,81,8,12,5,194,25.04639175257732,23.0,43,0.23195876288659795,0.12371134020618557,0.010309278350515464,0.25257731958762886,0.04639175257731959,0.030927835051546393,0.020618556701030927,0.10824742268041238,1.11,2.67,0.5,2.5,Research on a Short-Term Power Load Forecasting Method Based on a Three-Channel LSTM-CNN,Electronics
P2,5969,94,54.11702127659574,43.0,17,12,4,184,27.64673913043478,24.0,44,0.21739130434782608,0.14673913043478262,0.010869565217391304,0.29347826086956524,0.03804347826086957,0.02717391304347826,0.04891304347826087,0.08695652173913043,2.78,3.5,1.5,3.0,Bayesian-Optimized GCN-BiLSTM-Adaboost Model for Power-Load Forecasting,Electronics
P2,7784,86,69.69767441860465,50.5,28,14,9,246,24.365853658536587,22.0,41,0.23170731707317074,0.10975609756097561,0.012195121951219513,0.3699186991869919,0.056910569105691054,0.044715447154471545,0.04878048780487805,0.14634146341463414,2.22,3.5,1.0,3.0,A Short-Term Power Load Forecasting Method Based on SBOA–SVMD-TCN–BiLSTM,Electronics
P2,8004,112,61.419642857142854,47.0,14,10,7,342,20.108187134502923,20.0,30,0.2807017543859649,0.008771929824561403,0.13157894736842105,0.25146198830409355,0.0029239766081871343,0.02046783625730994,0.06725146198830409,0.05263157894736842,2.78,3.5,1.0,3.0,Innovative Load Forecasting Models and Intelligent Control Strategy for Enhancing Distributed Load Levelling Techniques in Resilient Smart Grids,Electronics
P2,5862,63,79.25396825396825,65,13,10,4,219,22.799086757990867,21,36,0.2694063926940639,0.0547945205479452,0.0136986301369863,0.2968036529680365,0.0365296803652968,0.0365296803652968,0.0228310502283105,0.0684931506849315,3.33,2.5,1.5,3.0,A Power Load Forecasting Method Based on Intelligent Data Analysis,Electronics
P2,9024,93,66.61290322580645,48,28,16,7,211,29.360189573459717,23,44,0.17535545023696683,0.12322274881516587,0.004739336492890996,0.3080568720379147,0.023696682464454975,0.02843601895734597,0.07582938388625593,0.14691943127962084,1.67,2.5,1.0,1.0,Low Carbon Economic Dispatch of IES Considering Flexibility and Multi-Entity Participation Based on Improved PSO,Electronics
P2,7050,87,67.73563218390805,52,29,6,4,190,31.010526315789473,25.0,48,0.16842105263157894,0.15263157894736842,0.015789473684210527,0.34210526315789475,0.03684210526315789,0.06842105263157895,0.07894736842105263,0.07894736842105263,2.22,2.5,1.0,1.5,Dynamic Line Rating and Transformer-Life-Loss-Related Unit Commitment Under Extreme High-Temperature Conditions,Electronics
P2,7189,92,62.20652173913044,54.5,18,10,5,257,22.252918287937742,20,34,0.2801556420233463,0.054474708171206226,0.0,0.21011673151750973,0.07003891050583658,0.01556420233463035,0.054474708171206226,0.10894941634241245,2.22,3.5,0.5,2.5,Optimizing Economic Dispatch for Microgrid Clusters Using Improved Grey Wolf Optimization,Electronics
