paper,words,paragraphs,mean_paragraph_words,median_paragraph_words,display_equations,figures,tables,sentences,mean_sentence_words,median_sentence_words,p90_sentence_words,short_sentence_share_le15,long_sentence_share_gt40,first_person_share,passive_proxy_share,contrast_connector_share,cause_connector_share,qualification_connector_share,evidence_connector_share,logic_spine_score_5,math_foundation_score_5,statistics_score_5,ml_or_optimization_foundation_score_5,target,datasets,experiment_settings,baselines,ablations_or_controls,seeded_runs
P1,6604,83,68.60240963855422,56,10,8,5,270,21.08888888888889,18.5,38,0.3814814814814815,0.07407407407407407,0.040740740740740744,0.18888888888888888,0.02962962962962963,0.11481481481481481,0.025925925925925925,0.14814814814814814,3.89,2.83,3.0,4.0,IEEE Access,2,5,8,5,208
P2,6374,91,58.505494505494504,49,16,8,5,254,20.96062992125984,18.0,36,0.41732283464566927,0.08267716535433071,0.05905511811023622,0.21653543307086615,0.01968503937007874,0.051181102362204724,0.047244094488188976,0.16929133858267717,4.44,3.5,4.0,5.0,Electronics,3,5,5,5,860
P3,7131,94,63.09574468085106,53.5,17,9,8,277,21.411552346570396,18,38,0.37545126353790614,0.07942238267148015,0.04693140794223827,0.1588447653429603,0.032490974729241874,0.11552346570397112,0.04332129963898917,0.09747292418772563,3.89,4.5,3.5,4.5,Energies,1,7,9,4,2940
P4,7903,121,54.049586776859506,51,21,9,8,319,20.49843260188088,17,37,0.438871473354232,0.08463949843260188,0.025078369905956112,0.15047021943573669,0.025078369905956112,0.06269592476489028,0.047021943573667714,0.09404388714733543,3.89,4.5,3.5,4.5,Energies,3,8,5,7,3120
P5,7849,120,56.475,56.0,20,8,6,331,20.474320241691842,17,36,0.40181268882175225,0.05740181268882175,0.00906344410876133,0.2054380664652568,0.015105740181268883,0.0513595166163142,0.045317220543806644,0.12386706948640483,3.89,4.5,5.0,4.0,Energies,4,10,7,8,3360
P6,7594,114,56.35964912280702,52.0,18,9,7,349,18.40974212034384,16,32,0.4498567335243553,0.05157593123209169,0.03724928366762178,0.1518624641833811,0.022922636103151862,0.08022922636103152,0.034383954154727794,0.08595988538681948,4.44,5.0,4.0,5.0,Applied Sciences,4,10,7,10,4320
