paper,source,category,words,paragraphs,mean_paragraph_words,subsections,comparator_mean_words,ratio_words,comparator_mean_paragraphs,ratio_paragraphs,comparator_mean_mean_paragraph_words,ratio_mean_paragraph_words,comparator_mean_subsections,ratio_subsections
P1,manuscript,abstract,202,2,101.0,1,105.7,1.911,0.7,2.857,81.55,1.239,0.4,2.5
P1,manuscript,introduction,656,7,93.71428571428571,1,1183.6,0.554,12.0,0.583,94.962,0.987,1.2,0.833
P1,manuscript,related_work,741,9,82.33333333333333,4,172.3,4.301,2.6,3.462,25.92,3.176,0.4,10.0
P1,manuscript,problem_data,829,16,51.8125,8,585.5,1.416,10.6,1.509,29.035,1.785,2.7,2.963
P1,manuscript,method,573,12,47.75,4,3316.2,0.173,52.7,0.228,63.583,0.751,14.7,0.272
P1,manuscript,experimental_setup,149,2,74.5,2,0.0,,0.0,,0.0,,0.0,
P1,manuscript,results,1480,23,64.34782608695652,6,437.7,3.381,7.8,2.949,11.602,5.546,0.8,7.5
P1,manuscript,discussion,488,5,97.6,4,65.3,7.473,1.7,2.941,3.841,25.409,0.5,8.0
P1,manuscript,limitations,240,1,240.0,1,0.0,,0.0,,0.0,,0.0,
P1,manuscript,conclusion,336,6,56.0,4,22.3,15.067,0.3,20.0,7.433,7.534,0.0,
P2,manuscript,abstract,177,2,88.5,1,62.7,2.823,0.3,6.667,62.7,1.411,0.2,5.0
P2,manuscript,introduction,608,9,67.55555555555556,1,1029.7,0.59,11.6,0.776,100.232,0.674,3.2,0.312
P2,manuscript,related_work,341,7,48.714285714285715,4,228.2,1.494,3.0,2.333,17.651,2.76,0.2,20.0
P2,manuscript,problem_data,398,9,44.22222222222222,3,41.6,9.567,0.7,12.857,5.943,7.441,0.4,7.5
P2,manuscript,method,617,15,41.13333333333333,6,2402.0,0.257,41.7,0.36,60.771,0.677,13.3,0.451
P2,manuscript,experimental_setup,380,10,38.0,3,0.0,,0.0,,0.0,,0.0,
P2,manuscript,results,1515,26,58.26923076923077,6,1234.7,1.227,17.6,1.477,71.261,0.818,11.0,0.545
P2,manuscript,discussion,429,5,85.8,3,15.7,27.325,0.2,25.0,7.85,10.93,0.1,30.0
P2,manuscript,limitations,414,1,414.0,1,0.0,,0.0,,0.0,,0.0,
P2,manuscript,conclusion,413,6,68.83333333333333,5,383.9,1.076,5.8,1.034,78.821,0.873,1.9,2.632
P3,manuscript,abstract,210,2,105.0,1,21.4,9.813,0.1,20.0,21.4,4.907,0.0,
P3,manuscript,introduction,646,7,92.28571428571429,1,1310.8,0.493,14.9,0.47,102.284,0.902,6.4,0.156
P3,manuscript,related_work,684,8,85.5,5,0.0,,0.0,,0.0,,0.0,
P3,manuscript,problem_data,553,10,55.3,3,293.8,1.882,5.8,1.724,9.542,5.795,1.2,2.5
P3,manuscript,method,448,11,40.72727272727273,6,2574.9,0.174,43.8,0.251,61.126,0.666,20.1,0.299
P3,manuscript,experimental_setup,568,13,43.69230769230769,4,0.0,,0.0,,0.0,,0.0,
P3,manuscript,results,1720,31,55.483870967741936,6,977.2,1.76,15.4,2.013,53.487,1.037,12.5,0.48
P3,manuscript,discussion,372,4,93.0,1,89.6,4.152,1.0,4.0,18.267,5.091,0.5,2.0
P3,manuscript,limitations,307,1,307.0,1,0.0,,0.0,,0.0,,0.0,
P3,manuscript,conclusion,423,7,60.42857142857143,5,495.0,0.855,8.3,0.843,53.986,1.119,2.6,1.923
P4,manuscript,abstract,203,2,101.5,1,46.5,4.366,0.3,6.667,33.95,2.99,0.0,
