paper,term,manuscript_count,comparator_mean_count,comparator_document_frequency,n_comparators
P1,non-dominated sorting,0,0,0,10
P1,constraint dominance,0,0,0,10
P1,crowding distance,0,0,0,10
P1,pareto front,0,0,0,10
P1,hypervolume,0,0,0,10
P1,objective function,0,1.5,4,10
P1,budget constraint,0,0,0,10
P1,feasibility repair,0,0,0,10
P1,sensitivity analysis,2,0.2,1,10
P1,ablation study,0,0.1,1,10
P1,mann-whitney,0,0,0,10
P1,holm correction,4,0,0,10
P1,confidence interval,0,0,0,10
P1,effect size,0,0,0,10
P1,standard deviation,0,0.4,3,10
P1,training set,0,1.1,5,10
P1,validation set,0,0.2,2,10
P1,test set,0,1.3,5,10
P1,temporal split,3,0,0,10
P1,data leakage,0,0,0,10
P1,baseline,44,1.1,4,10
P1,attention weights,0,0,0,10
P1,embedding,12,1,2,10
P1,encoder,21,0.2,2,10
P1,loss function,0,0.2,2,10
P1,computational complexity,0,0.1,1,10
P1,power flow,0,1.7,2,10
P1,ac feasibility,0,0,0,10
P1,distribution network,0,0,0,10
P1,load forecasting,3,22.9,8,10
P1,scenario screening,0,0,0,10
P1,external validity,0,0,0,10
P1,statistical significance,0,0,0,10
P1,random seed,0,0,0,10
P1,reproducibility,5,0.1,1,10
P2,non-dominated sorting,0,0,0,10
P2,constraint dominance,0,0,0,10
P2,crowding distance,0,0,0,10
P2,pareto front,0,0.3,1,10
P2,hypervolume,0,0,0,10
P2,objective function,0,4.2,8,10
P2,budget constraint,0,0,0,10
P2,feasibility repair,0,0,0,10
P2,sensitivity analysis,3,0.4,2,10
P2,ablation study,1,0,0,10
P2,mann-whitney,0,0,0,10
P2,holm correction,3,0,0,10
P2,confidence interval,0,0.3,1,10
P2,effect size,0,0,0,10
P2,standard deviation,1,0.3,2,10
P2,training set,0,0.6,3,10
P2,validation set,0,0,0,10
P2,test set,4,1,4,10
P2,temporal split,2,0,0,10
P2,data leakage,0,0,0,10
P2,baseline,24,0.1,1,10
P2,attention weights,2,0,0,10
P2,embedding,6,0,0,10
P2,encoder,10,0,0,10
P2,loss function,0,0.7,3,10
P2,computational complexity,0,0.8,4,10
P2,power flow,0,1.7,2,10
P2,ac feasibility,0,0,0,10
P2,distribution network,1,2.1,5,10
P2,load forecasting,8,13.3,6,10
P2,scenario screening,0,0,0,10
P2,external validity,0,0,0,10
P2,statistical significance,1,0.1,1,10
P2,random seed,0,0,0,10
P2,reproducibility,1,0,0,10
P3,non-dominated sorting,1,0.2,2,10
P3,constraint dominance,1,0,0,10
P3,crowding distance,1,0.1,1,10
P3,pareto front,1,0.7,2,10
P3,hypervolume,29,0,0,10
P3,objective function,0,7.4,10,10
P3,budget constraint,0,0.4,1,10
P3,feasibility repair,0,0,0,10
P3,sensitivity analysis,1,0.9,4,10
P3,ablation study,3,0,0,10
P3,mann-whitney,0,0,0,10
P3,holm correction,5,0,0,10
P3,confidence interval,0,0.2,1,10
P3,effect size,1,0,0,10
P3,standard deviation,0,0.8,5,10
P3,training set,0,0,0,10
P3,validation set,1,0,0,10
P3,test set,0,0,0,10
P3,temporal split,0,0,0,10
P3,data leakage,0,0,0,10
P3,baseline,40,0.6,3,10
P3,attention weights,0,0,0,10
P3,embedding,0,0,0,10
P3,encoder,0,0,0,10
P3,loss function,0,0.1,1,10
P3,computational complexity,0,0.3,1,10
P3,power flow,4,4.7,10,10
P3,ac feasibility,5,0,0,10
P3,distribution network,7,20.9,8,10
P3,load forecasting,0,0,0,10
P3,scenario screening,0,0,0,10
P3,external validity,0,0,0,10
P3,statistical significance,0,0.1,1,10
P3,random seed,0,0,0,10
P3,reproducibility,1,0.1,1,10
P4,non-dominated sorting,5,0.1,1,10
P4,constraint dominance,0,0,0,10
P4,crowding distance,0,0.1,1,10
P4,pareto front,1,0.7,2,10
P4,hypervolume,37,0,0,10
P4,objective function,0,6.5,10,10
P4,budget constraint,0,0.4,1,10
P4,feasibility repair,6,0,0,10
P4,sensitivity analysis,2,2,5,10
P4,ablation study,3,0,0,10
P4,mann-whitney,0,0,0,10
P4,holm correction,3,0,0,10
P4,confidence interval,0,0,0,10
P4,effect size,1,0,0,10
P4,standard deviation,0,0.6,4,10
P4,training set,0,0,0,10
P4,validation set,0,0,0,10
P4,test set,0,0,0,10
P4,temporal split,0,0,0,10
P4,data leakage,0,0,0,10
P4,baseline,34,0.6,3,10
P4,attention weights,0,0,0,10
P4,embedding,0,0,0,10
P4,encoder,0,0,0,10
P4,loss function,0,0,0,10
P4,computational complexity,0,0.5,3,10
P4,power flow,5,4.3,9,10
P4,ac feasibility,4,0,0,10
P4,distribution network,3,19.5,7,10
P4,load forecasting,0,0.2,2,10
P4,scenario screening,9,0.1,1,10
P4,external validity,0,0,0,10
P4,statistical significance,0,0.1,1,10
P4,random seed,2,0,0,10
P4,reproducibility,1,0.1,1,10
P5,non-dominated sorting,5,1.3,4,10
P5,constraint dominance,1,0,0,10
P5,crowding distance,0,2.6,4,10
P5,pareto front,0,3.6,4,10
P5,hypervolume,37,0,0,10
P5,objective function,1,3.9,8,10
P5,budget constraint,0,0.1,1,10
P5,feasibility repair,0,0,0,10
P5,sensitivity analysis,0,3.3,5,10
P5,ablation study,0,0,0,10
P5,mann-whitney,0,0,0,10
P5,holm correction,2,0,0,10
P5,confidence interval,2,0,0,10
P5,effect size,1,0.2,1,10
P5,standard deviation,4,0.6,3,10
P5,training set,0,0,0,10
P5,validation set,0,0,0,10
P5,test set,0,0,0,10
P5,temporal split,0,0,0,10
P5,data leakage,0,0,0,10
P5,baseline,32,7.3,6,10
P5,attention weights,0,0,0,10
P5,embedding,0,0.1,1,10
P5,encoder,0,0,0,10
P5,loss function,0,0,0,10
P5,computational complexity,0,0.3,3,10
P5,power flow,0,2.7,2,10
P5,ac feasibility,0,0,0,10
P5,distribution network,0,0.7,3,10
P5,load forecasting,0,0,0,10
P5,scenario screening,0,0,0,10
P5,external validity,2,0,0,10
P5,statistical significance,0,0,0,10
P5,random seed,0,0,0,10
P5,reproducibility,0,0.3,2,10
P6,non-dominated sorting,6,0,0,10
P6,constraint dominance,1,0,0,10
P6,crowding distance,1,0,0,10
P6,pareto front,0,0,0,10
P6,hypervolume,29,0,0,10
P6,objective function,0,3,6,10
P6,budget constraint,2,0,0,10
P6,feasibility repair,0,0,0,10
P6,sensitivity analysis,1,0.9,4,10
P6,ablation study,1,0.8,2,10
P6,mann-whitney,2,0,0,10
P6,holm correction,2,0,0,10
P6,confidence interval,2,0,0,10
P6,effect size,0,0,0,10
P6,standard deviation,2,0.5,1,10
P6,training set,0,0,0,10
P6,validation set,0,0,0,10
P6,test set,0,0.1,1,10
P6,temporal split,0,0,0,10
P6,data leakage,0,0,0,10
P6,baseline,39,1.5,4,10
P6,attention weights,0,0.1,1,10
P6,embedding,0,0,0,10
P6,encoder,0,0,0,10
P6,loss function,0,0,0,10
P6,computational complexity,0,0.4,1,10
P6,power flow,0,4.3,5,10
P6,ac feasibility,0,0,0,10
P6,distribution network,0,4.9,3,10
P6,load forecasting,0,6.6,2,10
P6,scenario screening,0,0,0,10
