paper,target,manuscript_words,comparator_mean_words,ratio_words,manuscript_paragraphs,comparator_mean_paragraphs,ratio_paragraphs,manuscript_mean_paragraph_words,comparator_mean_mean_paragraph_words,ratio_mean_paragraph_words,manuscript_median_paragraph_words,comparator_mean_median_paragraph_words,ratio_median_paragraph_words,manuscript_display_equations,comparator_mean_display_equations,ratio_display_equations,manuscript_figures,comparator_mean_figures,ratio_figures,manuscript_tables,comparator_mean_tables,ratio_tables,manuscript_sentences,comparator_mean_sentences,ratio_sentences,manuscript_mean_sentence_words,comparator_mean_mean_sentence_words,ratio_mean_sentence_words,manuscript_median_sentence_words,comparator_mean_median_sentence_words,ratio_median_sentence_words,manuscript_p90_sentence_words,comparator_mean_p90_sentence_words,ratio_p90_sentence_words,manuscript_short_sentence_share_le15,comparator_mean_short_sentence_share_le15,ratio_short_sentence_share_le15,manuscript_long_sentence_share_gt40,comparator_mean_long_sentence_share_gt40,ratio_long_sentence_share_gt40,manuscript_first_person_share,comparator_mean_first_person_share,ratio_first_person_share,manuscript_passive_proxy_share,comparator_mean_passive_proxy_share,ratio_passive_proxy_share,manuscript_contrast_connector_share,comparator_mean_contrast_connector_share,ratio_contrast_connector_share,manuscript_cause_connector_share,comparator_mean_cause_connector_share,ratio_cause_connector_share,manuscript_qualification_connector_share,comparator_mean_qualification_connector_share,ratio_qualification_connector_share,manuscript_evidence_connector_share,comparator_mean_evidence_connector_share,ratio_evidence_connector_share,manuscript_logic_spine_score_5,comparator_mean_logic_spine_score_5,ratio_logic_spine_score_5,manuscript_math_foundation_score_5,comparator_mean_math_foundation_score_5,ratio_math_foundation_score_5,manuscript_statistics_score_5,comparator_mean_statistics_score_5,ratio_statistics_score_5,manuscript_ml_or_optimization_foundation_score_5,comparator_mean_ml_or_optimization_foundation_score_5,ratio_ml_or_optimization_foundation_score_5,datasets,experiment_settings,baselines,ablations_or_controls,seeded_runs
P1,IEEE Access,6604.0,7784.1,0.8484,83.0,88.5,0.9379,68.6024,66.451,1.0324,56.0,51.0,1.098,10.0,9.7,1.0309,8.0,8.7,0.9195,5.0,6.4,0.7812,270.0,229.0,1.179,21.0889,26.6553,0.7912,18.5,22.55,0.8204,38.0,47.0,0.8085,0.3815,0.258,1.4785,0.0741,0.1517,0.4884,0.0407,0.0582,0.6999,0.1889,0.3864,0.4888,0.0296,0.0368,0.8047,0.1148,0.0426,2.6946,0.0259,0.0356,0.7288,0.1481,0.1151,1.287,3.89,2.056,1.892,2.83,2.55,1.1098,3.0,1.05,2.8571,4.0,2.75,1.4545,2,5,8,5,208
P2,Electronics,6374.0,6713.5,0.9494,91.0,81.2,1.1207,58.5055,68.2104,0.8577,49.0,55.2,0.8877,16.0,19.3,0.829,8.0,11.3,0.708,5.0,5.3,0.9434,254.0,218.0,1.1651,20.9606,25.3791,0.8259,18.0,22.1,0.8145,36.0,40.4,0.8911,0.4173,0.2339,1.7839,0.0827,0.0974,0.8486,0.0591,0.0246,2.4005,0.2165,0.2996,0.7227,0.0197,0.0427,0.4614,0.0512,0.0331,1.5483,0.0472,0.0504,0.9372,0.1693,0.0954,1.7747,4.44,2.278,1.9491,3.5,2.884,1.2136,4.0,0.9,4.4444,5.0,2.3,2.1739,3,5,5,5,860
P3,Energies,7131.0,7855.9,0.9077,94.0,89.4,1.0515,63.0957,65.5657,0.9623,53.5,51.5,1.0388,17.0,30.9,0.5502,9.0,12.3,0.7317,8.0,8.4,0.9524,277.0,215.7,1.2842,21.4116,26.7484,0.8005,18.0,22.85,0.7877,38.0,43.3,0.8776,0.3755,0.2354,1.5949,0.0794,0.1138,0.6979,0.0469,0.0049,9.5547,0.1588,0.3712,0.428,0.0325,0.0279,1.1629,0.1155,0.0331,3.4942,0.0433,0.0489,0.8863,0.0975,0.0869,1.1218,3.89,2.223,1.7499,4.5,3.35,1.3433,3.5,0.95,3.6842,4.5,1.8,2.5,1,7,9,4,2940
P4,Energies,7903.0,7896.3,1.0008,121.0,87.3,1.386,54.0496,69.3303,0.7796,51.0,55.45,0.9197,21.0,30.5,0.6885,9.0,12.0,0.75,8.0,8.3,0.9639,319.0,237.9,1.3409,20.4984,25.0958,0.8168,17.0,21.85,0.778,37.0,40.1,0.9227,0.4389,0.2535,1.7316,0.0846,0.0924,0.9155,0.0251,0.0051,4.9384,0.1505,0.3533,0.4259,0.0251,0.03,0.8357,0.0627,0.0382,1.6412,0.047,0.0514,0.9143,0.094,0.0895,1.0507,3.89,2.279,1.7069,4.5,3.35,1.3433,3.5,0.9,3.8889,4.5,2.05,2.1951,3,8,5,7,3120
P5,Energies,7849.0,8561.9,0.9167,120.0,95.2,1.2605,56.475,72.6923,0.7769,56.0,58.75,0.9532,20.0,25.3,0.7905,8.0,10.5,0.7619,6.0,6.5,0.9231,331.0,262.7,1.26,20.4743,26.6346,0.7687,17.0,23.35,0.7281,36.0,42.0,0.8571,0.4018,0.1975,2.0342,0.0574,0.1118,0.5136,0.0091,0.0244,0.3711,0.2054,0.2732,0.7519,0.0151,0.0522,0.2893,0.0514,0.0529,0.9703,0.0453,0.0595,0.7621,0.1239,0.0864,1.4335,3.89,2.444,1.5917,4.5,3.283,1.3707,5.0,0.85,5.8824,4.0,2.35,1.7021,4,10,7,8,3360
P6,Applied Sciences,7594.0,8360.8,0.9083,114.0,84.4,1.3507,56.3596,81.2349,0.6938,52.0,63.0,0.8254,18.0,22.0,0.8182,9.0,8.6,1.0465,7.0,7.3,0.9589,349.0,236.4,1.4763,18.4097,26.9004,0.6844,16.0,23.3,0.6867,32.0,41.7,0.7674,0.4499,0.2033,2.213,0.0516,0.1097,0.4703,0.0372,0.023,1.6193,0.1519,0.3516,0.4319,0.0229,0.0402,0.5695,0.0802,0.0646,1.2415,0.0344,0.0475,0.7243,0.086,0.0897,0.9581,4.44,2.444,1.8167,5.0,2.717,1.8403,4.0,0.95,4.2105,5.0,1.45,3.4483,4,10,7,10,4320
