scenario,candidate_count,budget,scheme,objective,lower_bound,upper_bound
benchmark_portfolio_optimization,120,1160.0000000000,reported_empirical,cost,-36881.6777732500,774515.2332382501
benchmark_portfolio_optimization,120,1160.0000000000,reported_empirical,negative_reliability,-22.6338555296,1.0778026443
benchmark_portfolio_optimization,120,1160.0000000000,reported_empirical,negative_renewable,-9308.7669859980,443.2746183809
benchmark_portfolio_optimization,120,1160.0000000000,reported_empirical,risk,0.0804100000,1.0437900000
benchmark_portfolio_optimization,120,1160.0000000000,reported_empirical,negative_quality,-0.9450000000,0.0450000000
benchmark_portfolio_optimization,120,1160.0000000000,expanded_empirical,cost,-239730.9055261250,977364.4609911252
benchmark_portfolio_optimization,120,1160.0000000000,expanded_empirical,negative_reliability,-28.5617700731,7.0057171877
benchmark_portfolio_optimization,120,1160.0000000000,expanded_empirical,negative_renewable,-11746.7773870927,2881.2850194756
benchmark_portfolio_optimization,120,1160.0000000000,expanded_empirical,risk,-0.1604350000,1.2846350000
benchmark_portfolio_optimization,120,1160.0000000000,expanded_empirical,negative_quality,-1.1925000000,0.2925000000
benchmark_portfolio_optimization,120,1160.0000000000,analytic,cost,0.0000000000,1160.0000000000
benchmark_portfolio_optimization,120,1160.0000000000,analytic,negative_reliability,-124.4390759135,0.0000000000
benchmark_portfolio_optimization,120,1160.0000000000,analytic,negative_renewable,-11002.5213699877,0.0000000000
benchmark_portfolio_optimization,120,1160.0000000000,analytic,risk,0.1242000000,1.0000000000
benchmark_portfolio_optimization,120,1160.0000000000,analytic,negative_quality,-0.9000000000,0.0000000000
distribution_project_review,48,1160.0000000000,reported_empirical,cost,-36881.6777732500,774515.2332382501
distribution_project_review,48,1160.0000000000,reported_empirical,negative_reliability,-27.9059773767,1.3288560656
distribution_project_review,48,1160.0000000000,reported_empirical,negative_renewable,-9308.7669859980,443.2746183809
distribution_project_review,48,1160.0000000000,reported_empirical,risk,0.0804100000,1.0437900000
distribution_project_review,48,1160.0000000000,reported_empirical,negative_quality,-0.9450000000,0.0450000000
distribution_project_review,48,1160.0000000000,expanded_empirical,cost,-239730.9055261250,977364.4609911252
distribution_project_review,48,1160.0000000000,expanded_empirical,negative_reliability,-35.2146857373,8.6375644261
distribution_project_review,48,1160.0000000000,expanded_empirical,negative_renewable,-11746.7773870927,2881.2850194756
distribution_project_review,48,1160.0000000000,expanded_empirical,risk,-0.1604350000,1.2846350000
distribution_project_review,48,1160.0000000000,expanded_empirical,negative_quality,-1.1925000000,0.2925000000
distribution_project_review,48,1160.0000000000,analytic,cost,0.0000000000,1160.0000000000
distribution_project_review,48,1160.0000000000,analytic,negative_reliability,-101.0152733486,0.0000000000
distribution_project_review,48,1160.0000000000,analytic,negative_renewable,-10663.1196857772,0.0000000000
distribution_project_review,48,1160.0000000000,analytic,risk,0.1242000000,1.0000000000
distribution_project_review,48,1160.0000000000,analytic,negative_quality,-0.9000000000,0.0000000000
reliability_driven_review,80,1160.0000000000,reported_empirical,cost,-36881.6777732500,774515.2332382501
reliability_driven_review,80,1160.0000000000,reported_empirical,negative_reliability,-22.6338555296,1.0778026443
reliability_driven_review,80,1160.0000000000,reported_empirical,negative_renewable,-1336.1455736764,63.6259796989
reliability_driven_review,80,1160.0000000000,reported_empirical,risk,0.0804100000,1.0437900000
reliability_driven_review,80,1160.0000000000,reported_empirical,negative_quality,-0.9450000000,0.0450000000
reliability_driven_review,80,1160.0000000000,expanded_empirical,cost,-239730.9055261250,977364.4609911252
reliability_driven_review,80,1160.0000000000,expanded_empirical,negative_reliability,-28.5617700731,7.0057171877
reliability_driven_review,80,1160.0000000000,expanded_empirical,negative_renewable,-1686.0884620202,413.5688680427
