dataset,horizon_hours,metric,comparison,opponent_role,n_proposed,n_opponent,mean_proposed,mean_opponent,proposed_better,u_statistic,p_value,p_holm,significant_005_holm,mean_difference,mean_diff_ci_low,mean_diff_ci_high,rank_biserial_proposed_greater,ci_scope,family,reconciliation,n_per_group,mean_diff,verdict
simbench,24,normalized_mae,HyG-LoadFormer (neural) vs Ablation-NoCalendar (neural),ablation,10.0,10.0,0.06066201,0.06211447,True,36.0,0.307489,1.0,False,-0.001452465,-0.0035247047500000087,0.0006285502749999904,-0.28,pointwise_multiplicity_unadjusted,,,,,
simbench,24,normalized_mae,HyG-LoadFormer (neural) vs Ablation-TemporalOnly (neural),ablation,10.0,10.0,0.06066201,0.06019859,False,62.0,0.384673,1.0,False,0.0004634209999999986,-0.001672117525000013,0.002445847050000002,0.24,pointwise_multiplicity_unadjusted,,,,,
simbench,24,normalized_mae,HyG-LoadFormer (neural) vs MLP,baseline,10.0,10.0,0.06066201,0.05859118,False,83.0,0.0140193,0.0841157,False,0.0020708269999999973,0.0007610440750000091,0.0034550648499999856,0.6599999999999999,pointwise_multiplicity_unadjusted,,,,,
ausgrid,24,hierarchy_weighted_smape,CSA-LoadNet vs MLP,,,,0.289487855,0.286720172,,63.0,0.344704222,0.689408444,False,0.0027676830000000208,-0.0009137004500000448,0.006281391075000103,0.26,pointwise_multiplicity_unadjusted,external_baselines,OLS-Reconciled,10.0,0.002767683,not_separable
ausgrid,24,hierarchy_weighted_smape,CSA-LoadNet vs DLinear,,,,0.289487855,0.280466374,,99.0,0.0002461281279,0.0009845125116,True,0.009021480999999942,0.005999737549999928,0.011920570624999972,0.98,pointwise_multiplicity_unadjusted,external_baselines,OLS-Reconciled,10.0,0.009021481,loss
ausgrid,24,hierarchy_weighted_smape,CSA-LoadNet vs TCN,,,,0.289487855,0.289261987,,48.0,0.9097218891,0.9097218891,False,0.00022586800000001794,-0.003583837674999994,0.003848938050000024,-0.040000000000000036,pointwise_multiplicity_unadjusted,external_baselines,OLS-Reconciled,10.0,0.000225868,not_separable
ausgrid,24,hierarchy_weighted_smape,CSA-LoadNet vs PatchTST-lite,,,,0.289487855,0.28642843,,67.0,0.2122938362,0.6368815086,False,0.0030594250000000045,-0.0009391045750000797,0.007141040399999921,0.3400000000000001,pointwise_multiplicity_unadjusted,external_baselines,OLS-Reconciled,10.0,0.003059425,not_separable
ausgrid,24,hierarchy_weighted_smape,CSA-LoadNet vs LSTM,,,,0.289487855,0.308938223,,0.0,0.0001826717911,0.0009133589555,True,-0.019450367999999996,-0.023665781199999982,-0.015554851224999961,-1.0,pointwise_multiplicity_unadjusted,external_baselines,OLS-Reconciled,10.0,-0.019450368,win
ausgrid,24,hierarchy_weighted_smape,CSA-LoadNet vs Ablation-EuclideanGraph (neural),,,,0.289487855,0.289617814,,46.0,0.7913367801,1.0,False,-0.00012995900000001281,-0.00428739619999995,0.004116754775000017,-0.07999999999999996,pointwise_multiplicity_unadjusted,component_ablations,OLS-Reconciled,10.0,-0.000129959,not_separable
ausgrid,24,hierarchy_weighted_smape,CSA-LoadNet vs Ablation-FixedCurvature (neural),,,,0.289487855,0.290150246,,48.0,0.9097218891,1.0,False,-0.0006623909999999289,-0.005927635250000022,0.004067145275000077,-0.040000000000000036,pointwise_multiplicity_unadjusted,component_ablations,OLS-Reconciled,10.0,-0.000662391,not_separable
ausgrid,24,hierarchy_weighted_smape,CSA-LoadNet vs Ablation-TemporalOnly (neural),,,,0.289487855,0.289231274,,55.0,0.7337299957,1.0,False,0.00025658099999997797,-0.004675322399999964,0.004877387075000012,0.10000000000000009,pointwise_multiplicity_unadjusted,component_ablations,OLS-Reconciled,10.0,0.000256581,not_separable
ausgrid,24,hierarchy_weighted_smape,CSA-LoadNet vs Ablation-NoCalendar (neural),,,,0.289487855,0.291399754,,42.0,0.5707503881,1.0,False,-0.0019118989999999392,-0.007226197049999981,0.002794376549999985,-0.16000000000000003,pointwise_multiplicity_unadjusted,component_ablations,OLS-Reconciled,10.0,-0.001911899,not_separable
ausgrid,24,hierarchy_weighted_smape,CSA-LoadNet vs Ablation-EqualNeighbors (neural),,,,0.289487855,0.289972787,,51.0,0.969849977,1.0,False,-0.0004849319999999935,-0.005558394024999988,0.004207985124999959,0.020000000000000018,pointwise_multiplicity_unadjusted,component_ablations,OLS-Reconciled,10.0,-0.000484932,not_separable
