method,method_role,reconciliation,mean_hierarchy_weighted_smape,std_hierarchy_weighted_smape,mean_coherence_violation,mean_leaf_smape,mean_region_smape,mean_system_smape,runs
DLinear,baseline,Bottom-Up,0.28016873,0.00135025,0.00000000,0.39534499,0.27025070,0.17491049,10
DLinear,baseline,Base,0.28031450,0.00123269,0.00157496,0.39534499,0.27045049,0.17514803,10
DLinear,baseline,OLS-Reconciled,0.28046637,0.00114813,0.00000000,0.39576395,0.27051889,0.17511629,10
PatchTST-lite,baseline,OLS-Reconciled,0.28642843,0.00473875,0.00000000,0.40729488,0.27465572,0.17733470,10
MLP,baseline,Bottom-Up,0.28651569,0.00383063,0.00000000,0.40760238,0.27448501,0.17745969,10
MLP,baseline,OLS-Reconciled,0.28672017,0.00337229,0.00000000,0.40822151,0.27469739,0.17724162,10
MLP,baseline,Base,0.28687655,0.00337334,0.03750129,0.40760238,0.27533277,0.17769449,10
PatchTST-lite,baseline,Base,0.28723509,0.00619417,0.03715859,0.40856111,0.27558247,0.17756169,10
PatchTST-lite,baseline,Bottom-Up,0.28805026,0.00880627,0.00000000,0.40856111,0.27660911,0.17898056,10
Ablation-TemporalOnly (neural),ablation,Bottom-Up,0.28902181,0.00642474,0.00000000,0.41247605,0.27638883,0.17820056,10
Ablation-TemporalOnly (neural),ablation,OLS-Reconciled,0.28923127,0.00649383,0.00000000,0.41312115,0.27685584,0.17771684,10
Ablation-TemporalOnly (neural),ablation,Base,0.28923774,0.00629766,0.03989436,0.41247605,0.27702074,0.17821644,10
TCN,baseline,OLS-Reconciled,0.28926199,0.00385745,0.00000000,0.40984657,0.27762038,0.18031901,10
HyG-LoadFormer (neural),proposed,OLS-Reconciled,0.28948786,0.00498420,0.00000000,0.41328572,0.27715877,0.17801908,10
Ablation-EuclideanGraph (neural),ablation,OLS-Reconciled,0.28961781,0.00528469,0.00000000,0.41322965,0.27739257,0.17823123,10
Ablation-EqualNeighbors (neural),ablation,OLS-Reconciled,0.28997279,0.00653642,0.00000000,0.41369985,0.27762769,0.17859082,10
Ablation-FixedCurvature (neural),ablation,OLS-Reconciled,0.29015025,0.00676361,0.00000000,0.41395382,0.27774022,0.17875670,10
HyG-LoadFormer (neural),proposed,Base,0.29050989,0.00467185,0.04353445,0.41552186,0.27748433,0.17852348,10
Ablation-EuclideanGraph (neural),ablation,Base,0.29062607,0.00504595,0.04354125,0.41544612,0.27769883,0.17873327,10
Ablation-EqualNeighbors (neural),ablation,Base,0.29118523,0.00676572,0.04317917,0.41646031,0.27812423,0.17897117,10
Ablation-NoCalendar (neural),ablation,OLS-Reconciled,0.29139975,0.00689234,0.00000000,0.41449287,0.27921604,0.18049036,10
HyG-LoadFormer (neural),proposed,Bottom-Up,0.29140157,0.00466335,0.00000000,0.41552186,0.27830999,0.18037285,10
Ablation-FixedCurvature (neural),ablation,Base,0.29146541,0.00708511,0.04321872,0.41700878,0.27828614,0.17910130,10
Ablation-EuclideanGraph (neural),ablation,Bottom-Up,0.29154055,0.00507028,0.00000000,0.41544612,0.27859364,0.18058191,10
TCN,baseline,Base,0.29157430,0.00528054,0.04425808,0.41484150,0.27972461,0.18015677,10
Ablation-NoCalendar (neural),ablation,Base,0.29246125,0.00788375,0.04120492,0.41703877,0.27956321,0.18078175,10
Ablation-EqualNeighbors (neural),ablation,Bottom-Up,0.29247422,0.00758729,0.00000000,0.41646031,0.27945326,0.18150910,10
Ablation-FixedCurvature (neural),ablation,Bottom-Up,0.29290685,0.00807623,0.00000000,0.41700878,0.27982351,0.18188826,10
Ablation-NoCalendar (neural),ablation,Bottom-Up,0.29376592,0.00974363,0.00000000,0.41703877,0.28128752,0.18297147,10
TCN,baseline,Bottom-Up,0.29430648,0.00777188,0.00000000,0.41484150,0.28234214,0.18573579,10
LSTM,baseline,Base,0.30816240,0.00546794,0.04546972,0.43766470,0.29717456,0.18964794,10
LSTM,baseline,OLS-Reconciled,0.30893822,0.00502298,0.00000000,0.43963167,0.29808277,0.18910023,10
LSTM,baseline,Bottom-Up,0.30913580,0.00599366,0.00000000,0.43766470,0.29883360,0.19090910,10
DLinear,baseline,Top-Down,0.35971442,0.00077802,0.00000000,0.55944419,0.34455105,0.17514803,10
PatchTST-lite,baseline,Top-Down,0.36150534,0.00321804,0.00000000,0.56109958,0.34585473,0.17756169,10
MLP,baseline,Top-Down,0.36164731,0.00241392,0.00000000,0.56140792,0.34583952,0.17769449,10
Ablation-TemporalOnly (neural),ablation,Top-Down,0.36268216,0.00468006,0.00000000,0.56272788,0.34710218,0.17821644,10
HyG-LoadFormer (neural),proposed,Top-Down,0.36280123,0.00373051,0.00000000,0.56262415,0.34725608,0.17852348,10
Ablation-EqualNeighbors (neural),ablation,Top-Down,0.36309387,0.00452094,0.00000000,0.56282587,0.34748455,0.17897117,10
Ablation-EuclideanGraph (neural),ablation,Top-Down,0.36309441,0.00373619,0.00000000,0.56298728,0.34756269,0.17873327,10
Ablation-FixedCurvature (neural),ablation,Top-Down,0.36318155,0.00472094,0.00000000,0.56287599,0.34756737,0.17910130,10
TCN,baseline,Top-Down,0.36463098,0.00294789,0.00000000,0.56463604,0.34910014,0.18015677,10
Ablation-NoCalendar (neural),ablation,Top-Down,0.36469763,0.00489456,0.00000000,0.56426258,0.34904856,0.18078175,10
LSTM,baseline,Top-Down,0.37004356,0.00344473,0.00000000,0.56645995,0.35402280,0.18964794,10
