horizon_hours,method,method_role,mean_mape,std_mape,mean_normalized_mae,std_normalized_mae,mean_peak_load_error,splits,rank_metric
1,Ablation-NoCalendar,ablation,0.02007022,0.00011991,0.00806395,0.00016828,1110.39958503,3,mean_mape_lower_is_better
1,Euclidean-GCN Ridge,baseline,0.02350066,0.00311666,0.00895212,0.00069281,1165.64765286,3,mean_mape_lower_is_better
1,Ablation-FixedCurvature,ablation,0.02373849,0.00339077,0.00900379,0.00075374,1174.90913106,3,mean_mape_lower_is_better
1,HyG-LoadFormer,proposed,0.02381135,0.00341692,0.00901558,0.00076022,1178.31719294,3,mean_mape_lower_is_better
1,AR-Calendar Ridge,baseline,0.02406907,0.00341154,0.00908565,0.00075848,1189.98738184,3,mean_mape_lower_is_better
1,Persistence,baseline,0.03765954,0.00013664,0.01461596,0.00013245,1999.73429714,3,mean_mape_lower_is_better
1,Weekly-168h,baseline,0.05467690,0.00123653,0.02300217,0.00090210,4441.19963525,3,mean_mape_lower_is_better
24,HyG-LoadFormer,proposed,0.03931968,0.00055769,0.01589974,0.00035281,2861.31753434,3,mean_mape_lower_is_better
24,Weekly-168h,baseline,0.05471780,0.00119701,0.02312308,0.00087408,4352.49899772,3,mean_mape_lower_is_better
24,AR-Calendar Ridge,baseline,0.07014505,0.00153331,0.02612469,0.00030036,4007.19394829,3,mean_mape_lower_is_better
24,Ablation-FixedCurvature,ablation,0.07061538,0.00265858,0.02611729,0.00054610,3942.32245951,3,mean_mape_lower_is_better
24,Euclidean-GCN Ridge,baseline,0.07091236,0.00277268,0.02612305,0.00056577,3950.59505406,3,mean_mape_lower_is_better
24,Ablation-NoCalendar,ablation,0.07348367,0.00047802,0.02918104,0.00023851,4356.08408992,3,mean_mape_lower_is_better
24,Persistence,baseline,0.07417028,0.00043929,0.02955313,0.00024843,4198.97571045,3,mean_mape_lower_is_better
