dataset,horizon_hours,metric,comparison,opponent_role,n_proposed,n_opponent,mean_proposed,mean_opponent,proposed_better,u_statistic,p_value,p_holm,significant_005_holm
opsd,1,mape,HyG-LoadFormer (neural) vs Ablation-EqualNeighbors (neural),ablation,10,10,0.01068914,0.01063205,False,56.00,0.677585,1,False
opsd,1,mape,HyG-LoadFormer (neural) vs Ablation-EuclideanGraph (neural),ablation,10,10,0.01068914,0.01064340,False,51.00,0.96985,1,False
opsd,1,mape,HyG-LoadFormer (neural) vs Ablation-FixedCurvature (neural),ablation,10,10,0.01068914,0.01070693,True,46.00,0.791337,1,False
opsd,1,mape,HyG-LoadFormer (neural) vs Ablation-NoCalendar (neural),ablation,10,10,0.01068914,0.01061739,False,55.00,0.73373,1,False
opsd,1,mape,HyG-LoadFormer (neural) vs Ablation-TemporalOnly (neural),ablation,10,10,0.01068914,0.01098055,True,22.00,0.0376353,0.188177,False
opsd,1,mape,HyG-LoadFormer (neural) vs MLP,baseline,10,10,0.01068914,0.01015548,False,87.00,0.00579536,0.0347722,True
opsd,24,mape,HyG-LoadFormer (neural) vs Ablation-EqualNeighbors (neural),ablation,10,10,0.03234477,0.03246871,True,48.00,0.909722,1,False
opsd,24,mape,HyG-LoadFormer (neural) vs Ablation-EuclideanGraph (neural),ablation,10,10,0.03234477,0.03225675,False,52.00,0.909722,1,False
opsd,24,mape,HyG-LoadFormer (neural) vs Ablation-FixedCurvature (neural),ablation,10,10,0.03234477,0.03230191,False,49.00,0.96985,1,False
opsd,24,mape,HyG-LoadFormer (neural) vs Ablation-NoCalendar (neural),ablation,10,10,0.03234477,0.03187295,False,71.00,0.121225,0.484898,False
opsd,24,mape,HyG-LoadFormer (neural) vs Ablation-TemporalOnly (neural),ablation,10,10,0.03234477,0.03459125,True,0.00,0.000182672,0.00109603,True
opsd,24,mape,HyG-LoadFormer (neural) vs MLP,baseline,10,10,0.03234477,0.03371542,True,8.00,0.00170625,0.00853125,True
simbench,1,normalized_mae,HyG-LoadFormer (neural) vs Ablation-EqualNeighbors (neural),ablation,10,10,0.03334857,0.03346122,True,43.00,0.623176,1,False
simbench,1,normalized_mae,HyG-LoadFormer (neural) vs Ablation-EuclideanGraph (neural),ablation,10,10,0.03334857,0.03342401,True,42.00,0.57075,1,False
simbench,1,normalized_mae,HyG-LoadFormer (neural) vs Ablation-FixedCurvature (neural),ablation,10,10,0.03334857,0.03330872,False,57.00,0.623176,1,False
simbench,1,normalized_mae,HyG-LoadFormer (neural) vs Ablation-NoCalendar (neural),ablation,10,10,0.03334857,0.03362727,True,30.00,0.140465,0.702325,False
simbench,1,normalized_mae,HyG-LoadFormer (neural) vs Ablation-TemporalOnly (neural),ablation,10,10,0.03334857,0.03389225,True,23.00,0.0451546,0.270927,False
simbench,1,normalized_mae,HyG-LoadFormer (neural) vs MLP,baseline,10,10,0.03334857,0.03338473,True,47.00,0.850107,1,False
simbench,24,normalized_mae,HyG-LoadFormer (neural) vs Ablation-EqualNeighbors (neural),ablation,10,10,0.06066201,0.06017905,False,56.00,0.677585,1,False
simbench,24,normalized_mae,HyG-LoadFormer (neural) vs Ablation-EuclideanGraph (neural),ablation,10,10,0.06066201,0.06085380,True,48.00,0.909722,1,False
simbench,24,normalized_mae,HyG-LoadFormer (neural) vs Ablation-FixedCurvature (neural),ablation,10,10,0.06066201,0.06060326,False,50.00,1,1,False
simbench,24,normalized_mae,HyG-LoadFormer (neural) vs Ablation-NoCalendar (neural),ablation,10,10,0.06066201,0.06211447,True,36.00,0.307489,1,False
simbench,24,normalized_mae,HyG-LoadFormer (neural) vs Ablation-TemporalOnly (neural),ablation,10,10,0.06066201,0.06019859,False,62.00,0.384673,1,False
simbench,24,normalized_mae,HyG-LoadFormer (neural) vs MLP,baseline,10,10,0.06066201,0.05859118,False,83.00,0.0140193,0.0841157,False
ausgrid,24,smape,HyG-LoadFormer (neural) vs Ablation-EqualNeighbors (neural),ablation,10,10,0.32361342,0.32216576,False,59.00,0.520523,1,False
ausgrid,24,smape,HyG-LoadFormer (neural) vs Ablation-EuclideanGraph (neural),ablation,10,10,0.32361342,0.32272363,False,53.00,0.850107,1,False
ausgrid,24,smape,HyG-LoadFormer (neural) vs Ablation-FixedCurvature (neural),ablation,10,10,0.32361342,0.32203797,False,56.00,0.677585,1,False
ausgrid,24,smape,HyG-LoadFormer (neural) vs Ablation-NoCalendar (neural),ablation,10,10,0.32361342,0.32994356,True,29.00,0.121225,0.848572,False
ausgrid,24,smape,HyG-LoadFormer (neural) vs Ablation-TemporalOnly (neural),ablation,10,10,0.32361342,0.32415393,True,52.00,0.909722,1,False
ausgrid,24,smape,HyG-LoadFormer (neural) vs DLinear,baseline,10,10,0.32361342,0.31324440,False,97.00,0.000439639,0.00439639,True
ausgrid,24,smape,HyG-LoadFormer (neural) vs LSTM,baseline,10,3,0.32361342,0.35270924,True,0.00,0.00699301,0.0629371,False
ausgrid,24,smape,HyG-LoadFormer (neural) vs MLP,baseline,10,10,0.32361342,0.32283336,False,53.00,0.850107,1,False
ausgrid,24,smape,HyG-LoadFormer (neural) vs PatchTST-lite,baseline,10,3,0.32361342,0.31462955,False,29.00,0.013986,0.111888,False
ausgrid,24,smape,HyG-LoadFormer (neural) vs TCN,baseline,10,3,0.32361342,0.31677132,False,24.00,0.160839,0.965035,False
