horizon_hours,method,method_role,n_seeds,mean_mape,std_mape,rank_metric
1,MLP,baseline,10,0.01015548,0.00032338,mean_mape_lower_is_better
1,Ablation-NoCalendar (neural),ablation,10,0.01061739,0.00025349,mean_mape_lower_is_better
1,Ablation-EqualNeighbors (neural),ablation,10,0.01063205,0.00032312,mean_mape_lower_is_better
1,Ablation-EuclideanGraph (neural),ablation,10,0.01064340,0.00022338,mean_mape_lower_is_better
1,HyG-LoadFormer (neural),proposed,10,0.01068914,0.00031430,mean_mape_lower_is_better
1,Ablation-FixedCurvature (neural),ablation,10,0.01070693,0.00028735,mean_mape_lower_is_better
1,Ablation-TemporalOnly (neural),ablation,10,0.01098055,0.00024949,mean_mape_lower_is_better
24,Ablation-NoCalendar (neural),ablation,10,0.03187295,0.00056315,mean_mape_lower_is_better
24,Ablation-EuclideanGraph (neural),ablation,10,0.03225675,0.00073787,mean_mape_lower_is_better
24,Ablation-FixedCurvature (neural),ablation,10,0.03230191,0.00071747,mean_mape_lower_is_better
24,HyG-LoadFormer (neural),proposed,10,0.03234477,0.00081680,mean_mape_lower_is_better
24,Ablation-EqualNeighbors (neural),ablation,10,0.03246871,0.00050568,mean_mape_lower_is_better
24,MLP,baseline,10,0.03371542,0.00058683,mean_mape_lower_is_better
24,Ablation-TemporalOnly (neural),ablation,10,0.03459125,0.00025077,mean_mape_lower_is_better
