paper,experiment_id,method,method_role,seed,hypervolume,hypervolume_worst_case,feasible_front_size,compromise_cost_index,compromise_loss_index,compromise_voltage_risk,compromise_hosting_capacity,compromise_reliability,compromise_survivability,portfolio_size,hosting_shortfall,der_readiness_shortfall,runtime_s,run_status
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,15,0.27386565,0.26500352,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.061773,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,16,0.26216961,0.25298192,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.061945,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,17,0.26455350,0.25583776,40,nan,nan,nan,nan,nan,nan,0,nan,nan,0.061333,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,18,0.26317679,0.25498393,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.060819,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,19,0.26692791,0.25877477,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.061170,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,20,0.26445753,0.25635705,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.060960,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,21,0.26956420,0.25975703,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062115,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,22,0.25284148,0.24314916,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062275,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,23,0.24479601,0.23607585,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.060174,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,24,0.25672418,0.24690758,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062089,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,25,0.26872192,0.26055487,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062312,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,26,0.27204849,0.26323937,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.061824,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,27,0.27824714,0.26883084,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.060844,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,28,0.26833464,0.26014837,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.062445,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-GAOnly,mechanism_control,29,0.27271397,0.26300637,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.061936,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,0,0.27660106,0.26716176,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086376,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,1,0.27635861,0.26698708,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.089943,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,2,0.27495094,0.26596942,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086588,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,3,0.25429179,0.24473038,37,nan,nan,nan,nan,nan,nan,0,nan,nan,0.085085,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,4,0.26613330,0.25787345,39,nan,nan,nan,nan,nan,nan,0,nan,nan,0.086926,real_shield_mechanism_controls_20260810
p4,deterministic_vs_scenario,Control-DEOnly,mechanism_control,5,0.25082413,0.24091006,38,nan,nan,nan,nan,nan,nan,0,nan,nan,0.085068,real_shield_mechanism_controls_20260810
