paper,experiment_id,method,method_role,repeat,hypervolume_proxy,constraint_violation_rate,investment_cost_index,loss_index,voltage_risk,hosting_capacity,reliability_proxy,survivability_rate,expected_loss_index,portfolio_size,runtime_s,source_status
p4,deterministic_vs_scenario,Ablation-NoResilienceObj,ablation,2,0.79372408,0.02172812,0.95607897,0.12204530,0.18172812,0.00065718,1.00000000,1.00000000,0.12204530,10,0.00006310,public_simbench_planning_v1
p4,deterministic_vs_scenario,Ablation-NoResilienceObj,ablation,3,0.79372408,0.02172812,0.95607897,0.12204530,0.18172812,0.00065718,1.00000000,1.00000000,0.12204530,10,0.00007090,public_simbench_planning_v1
p4,deterministic_vs_scenario,Ablation-NoOutage,ablation,1,0.79353087,0.01995922,0.79238525,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00006000,public_simbench_planning_v1
p4,deterministic_vs_scenario,Ablation-NoOutage,ablation,2,0.79363417,0.02084367,0.87449543,0.12333102,0.18084367,0.00033015,1.00000000,1.00000000,0.12333102,10,0.00005840,public_simbench_planning_v1
p4,deterministic_vs_scenario,Ablation-NoOutage,ablation,3,0.79362310,0.02084367,0.87396879,0.12333828,0.18084367,0.00032703,1.00000000,1.00000000,0.12333828,10,0.00005790,public_simbench_planning_v1
p4,der_uncertainty,SHIELD-MOEA,proposed,1,0.54458011,0.03042689,0.94829496,0.11929710,0.19042689,0.00118292,0.55297840,0.64984263,0.13182893,6,0.00007500,public_simbench_planning_v1
p4,der_uncertainty,SHIELD-MOEA,proposed,2,0.54458011,0.03042689,0.94829496,0.11929710,0.19042689,0.00118292,0.55297840,0.64984263,0.13182893,6,0.00007250,public_simbench_planning_v1
p4,der_uncertainty,SHIELD-MOEA,proposed,3,0.54458011,0.03042689,0.94829496,0.11929710,0.19042689,0.00118292,0.55297840,0.64984263,0.13182893,6,0.00007200,public_simbench_planning_v1
p4,der_uncertainty,NSGA-II,baseline,1,0.57985563,0.03026518,0.79328861,0.12119349,0.19026518,0.00091880,0.61854288,0.71063535,0.13171423,6,0.00007400,public_simbench_planning_v1
p4,der_uncertainty,NSGA-II,baseline,2,0.57985563,0.03026518,0.79328861,0.12119349,0.19026518,0.00091880,0.61854288,0.71063535,0.13171423,6,0.00007360,public_simbench_planning_v1
p4,der_uncertainty,NSGA-II,baseline,3,0.58193454,0.03022763,0.79413122,0.12118340,0.19022763,0.00092129,0.62159166,0.71516231,0.13153868,6,0.00007230,public_simbench_planning_v1
p4,der_uncertainty,MOEA/D,baseline,1,0.63219847,0.02814318,0.87336974,0.12092478,0.18814318,0.00092129,0.70323452,0.79982898,0.12818647,7,0.00006710,public_simbench_planning_v1
p4,der_uncertainty,MOEA/D,baseline,2,0.63219847,0.02814318,0.87336974,0.12092478,0.18814318,0.00092129,0.70323452,0.79982898,0.12818647,7,0.00006610,public_simbench_planning_v1
p4,der_uncertainty,MOEA/D,baseline,3,0.76369003,0.02381257,0.87684044,0.12230392,0.18381257,0.00065718,0.93208472,1.00000000,0.12230392,9,0.00006520,public_simbench_planning_v1
p4,der_uncertainty,GA,baseline,1,0.64077981,0.02745822,0.78611706,0.12223886,0.18745822,0.00059260,0.71687553,0.81938030,0.12886249,7,0.00010190,public_simbench_planning_v1
p4,der_uncertainty,GA,baseline,2,0.73580215,0.02397451,0.87201391,0.12232219,0.18397451,0.00065800,0.87186969,0.97710545,0.12316235,9,0.00008840,public_simbench_planning_v1
p4,der_uncertainty,GA,baseline,3,0.79147564,0.02220538,0.86815308,0.12298624,0.18220538,0.00026412,1.00000000,1.00000000,0.12298624,9,0.00008660,public_simbench_planning_v1
p4,der_uncertainty,Weighted Sum,baseline,1,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00006100,public_simbench_planning_v1
p4,der_uncertainty,Weighted Sum,baseline,2,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00005920,public_simbench_planning_v1
p4,der_uncertainty,Weighted Sum,baseline,3,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00005890,public_simbench_planning_v1
p4,der_uncertainty,Deterministic Planning,baseline,1,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00006050,public_simbench_planning_v1
p4,der_uncertainty,Deterministic Planning,baseline,2,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00005970,public_simbench_planning_v1
p4,der_uncertainty,Deterministic Planning,baseline,3,0.45465591,0.03240373,0.43017204,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00006040,public_simbench_planning_v1
p4,der_uncertainty,Ablation-NoScenarioScreen,ablation,1,0.67336751,0.02729628,0.79041696,0.12222786,0.18729628,0.00058866,0.77598192,0.87041910,0.12697938,7,0.00007080,public_simbench_planning_v1
p4,der_uncertainty,Ablation-NoScenarioScreen,ablation,2,0.76847682,0.02312738,0.94942064,0.12170334,0.18312738,0.00059177,0.94037628,1.00000000,0.12170334,9,0.00005800,public_simbench_planning_v1
p4,der_uncertainty,Ablation-NoScenarioScreen,ablation,3,0.58193454,0.03022763,0.79413122,0.12118340,0.19022763,0.00092129,0.62159166,0.71516231,0.13153868,6,0.00006830,public_simbench_planning_v1
p4,der_uncertainty,Ablation-NoRepair,ablation,1,0.59403127,0.28733814,1.26524906,0.11826260,0.18208908,0.00118292,0.87954983,0.98850929,0.11867028,10,0.00005820,public_simbench_planning_v1
p4,der_uncertainty,Ablation-NoRepair,ablation,2,0.59403127,0.28733814,1.26524906,0.11826260,0.18208908,0.00118292,0.87954983,0.98850929,0.11867028,10,0.00005740,public_simbench_planning_v1
p4,der_uncertainty,Ablation-NoRepair,ablation,3,0.59403127,0.28733814,1.26524906,0.11826260,0.18208908,0.00118292,0.87954983,0.98850929,0.11867028,10,0.00005660,public_simbench_planning_v1
