paper,experiment_id,method,method_role,seed,hypervolume,hypervolume_worst_case,feasible_front_size,compromise_cost_index,compromise_loss_index,compromise_voltage_risk,compromise_hosting_capacity,compromise_reliability,compromise_survivability,portfolio_size,hosting_shortfall,der_readiness_shortfall,runtime_s,source_status
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,0,0.27662833,0.26749040,39,0.99783586,0.14186898,0.20330078,0.00000362,1.00000000,1.00000000,13,0.01799638,0.00000000,0.161298,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,1,0.26688378,0.25881885,38,0.98818280,0.14190552,0.20362467,0.00000533,1.00000000,1.00000000,13,0.01799467,0.00000000,0.088492,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,2,0.27702521,0.26783477,39,0.99783586,0.14186898,0.20330078,0.00000362,1.00000000,1.00000000,13,0.01799638,0.00000000,0.108070,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,3,0.27319096,0.26359270,39,0.97522396,0.14197282,0.20434717,0.00000554,1.00000000,1.00000000,13,0.01799446,0.00000000,0.090776,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,4,0.24301474,0.23544557,39,0.89750617,0.14224393,0.20666830,0.00000320,1.00000000,1.00000000,12,0.01799680,0.00000000,0.093966,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,5,0.26230765,0.25285425,39,0.93155618,0.14206030,0.20466272,0.00000341,1.00000000,1.00000000,12,0.01799659,0.00000000,0.077115,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,6,0.26060694,0.25165801,39,0.91377081,0.14214587,0.20554717,0.00000447,1.00000000,1.00000000,12,0.01799553,0.00000000,0.081686,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,7,0.26458129,0.25590171,39,0.99783586,0.14186898,0.20330078,0.00000362,1.00000000,1.00000000,13,0.01799638,0.00000000,0.082270,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,8,0.27842807,0.26888842,39,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.085762,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,9,0.26901603,0.26033134,39,0.98335627,0.14192379,0.20378661,0.00000618,0.97621604,1.00000000,13,0.01799382,0.00000000,0.094335,public_simbench_planning_v2_real_moea
p4,deterministic_vs_scenario,SHIELD-MOEA,proposed,10,0.27115552,0.26267000,39,0.99300933,0.14188725,0.20346272,0.00000447,1.00000000,1.00000000,13,0.01799553,0.00000000,0.115078,public_simbench_planning_v2_real_moea
