dataset,horizon_hours,method,method_role,seed,epochs,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
OPSD time_series_60min_singleindex,1,MLP,baseline,11,20,343.08727509,567.57521460,0.00995172,0.00995542,0.00401154,597.69363343,1.4629,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,1,MLP,baseline,23,20,339.75448830,561.61799132,0.00995841,0.00995149,0.00397258,560.69540923,1.4704,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,1,MLP,baseline,47,20,348.40429291,568.90756839,0.01025383,0.01024269,0.00407371,586.15527840,1.4475,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,1,LSTM,baseline,11,6,780.77499253,1190.32736036,0.02172846,0.02164790,0.00912920,1480.45394097,27.2625,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,1,LSTM,baseline,23,6,861.06606400,1283.70254304,0.02430919,0.02431588,0.01006800,1531.46630332,27.1175,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,1,LSTM,baseline,47,6,709.77689531,1112.36148570,0.01963117,0.01972091,0.00829906,1343.15127108,26.5945,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,1,TCN,baseline,11,10,400.22795647,628.72646444,0.01145806,0.01149419,0.00467966,693.40628224,68.7041,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,1,TCN,baseline,23,10,411.39870183,643.70404050,0.01182458,0.01186422,0.00481027,670.14271019,66.6036,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,1,TCN,baseline,47,10,450.81869085,697.05991525,0.01284065,0.01282659,0.00527119,723.82411892,63.7578,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,1,DLinear,baseline,11,20,438.81876709,715.32155501,0.01296674,0.01296436,0.00513088,693.09183780,0.9971,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,1,DLinear,baseline,23,20,422.78578678,693.18170471,0.01251062,0.01251457,0.00494342,672.47407428,1.0020,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,1,DLinear,baseline,47,20,421.21971842,699.61476165,0.01241268,0.01241322,0.00492511,685.04539000,0.9781,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,1,PatchTST-lite,baseline,11,8,389.26868594,625.86084554,0.01119052,0.01124202,0.00455152,750.18748016,54.7947,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,1,PatchTST-lite,baseline,23,8,365.75570589,586.87707088,0.01066175,0.01067115,0.00427659,653.17130332,53.5304,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,1,PatchTST-lite,baseline,47,8,389.59629696,625.03144130,0.01127390,0.01128058,0.00455535,772.60945871,53.6926,48664,62994,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,24,MLP,baseline,11,20,1176.62461195,2021.30217628,0.03394443,0.03358731,0.01375767,2204.31299519,1.4299,48664,62856,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,24,MLP,baseline,23,20,1150.25377322,2040.47327336,0.03322632,0.03260828,0.01344933,2117.85810875,1.4224,48664,62856,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,24,MLP,baseline,47,20,1197.94129563,2067.04986526,0.03439264,0.03406837,0.01400691,2335.85561103,1.4099,48664,62856,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,24,LSTM,baseline,11,6,1814.01882519,2865.69252224,0.05273086,0.05284555,0.02121039,3367.72700799,26.9226,48664,62856,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,24,LSTM,baseline,23,6,1910.40954980,2941.39343648,0.05564966,0.05521694,0.02233744,3234.17239318,27.3386,48664,62856,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,24,LSTM,baseline,47,6,1794.31954807,2848.87199296,0.05268285,0.05222795,0.02098006,3061.92377190,26.3315,48664,62856,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,24,TCN,baseline,11,10,1209.61665884,2118.76317400,0.03505373,0.03436185,0.01414343,2184.38095164,63.1005,48664,62856,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,24,TCN,baseline,23,10,1257.35441271,2177.24863419,0.03611025,0.03581394,0.01470160,2461.95043965,63.8993,48664,62856,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,24,TCN,baseline,47,10,1278.46873808,2201.09499405,0.03673107,0.03627061,0.01494848,2378.98029229,68.0446,48664,62856,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,24,DLinear,baseline,11,20,1454.25079070,2506.38518083,0.04084048,0.04064973,0.01700381,3258.51488625,0.9813,48664,62856,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,24,DLinear,baseline,23,20,1452.31173966,2493.32930956,0.04085233,0.04063431,0.01698114,3210.60832994,0.9982,48664,62856,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,24,DLinear,baseline,47,20,1429.96870294,2486.69377099,0.04030796,0.04006884,0.01671989,3123.56637953,0.9988,48664,62856,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,24,PatchTST-lite,baseline,11,8,1257.60867898,2183.54086475,0.03637153,0.03558128,0.01470457,2322.45776441,53.5811,48664,62856,public_data_benchmark_v5_neural_baselines
OPSD time_series_60min_singleindex,24,PatchTST-lite,baseline,23,8,1323.09895988,2231.36486837,0.03809379,0.03766951,0.01547032,2499.63460563,53.3579,48664,62856,public_data_benchmark_v5_neural_baselines
