dataset,horizon_hours,method,method_role,seed,reconciliation,hierarchy_weighted_smape,leaf_smape,region_smape,system_smape,leaf_mae,region_mae,system_mae,coherence_violation,runtime_s,train_samples,test_samples,source_status
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,47,OLS-Reconciled,0.29726532,0.42335333,0.28440020,0.18404244,0.52189263,1.07173975,2.80188683,0.00000000,3.1546,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,59,Base,0.28407672,0.40845424,0.27034031,0.17343560,0.50343293,1.03603824,2.68050852,0.04503369,3.1626,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,59,Bottom-Up,0.28499840,0.40845424,0.27084516,0.17569579,0.50343293,1.03272452,2.69610197,0.00000000,3.1626,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,59,Top-Down,0.35672331,0.55571248,0.34102185,0.17343560,0.69408147,1.30535815,2.68050852,0.00000000,3.1626,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,59,OLS-Reconciled,0.28268177,0.40543191,0.26983203,0.17278136,0.50424112,1.03288529,2.67183343,0.00000000,3.1626,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,71,Base,0.29206243,0.41664441,0.27901851,0.18052438,0.52120626,1.06376857,2.77887003,0.04407126,3.2513,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,71,Bottom-Up,0.29353571,0.41664441,0.28076735,0.18319537,0.52120626,1.07622994,2.85521696,0.00000000,3.2513,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,71,Top-Down,0.36512795,0.56533565,0.34952382,0.18052438,0.70775641,1.33705012,2.77887003,0.00000000,3.2513,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,71,OLS-Reconciled,0.29109537,0.41446765,0.27867556,0.18014290,0.51640644,1.06051039,2.77773564,0.00000000,3.2513,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,83,Base,0.29374804,0.42022622,0.28039247,0.18062543,0.52140338,1.06405723,2.76398127,0.04539395,3.2476,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
