dataset,horizon_hours,method,method_role,seed,reconciliation,hierarchy_weighted_smape,leaf_smape,region_smape,system_smape,leaf_mae,region_mae,system_mae,coherence_violation,runtime_s,train_samples,test_samples,source_status
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,59,Bottom-Up,0.28398255,0.40651881,0.27023178,0.17519706,0.50262360,1.03143864,2.69085938,0.00000000,2.4548,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,59,Top-Down,0.35664956,0.55561726,0.34092185,0.17340958,0.69387683,1.30474579,2.68009561,0.00000000,2.4548,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,59,OLS-Reconciled,0.28218939,0.40429559,0.26956513,0.17270745,0.50352725,1.03182368,2.67103963,0.00000000,2.4548,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,71,Base,0.30803916,0.44026222,0.29312032,0.19073495,0.54002309,1.10146850,2.88719728,0.03881555,2.4386,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,71,Bottom-Up,0.31251289,0.44026222,0.29782604,0.19945042,0.54002309,1.12303923,3.04034642,0.00000000,2.4386,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,71,Top-Down,0.37330640,0.57167803,0.35750623,0.19073495,0.71526770,1.36044945,2.88719728,0.00000000,2.4386,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,71,OLS-Reconciled,0.30525135,0.43305095,0.29122243,0.19148067,0.53015677,1.09351369,2.90006054,0.00000000,2.4386,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,83,Base,0.29360456,0.42002553,0.27999263,0.18079551,0.52131409,1.06261999,2.76472619,0.04560960,2.4465,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,83,Bottom-Up,0.29424364,0.42002553,0.28070837,0.18199701,0.52131409,1.06993170,2.81790476,0.00000000,2.4465,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,83,Top-Down,0.36514781,0.56501786,0.34963005,0.18079551,0.70623475,1.33413701,2.76472619,0.00000000,2.4465,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,83,OLS-Reconciled,0.29266093,0.41799903,0.27984180,0.18014195,0.51748951,1.05949014,2.76080331,0.00000000,2.4465,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,97,Base,0.28556545,0.40772110,0.27321418,0.17576108,0.51006523,1.04423273,2.71292493,0.04485077,2.4473,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,97,Bottom-Up,0.28626056,0.40772110,0.27376928,0.17729130,0.51006523,1.04766050,2.75061507,0.00000000,2.4473,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,97,Top-Down,0.36019882,0.56014929,0.34468609,0.17576108,0.69985136,1.31833907,2.71292493,0.00000000,2.4473,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,97,OLS-Reconciled,0.28449424,0.40562064,0.27294703,0.17491506,0.50876224,1.04158301,2.70483149,0.00000000,2.4473,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,109,Base,0.28792393,0.41407735,0.27427191,0.17542251,0.51435511,1.04825263,2.71297160,0.04110755,2.4559,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,109,Bottom-Up,0.29012177,0.41407735,0.27686994,0.17941801,0.51435511,1.05821914,2.78606487,0.00000000,2.4559,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,109,Top-Down,0.36005471,0.56039363,0.34434798,0.17542251,0.70134823,1.32026078,2.71297160,0.00000000,2.4559,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,109,OLS-Reconciled,0.28553799,0.40822037,0.27302747,0.17536613,0.50875086,1.04241375,2.71500523,0.00000000,2.4559,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,127,Base,0.29186250,0.41617813,0.27941366,0.17999570,0.51830255,1.06302887,2.76565108,0.04849168,2.4679,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,127,Bottom-Up,0.29160271,0.41617813,0.27893335,0.17969666,0.51830255,1.06252688,2.77740660,0.00000000,2.4679,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,127,Top-Down,0.36425949,0.56391065,0.34887211,0.17999570,0.70525566,1.33291247,2.76565108,0.00000000,2.4679,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,127,OLS-Reconciled,0.29184537,0.41665732,0.28004198,0.17883682,0.51849311,1.06252688,2.75161708,0.00000000,2.4679,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,139,Base,0.29553743,0.42243338,0.28317007,0.18100884,0.52598795,1.07334336,2.76881808,0.04163068,2.4532,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,139,Bottom-Up,0.29679002,0.42243338,0.28410828,0.18382841,0.52598795,1.08124504,2.84126270,0.00000000,2.4532,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,139,Top-Down,0.36554741,0.56560172,0.35003168,0.18100884,0.70680061,1.33552030,2.76881808,0.00000000,2.4532,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-FixedCurvature (neural),ablation,139,OLS-Reconciled,0.29423694,0.41952042,0.28227383,0.18091656,0.52074660,1.06860742,2.77074788,0.00000000,2.4532,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,11,Base,0.28658446,0.40959510,0.27490874,0.17524955,0.51231097,1.04876027,2.69890684,0.04323036,1.3573,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,11,Bottom-Up,0.28698058,0.40959510,0.27483249,0.17651415,0.51231097,1.04982047,2.73182774,0.00000000,1.3573,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,11,Top-Down,0.36076779,0.56155243,0.34550140,0.17524955,0.70164560,1.32081818,2.69890684,0.00000000,1.3573,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,11,OLS-Reconciled,0.28627390,0.40975474,0.27413893,0.17492803,0.51092067,1.04467925,2.69483824,0.00000000,1.3573,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,23,Base,0.29043643,0.41502085,0.27804794,0.17824052,0.51608334,1.05506631,2.73224800,0.03350382,1.3890,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,23,Bottom-Up,0.29111440,0.41502085,0.27857772,0.17974462,0.51608334,1.05899014,2.77118438,0.00000000,1.3890,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,23,Top-Down,0.36327159,0.56376715,0.34780709,0.17824052,0.70406861,1.32783156,2.73224800,0.00000000,1.3890,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,23,OLS-Reconciled,0.29017398,0.41467707,0.27760661,0.17823826,0.51415637,1.05225121,2.73370551,0.00000000,1.3890,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,47,Base,0.28770857,0.40917265,0.27670884,0.17724424,0.51278491,1.05218276,2.72550989,0.03461729,1.5005,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,47,Bottom-Up,0.28711177,0.40917265,0.27648245,0.17568021,0.51278491,1.05255905,2.71551720,0.00000000,1.5005,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,47,Top-Down,0.36194410,0.56214250,0.34644555,0.17724424,0.70223090,1.32435730,2.72550989,0.00000000,1.5005,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,47,OLS-Reconciled,0.28797826,0.41032392,0.27693495,0.17667590,0.51301654,1.05165559,2.71908242,0.00000000,1.5005,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,59,Base,0.28162412,0.40434361,0.26879103,0.17173772,0.49960726,1.02795179,2.64826880,0.04234405,1.4743,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,59,Bottom-Up,0.28246630,0.40434361,0.26862883,0.17442647,0.49960726,1.02320203,2.66572131,0.00000000,1.4743,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,59,Top-Down,0.35559834,0.55519708,0.33986022,0.17173772,0.69284513,1.29994265,2.64826880,0.00000000,1.4743,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,59,OLS-Reconciled,0.28067123,0.40240421,0.26835526,0.17125424,0.50152334,1.02548063,2.64128196,0.00000000,1.4743,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,71,Base,0.29834463,0.42483792,0.28500517,0.18519081,0.52475411,1.07624642,2.81285494,0.03855247,1.3219,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,71,Bottom-Up,0.29796630,0.42483792,0.28436697,0.18469400,0.52475411,1.07847403,2.83786012,0.00000000,1.3219,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,71,Top-Down,0.36890720,0.56829970,0.35323109,0.18519081,0.71031654,1.34526230,2.81285494,0.00000000,1.3219,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,71,OLS-Reconciled,0.29868094,0.42618221,0.28502114,0.18483948,0.52356789,1.07430267,2.81047512,0.00000000,1.3219,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,83,Base,0.28682213,0.40730623,0.27569565,0.17746451,0.51069450,1.04865105,2.72420241,0.04318581,1.3185,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,83,Bottom-Up,0.28569287,0.40730623,0.27373231,0.17604008,0.51069450,1.04520185,2.72037790,0.00000000,1.3185,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,83,Top-Down,0.36233262,0.56271259,0.34682076,0.17746451,0.70298899,1.32449244,2.72420241,0.00000000,1.3185,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,83,OLS-Reconciled,0.28729742,0.40957772,0.27554629,0.17676825,0.51141584,1.04711302,2.71571855,0.00000000,1.3185,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,97,Base,0.28302543,0.40213772,0.27176170,0.17517687,0.50433288,1.03657996,2.69871799,0.03747956,1.4193,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,97,Bottom-Up,0.28183170,0.40213772,0.27011674,0.17324065,0.50433288,1.03246079,2.68009222,0.00000000,1.4193,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,97,Top-Down,0.35938301,0.55948701,0.34348515,0.17517687,0.69852689,1.31304032,2.69871799,0.00000000,1.4193,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,97,OLS-Reconciled,0.28347103,0.40412830,0.27191918,0.17436562,0.50582182,1.03600138,2.68865209,0.00000000,1.4193,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,109,Base,0.28486213,0.40900562,0.27150322,0.17407754,0.50573518,1.03666430,2.68649773,0.04123594,1.3387,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,109,Bottom-Up,0.28447531,0.40900562,0.27078545,0.17363486,0.50573518,1.03285952,2.67805627,0.00000000,1.3387,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,109,Top-Down,0.35864333,0.55880511,0.34304735,0.17407754,0.69799293,1.31290625,2.68649773,0.00000000,1.3387,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,109,OLS-Reconciled,0.28451640,0.40866911,0.27158595,0.17329413,0.50747506,1.03564522,2.67692887,0.00000000,1.3387,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,127,Base,0.30076347,0.42788934,0.28662205,0.18777901,0.52870765,1.08373710,2.86084192,0.04481528,1.2352,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,127,Bottom-Up,0.30114930,0.42788934,0.28662274,0.18893582,0.52870765,1.08821352,2.90857394,0.00000000,1.2352,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,127,Top-Down,0.37115230,0.57023955,0.35543835,0.18777901,0.71377399,1.35547134,2.86084192,0.00000000,1.2352,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,127,OLS-Reconciled,0.30094187,0.42860301,0.28689511,0.18732748,0.52705581,1.08274448,2.85745082,0.00000000,1.2352,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,139,Base,0.29220602,0.41545143,0.28116302,0.18000362,0.51892919,1.06593760,2.75576050,0.03997906,1.2516,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,139,Bottom-Up,0.29142958,0.41545143,0.27974260,0.17909471,0.51892919,1.06392175,2.76179764,0.00000000,1.2516,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,139,Top-Down,0.36482136,0.56507565,0.34938482,0.18000362,0.70593166,1.33278874,2.75576050,0.00000000,1.2516,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-TemporalOnly (neural),ablation,139,OLS-Reconciled,0.29230771,0.41689117,0.28055496,0.17947699,0.51866604,1.06272928,2.74939018,0.00000000,1.2516,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,11,Base,0.28553057,0.40680721,0.27391864,0.17586585,0.51015497,1.04706269,2.71492106,0.04193355,2.5601,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,11,Bottom-Up,0.28545388,0.40680721,0.27410601,0.17544841,0.51015497,1.04791088,2.72276791,0.00000000,2.5601,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,11,Top-Down,0.36064109,0.56074546,0.34531195,0.17586585,0.70091672,1.32141402,2.71492106,0.00000000,2.5601,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,11,OLS-Reconciled,0.28549813,0.40695867,0.27425902,0.17527670,0.51007169,1.04615630,2.70822761,0.00000000,2.5601,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,23,Base,0.29774842,0.42387992,0.28420883,0.18515652,0.52537072,1.07583723,2.82810069,0.04173940,2.5327,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,23,Bottom-Up,0.30063383,0.42387992,0.28785345,0.19016812,0.52537072,1.09015788,2.90952859,0.00000000,2.5327,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,23,Top-Down,0.36841962,0.56753629,0.35256604,0.18515652,0.71022680,1.34593889,2.82810069,0.00000000,2.5327,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,23,OLS-Reconciled,0.29580431,0.41886726,0.28327337,0.18527231,0.51959416,1.07203111,2.82962587,0.00000000,2.5327,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,47,Base,0.29141271,0.41499297,0.27890600,0.18033917,0.52087236,1.06247018,2.77173226,0.03624556,2.5327,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,47,Bottom-Up,0.29253836,0.41499297,0.28180006,0.18082204,0.52087236,1.07400124,2.80275501,0.00000000,2.5327,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,47,Top-Down,0.36469223,0.56462195,0.34911556,0.18033917,0.70651543,1.33539577,2.77173226,0.00000000,2.5327,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,47,OLS-Reconciled,0.29043953,0.41227586,0.27907589,0.17996685,0.51700572,1.06132563,2.76917407,0.00000000,2.5327,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,59,Base,0.28480797,0.40841369,0.27131369,0.17469652,0.50494083,1.03878289,2.69894890,0.04391106,2.5656,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,59,Bottom-Up,0.28535516,0.40841369,0.27141760,0.17623420,0.50494083,1.03672608,2.71142508,0.00000000,2.5656,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,59,Top-Down,0.35796282,0.55701904,0.34217291,0.17469652,0.69617783,1.31030343,2.69894890,0.00000000,2.5656,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,59,OLS-Reconciled,0.28406148,0.40720786,0.27099477,0.17398180,0.50669095,1.03654814,2.69029000,0.00000000,2.5656,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,71,Base,0.31073744,0.44464443,0.29484025,0.19272765,0.54649860,1.11308627,2.93068899,0.04186029,2.7939,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,71,Bottom-Up,0.31684350,0.44464443,0.30183653,0.20404953,0.54649860,1.14179131,3.13233769,0.00000000,2.7939,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,71,Top-Down,0.37519417,0.57364910,0.35920575,0.19272765,0.71973345,1.37100370,2.93068899,0.00000000,2.7939,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,71,OLS-Reconciled,0.30704585,0.43463148,0.29271767,0.19378841,0.53386339,1.10335620,2.94947674,0.00000000,2.7939,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,83,Base,0.29464555,0.42039190,0.28136151,0.18218324,0.52171350,1.06640714,2.78544448,0.04139396,2.7691,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,83,Bottom-Up,0.29614286,0.42039190,0.28296242,0.18507427,0.52171350,1.07564286,2.85414798,0.00000000,2.7691,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,83,Top-Down,0.36638330,0.56607113,0.35089553,0.18218324,0.70796772,1.33931369,2.78544448,0.00000000,2.7691,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,83,OLS-Reconciled,0.29331227,0.41718694,0.28065187,0.18209800,0.51694468,1.06266816,2.78662657,0.00000000,2.7691,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,97,Base,0.28561365,0.40519127,0.27441226,0.17723743,0.51058882,1.04853759,2.73457305,0.03918681,2.6998,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,97,Bottom-Up,0.28575866,0.40519127,0.27460514,0.17747956,0.51058882,1.05133893,2.76046318,0.00000000,2.6998,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,97,Top-Down,0.36174984,0.56174680,0.34626530,0.17723743,0.70231259,1.32455639,2.73457305,0.00000000,2.6998,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,97,OLS-Reconciled,0.28545786,0.40513707,0.27453013,0.17670637,0.50958489,1.04753960,2.72980084,0.00000000,2.6998,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,109,Base,0.28810795,0.41086283,0.27519400,0.17826701,0.51362100,1.05090585,2.75093490,0.03965394,2.6872,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,109,Bottom-Up,0.28808331,0.41086283,0.27579009,0.17759700,0.51362100,1.05507584,2.76599900,0.00000000,2.6872,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-NoCalendar (neural),ablation,109,Top-Down,0.36198159,0.56182430,0.34585346,0.17826701,0.70310215,1.32510027,2.75093490,0.00000000,2.6872,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
