dataset,horizon_hours,method,method_role,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Weekly-168h,baseline,0.08524838,0.17158667,0.41451949,0.25323715,0.09253661,0.23273668,0.003499,47712,20832,public_data_benchmark_v2_validation_gated_simbench_profiles
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,MovingAverage-24h,baseline,0.15853692,0.20458062,1.27694866,0.59463253,0.17209088,0.23283027,0.011412,47712,20832,public_data_benchmark_v2_validation_gated_simbench_profiles
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,AR-Calendar Ridge,baseline,0.08897731,0.13231659,0.69531841,0.41800527,0.09658434,0.16812329,0.637002,47712,20832,public_data_benchmark_v2_validation_gated_simbench_profiles
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Euclidean-GCN Ridge,baseline,0.08909827,0.13052798,0.70044661,0.41781265,0.09671564,0.15959922,1.246678,47712,20832,public_data_benchmark_v2_validation_gated_simbench_profiles
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,GCN-Temporal Ridge,baseline,0.08909827,0.13052798,0.70044661,0.41781265,0.09671564,0.15959922,1.236873,47712,20832,public_data_benchmark_v2_validation_gated_simbench_profiles
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,HyG-LoadFormer,proposed,0.08524838,0.17158667,0.41451949,0.25323715,0.09253661,0.23273668,2.854556,47712,20832,public_data_benchmark_v2_validation_gated_simbench_profiles
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EuclideanGraph,ablation,0.08909827,0.13052798,0.70044661,0.41781265,0.09671564,0.15959922,1.234042,47712,20832,public_data_benchmark_v2_validation_gated_simbench_profiles
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-FixedCurvature,ablation,0.08975985,0.13114299,0.71080463,0.42079586,0.09743379,0.16288813,1.226740,47712,20832,public_data_benchmark_v2_validation_gated_simbench_profiles
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-TemporalOnly,ablation,0.08897731,0.13231659,0.69531841,0.41800527,0.09658434,0.16812329,0.659524,47712,20832,public_data_benchmark_v2_validation_gated_simbench_profiles
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-NoCalendar,ablation,0.08764061,0.13737237,0.69330349,0.37600077,0.09513336,0.17038706,0.846073,47712,20832,public_data_benchmark_v2_validation_gated_simbench_profiles
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EqualNeighbors,ablation,0.09031040,0.13143059,0.72244975,0.42556806,0.09803140,0.16316917,1.252986,47712,20832,public_data_benchmark_v2_validation_gated_simbench_profiles
