dataset,split_id,train_ratio,train_end_index,train_end_timestamp,horizon_hours,method,method_role,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
opsd,rolling_1,0.55,19250,2017-03-14T09:00:00Z,1,Persistence,baseline,1237.54438354,1756.43303312,0.03767174,0.03788074,0.01446304,1989.94583157,0.002916,28623,23624,public_data_benchmark_v4_rolling_residual_hyg_rolling
opsd,rolling_1,0.55,19250,2017-03-14T09:00:00Z,1,Weekly-168h,baseline,1895.34915411,3490.32630972,0.05361814,0.05265290,0.02215073,4103.76851460,0.004306,28623,23624,public_data_benchmark_v4_rolling_residual_hyg_rolling
opsd,rolling_1,0.55,19250,2017-03-14T09:00:00Z,1,AR-Calendar Ridge,baseline,846.83086947,1131.53925750,0.02774742,0.02773907,0.00989681,1176.17125606,0.449549,28623,23624,public_data_benchmark_v4_rolling_residual_hyg_rolling
opsd,rolling_1,0.55,19250,2017-03-14T09:00:00Z,1,Euclidean-GCN Ridge,baseline,830.57257371,1117.20056272,0.02692190,0.02692079,0.00970681,1159.66860690,0.766523,28623,23624,public_data_benchmark_v4_rolling_residual_hyg_rolling
opsd,rolling_1,0.55,19250,2017-03-14T09:00:00Z,1,HyG-LoadFormer,proposed,841.86499827,1127.13829323,0.02753459,0.02752977,0.00983878,1171.58127018,1.605764,28623,23624,public_data_benchmark_v4_rolling_residual_hyg_rolling
opsd,rolling_1,0.55,19250,2017-03-14T09:00:00Z,1,Ablation-FixedCurvature,ablation,840.54400189,1126.00312502,0.02744960,0.02744545,0.00982334,1170.26210201,0.811994,28623,23624,public_data_benchmark_v4_rolling_residual_hyg_rolling
opsd,rolling_1,0.55,19250,2017-03-14T09:00:00Z,1,Ablation-NoCalendar,ablation,673.59762048,1007.15340965,0.01995762,0.02001579,0.00787226,1051.84860687,0.508472,28623,23624,public_data_benchmark_v4_rolling_residual_hyg_rolling
opsd,rolling_1,0.55,19250,2017-03-14T09:00:00Z,24,Persistence,baseline,2501.35089745,4302.35828874,0.07460167,0.07529584,0.02938790,4205.79525223,0.002699,28623,23589,public_data_benchmark_v4_rolling_residual_hyg_rolling
opsd,rolling_1,0.55,19250,2017-03-14T09:00:00Z,24,Weekly-168h,baseline,1896.44118771,3503.75392962,0.05367991,0.05272861,0.02228093,4043.31093684,0.006423,28623,23589,public_data_benchmark_v4_rolling_residual_hyg_rolling
opsd,rolling_1,0.55,19250,2017-03-14T09:00:00Z,24,AR-Calendar Ridge,baseline,2251.28213734,3341.14679262,0.07191344,0.07167755,0.02644989,4086.00862987,0.451715,28623,23589,public_data_benchmark_v4_rolling_residual_hyg_rolling
