dataset,horizon_hours,method,method_role,seed,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
OPSD time_series_60min_singleindex,1,HyG-LoadFormer (neural),proposed,59,349.06770947,578.56050272,0.01024803,0.01024977,0.00408147,587.45243552,6.7364,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,HyG-LoadFormer (neural),proposed,71,371.42495299,603.80972670,0.01073958,0.01073528,0.00434288,654.02325893,6.6287,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,HyG-LoadFormer (neural),proposed,83,382.78456903,615.68248308,0.01120690,0.01118282,0.00447570,665.74551835,6.6358,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,HyG-LoadFormer (neural),proposed,97,362.84614025,599.05994222,0.01055767,0.01054265,0.00424257,637.27045139,6.5790,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,HyG-LoadFormer (neural),proposed,109,372.60838198,603.51554317,0.01082407,0.01081907,0.00435672,676.65048549,6.6055,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,HyG-LoadFormer (neural),proposed,127,384.02828968,625.42547527,0.01116831,0.01116978,0.00449025,677.99506634,6.6075,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,HyG-LoadFormer (neural),proposed,139,368.60339138,603.93146443,0.01069034,0.01070945,0.00430989,690.99995040,6.8031,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-EuclideanGraph (neural),ablation,59,348.67951882,578.04456243,0.01021870,0.01021111,0.00407693,595.70026848,6.2807,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-EuclideanGraph (neural),ablation,71,365.32474869,599.46128358,0.01054959,0.01054344,0.00427156,643.29117498,6.5106,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-EuclideanGraph (neural),ablation,83,359.96475398,579.72947718,0.01058822,0.01057276,0.00420888,602.16125930,6.7564,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-EuclideanGraph (neural),ablation,97,383.68768964,628.06923416,0.01103282,0.01104838,0.00448626,744.14011967,6.3134,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-EuclideanGraph (neural),ablation,109,374.02164769,603.96768144,0.01086414,0.01086080,0.00437324,681.96286086,6.2691,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-EuclideanGraph (neural),ablation,127,366.75233839,605.56186576,0.01063947,0.01064837,0.00428825,644.27257006,6.4358,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-EuclideanGraph (neural),ablation,139,365.78464986,603.95220432,0.01057745,0.01059918,0.00427693,692.04129898,6.2850,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-FixedCurvature (neural),ablation,59,349.77514582,580.79770247,0.01022864,0.01022902,0.00408974,594.82182850,6.5513,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-FixedCurvature (neural),ablation,71,375.95337149,613.36047888,0.01080334,0.01080121,0.00439583,683.77787450,6.3588,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-FixedCurvature (neural),ablation,83,376.15356032,606.95512222,0.01100826,0.01098019,0.00439817,655.67949467,6.3863,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-FixedCurvature (neural),ablation,97,376.98470500,617.42157976,0.01091583,0.01091583,0.00440789,696.37924107,6.6883,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-FixedCurvature (neural),ablation,109,386.30601527,622.72287809,0.01122089,0.01123528,0.00451688,697.22519593,6.6226,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-FixedCurvature (neural),ablation,127,366.97271346,607.86323456,0.01067116,0.01066290,0.00429082,653.87116567,6.5827,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-FixedCurvature (neural),ablation,139,366.24638462,604.38134927,0.01060800,0.01062991,0.00428233,686.02572297,6.9606,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-TemporalOnly (neural),ablation,59,372.43763637,613.28599938,0.01082640,0.01080337,0.00435472,626.64443700,4.9458,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-TemporalOnly (neural),ablation,71,375.95981110,616.12217078,0.01099016,0.01102933,0.00439591,641.79828497,4.5697,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-TemporalOnly (neural),ablation,83,373.09565337,613.81333984,0.01094823,0.01095709,0.00436242,634.31227431,4.7993,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-TemporalOnly (neural),ablation,97,376.49703006,619.50593368,0.01094915,0.01095967,0.00440219,669.32341642,4.5494,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-TemporalOnly (neural),ablation,109,368.62356689,603.61765873,0.01077466,0.01076895,0.00431013,631.02742870,4.6959,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-TemporalOnly (neural),ablation,127,376.40983838,618.92287575,0.01080825,0.01081649,0.00440117,723.16023065,4.7369,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-TemporalOnly (neural),ablation,139,383.10628229,634.06128660,0.01118259,0.01118472,0.00447947,662.46741009,4.8100,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-NoCalendar (neural),ablation,59,367.61099042,600.89804954,0.01076746,0.01076811,0.00429829,641.92200707,6.7369,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-NoCalendar (neural),ablation,71,355.35636596,585.59057684,0.01031102,0.01028671,0.00415500,620.37444878,6.6581,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-NoCalendar (neural),ablation,83,358.66057437,592.87200982,0.01044162,0.01042157,0.00419363,633.40929191,6.6624,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-NoCalendar (neural),ablation,97,351.72083260,583.46783259,0.01024843,0.01024407,0.00411249,619.97354539,6.5844,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
OPSD time_series_60min_singleindex,1,Ablation-NoCalendar (neural),ablation,109,379.97760737,624.09957313,0.01095649,0.01096900,0.00444288,726.52710069,6.5973,48664,62994,public_data_benchmark_v7_seed_significance_ausgrid
