dataset,split_id,train_ratio,train_end_index,train_end_timestamp,horizon_hours,method,method_role,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
simbench,rolling_1,0.55,4818,19.07.2016 19:45,1,Persistence,baseline,0.04141760,0.07750421,0.14546352,0.14153624,0.04456723,0.04118745,0.001467,9300,7882,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_1,0.55,4818,19.07.2016 19:45,1,Weekly-168h,baseline,0.08363337,0.16554812,135.11322968,0.24826641,0.08999331,0.20616349,0.001624,9300,7882,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_1,0.55,4818,19.07.2016 19:45,1,AR-Calendar Ridge,baseline,0.04186107,0.06744857,11.58047606,0.22908872,0.04504441,0.04664653,0.144138,9300,7882,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_1,0.55,4818,19.07.2016 19:45,1,Euclidean-GCN Ridge,baseline,0.04192181,0.06741117,11.40996592,0.23157130,0.04510977,0.04695825,0.248691,9300,7882,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_1,0.55,4818,19.07.2016 19:45,1,HyG-LoadFormer,proposed,0.04085514,0.07657602,0.68581970,0.14099168,0.04396199,0.04082088,0.581288,9300,7882,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_1,0.55,4818,19.07.2016 19:45,1,Ablation-FixedCurvature,ablation,0.04188224,0.06741360,11.11845279,0.23033686,0.04506720,0.04696211,0.260777,9300,7882,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_1,0.55,4818,19.07.2016 19:45,1,Ablation-NoCalendar,ablation,0.04052187,0.06995764,3.35313712,0.17996292,0.04360337,0.04661525,0.172391,9300,7882,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_1,0.55,4818,19.07.2016 19:45,24,Persistence,baseline,0.07478057,0.14823216,25.39450593,0.25624918,0.08173894,0.11282784,0.000813,9300,7836,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_1,0.55,4818,19.07.2016 19:45,24,Weekly-168h,baseline,0.08206038,0.16532514,137.92672013,0.24345963,0.08969615,0.20533833,0.001406,9300,7836,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_1,0.55,4818,19.07.2016 19:45,24,AR-Calendar Ridge,baseline,0.09054547,0.13323862,36.50709741,0.42761552,0.09897077,0.15679054,0.147129,9300,7836,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_1,0.55,4818,19.07.2016 19:45,24,Euclidean-GCN Ridge,baseline,0.08914245,0.13116240,34.54488595,0.41964797,0.09743721,0.15144878,0.251032,9300,7836,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_1,0.55,4818,19.07.2016 19:45,24,HyG-LoadFormer,proposed,0.06995753,0.11545364,101.37438483,0.35406950,0.07646712,0.13521610,0.473623,9300,7836,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_1,0.55,4818,19.07.2016 19:45,24,Ablation-FixedCurvature,ablation,0.08986719,0.13159354,34.32658999,0.42231985,0.09822938,0.15169699,0.251827,9300,7836,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_1,0.55,4818,19.07.2016 19:45,24,Ablation-NoCalendar,ablation,0.08871815,0.13829688,46.69675414,0.38135347,0.09697343,0.15642110,0.180576,9300,7836,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_2,0.65,5694,25.08.2016 07:45,1,Persistence,baseline,0.04054326,0.07757717,0.14113707,0.13705326,0.04462465,0.03978548,0.000825,11052,6130,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_2,0.65,5694,25.08.2016 07:45,1,Weekly-168h,baseline,0.08425715,0.16663271,0.39636000,0.24810875,0.09273909,0.21119286,0.001007,11052,6130,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_2,0.65,5694,25.08.2016 07:45,1,AR-Calendar Ridge,baseline,0.04141119,0.06829185,0.22794635,0.22503091,0.04557994,0.04567346,0.158345,11052,6130,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_2,0.65,5694,25.08.2016 07:45,1,Euclidean-GCN Ridge,baseline,0.04146121,0.06824742,0.22802833,0.22649332,0.04563499,0.04599737,0.276558,11052,6130,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
simbench,rolling_2,0.65,5694,25.08.2016 07:45,1,HyG-LoadFormer,proposed,0.04054326,0.07757717,0.14113707,0.13705326,0.04462465,0.03978548,0.725316,11052,6130,public_data_benchmark_v3_short_horizon_gated_simbench_profiles_rolling
