method,maximum_top_tie_size,covered_questions,coverage,correct_covered,covered_accuracy,overall_correct_yield
validation_only,1,50,0.2777777777777778,24,0.48,0.13333333333333333
validation_only,2,55,0.3055555555555556,27,0.4909090909090909,0.15
validation_only,3,58,0.32222222222222224,28,0.4827586206896552,0.15555555555555556
validation_only,4,62,0.34444444444444444,28,0.45161290322580644,0.15555555555555556
validation_only,5,67,0.37222222222222223,32,0.47761194029850745,0.17777777777777778
validation_only,6,75,0.4166666666666667,37,0.49333333333333335,0.20555555555555555
validation_only,7,101,0.5611111111111111,53,0.5247524752475248,0.29444444444444445
validation_only,8,180,1.0,99,0.55,0.55
complete_witness,1,50,0.2777777777777778,24,0.48,0.13333333333333333
complete_witness,2,55,0.3055555555555556,27,0.4909090909090909,0.15
complete_witness,3,58,0.32222222222222224,28,0.4827586206896552,0.15555555555555556
complete_witness,4,62,0.34444444444444444,28,0.45161290322580644,0.15555555555555556
complete_witness,5,67,0.37222222222222223,32,0.47761194029850745,0.17777777777777778
complete_witness,6,76,0.4222222222222222,38,0.5,0.2111111111111111
complete_witness,7,102,0.5666666666666667,54,0.5294117647058824,0.3
complete_witness,8,180,1.0,100,0.5555555555555556,0.5555555555555556
