corpus,doi,slug,year,title,category,selection_reason,article_type,official_url,official_pdf_url,official_xml_url,pdf_sha256,xml_sha256,pdf_bytes,xml_bytes,pages,abstract_words,body_words,body_paragraphs,figures,tables,display_formulas,references,introduction_words,introduction_paragraphs,related_work_background_words,related_work_background_paragraphs,methods_and_setup_words,methods_and_setup_paragraphs,results_and_analysis_words,results_and_analysis_paragraphs,discussion_and_limitations_words,discussion_and_limitations_paragraphs,conclusions_words,conclusions_paragraphs,foundation_words,evidence_words,subgroup,recent_2024_2026
C2GES,10.3390/app13137753,applsci-13-07753,2023,Enhancing Abstractive Summarization with Extracted Knowledge Graphs and Multi-Source Transformers,kg-summarization,knowledge-graph-enhanced summarization,research-article,https://www.mdpi.com/2076-3417/13137753,https://mdpi-res.com/d_attachment/applsci/applsci-13-07753/article_deploy/applsci-13-07753.pdf,https://mdpi-res.com/d_attachment/applsci/applsci-13-07753/article_deploy/applsci-13-07753.xml,974EBEC840F8214725BE2F239007A9E4A7567415DF40836E30399CE6FB3B3683,6E131B89A47586CA7E1329AD6BC395F23D52CC16D8C1DBEC35A09992892E08FD,2130085,117317,14,196,5028,67,3,7,7,30,762,10,610,6,2058,33,988,12,0,0,610,6,1372,988,method/framework,0
C2GES,10.3390/app14051880,applsci-14-01880,2024,TOMDS (Topic-Oriented Multi-Document Summarization): Enabling Personalized Customization of Multi-Document Summaries,multi-document-summary,topic-oriented multi-document summarization,research-article,https://www.mdpi.com/2076-3417/14051880,https://mdpi-res.com/d_attachment/applsci/applsci-14-01880/article_deploy/applsci-14-01880.pdf,https://mdpi-res.com/d_attachment/applsci/applsci-14-01880/article_deploy/applsci-14-01880.xml,654AF5CB343EA6C1CF1A3E15469AC8225FFFE584D006DF75008DFFDE2818847C,02294082F6044226C18C729C0716169C282077A50DE33B79707E0E04B41CDE9F,2970296,195549,19,222,7951,89,6,4,37,46,737,8,1046,8,3873,44,1816,27,0,0,479,2,1783,1816,method/framework,1
C2GES,10.3390/app15042119,applsci-15-02119,2025,An Entity-Relation Extraction Method Based on the Mixture-of-Experts Model and Dependency Parsing,relation-extraction-recent,entity-relation extraction with MoE/dependency,research-article,https://www.mdpi.com/2076-3417/15042119,https://mdpi-res.com/d_attachment/applsci/applsci-15-02119/article_deploy/applsci-15-02119.pdf,https://mdpi-res.com/d_attachment/applsci/applsci-15-02119/article_deploy/applsci-15-02119.xml,4B3326AD15C1B66B7575CA95AA3EAE6D0D05C7C44CFD22607D77A0F16919261C,EC4EEA1038B41FC23EAA11710447142328936BDDE15DD3E957FB663000515845,809243,133392,18,200,6031,51,6,5,17,34,821,8,1265,5,1830,20,1651,16,0,0,464,2,2086,1651,method/framework,1
C2GES,10.3390/app15137435,applsci-15-07435,2025,CLEAR: Cross-Document Link-Enhanced Attention for Relation Extraction with Relation-Aware Context Filtering,cross-document-recent,cross-document relation extraction,research-article,https://www.mdpi.com/2076-3417/15137435,https://mdpi-res.com/d_attachment/applsci/applsci-15-07435/article_deploy/applsci-15-07435.pdf,https://mdpi-res.com/d_attachment/applsci/applsci-15-07435/article_deploy/applsci-15-07435.xml,7C03F331B80E03E69FBF6A062450590427C607EEF7D3EBD0CBE3F02E91CC434A,F1246C27F95977B257FBA5E6FA0A5CF7D6609A307D9FA67B65FBCB2114A12E96,439267,246609,27,172,11211,178,3,8,35,33,1143,10,1041,12,5238,107,3468,48,0,0,321,1,2184,3468,method/framework,1
MA_SQLGrid,10.3390/app152011121,applsci-15-11121,2025,DKASQL: Dynamic Knowledge Adaptation for Domain-Specific Text-to-SQL,direct-text-to-sql,domain-specific Text-to-SQL,research-article,https://www.mdpi.com/2076-3417/152011121,https://mdpi-res.com/d_attachment/applsci/applsci-15-11121/article_deploy/applsci-15-11121.pdf,https://mdpi-res.com/d_attachment/applsci/applsci-15-11121/article_deploy/applsci-15-11121.xml,BEE2B6983C738AE11792FB2965E6D9776EEE17980B0263A04BD73334BF5E7105,BF1BBAC0964F367A48C528BA2E86D102DA183050E66D9C043AE445174D2BD44A,395754,160026,21,225,6246,74,1,8,8,33,1490,16,486,3,2773,35,1088,13,0,0,409,7,1976,1088,domain/direct,1
MA_SQLGrid,10.3390/app142210359,applsci-14-10359,2024,RGISQL: Integrating Refined Grammatical Information into Relational Graph Neural Network for Text-to-SQL Task,direct-text-to-sql,relational-GNN Text-to-SQL,research-article,https://www.mdpi.com/2076-3417/142210359,https://mdpi-res.com/d_attachment/applsci/applsci-14-10359/article_deploy/applsci-14-10359.pdf,https://mdpi-res.com/d_attachment/applsci/applsci-14-10359/article_deploy/applsci-14-10359.xml,831B208D97B08243E6A8DF5ADDB968BC3B6BCA2AE511D72142557A4694892087,6F830C5C62174827C1021565E1A082295C523AA2CADDDD51225D7E5449850F1D,3798628,170255,19,183,6432,71,13,7,14,34,898,10,1120,9,2474,24,1694,26,0,0,246,2,2018,1694,domain/direct,1
MA_SQLGrid,10.3390/app15105306,applsci-15-05306,2025,Refining Zero-Shot Text-to-SQL Benchmarks via Prompt Strategies with Large Language Models,direct-text-to-sql,zero-shot LLM Text-to-SQL prompting,research-article,https://www.mdpi.com/2076-3417/15105306,https://mdpi-res.com/d_attachment/applsci/applsci-15-05306/article_deploy/applsci-15-05306.pdf,https://mdpi-res.com/d_attachment/applsci/applsci-15-05306/article_deploy/applsci-15-05306.xml,C63A25DE19865BA65E77CC90B361EC9DAB5070571FA431CD3CB9256C72E5ACE0,63A66487E211ED5547BBFAF196196D05D7C7D0982161686D7956FB4397B13CE4,8149118,135743,23,144,3203,56,27,2,0,37,457,3,301,3,1316,31,973,17,0,0,156,2,758,973,domain/direct,1
MA_SQLGrid,10.3390/app13042262,applsci-13-02262,2023,DIR: A Large-Scale Dialogue Rewrite Dataset for Cross-Domain Conversational Text-to-SQL,direct-text-to-sql,conversational Text-to-SQL dataset,research-article,https://www.mdpi.com/2076-3417/13042262,https://mdpi-res.com/d_attachment/applsci/applsci-13-02262/article_deploy/applsci-13-02262.pdf,https://mdpi-res.com/d_attachment/applsci/applsci-13-02262/article_deploy/applsci-13-02262.xml,BA3053DE3FD8F829B067798B8D8AC5E5B3306D473A3472E24780D52062E969C6,CEDC7E128F2107D46B9527483C48533D065DC26155CA97196E4F41FD3FE477FC,650081,127869,13,224,4207,63,5,6,1,40,603,8,560,2,2882,52,0,0,0,0,162,1,1163,0,domain/direct,0
MA_SQLGrid,10.3390/app16020586,applsci-16-00586,2026,Schema Retrieval with Embeddings and Vector Stores Using Retrieval-Augmented Generation and LLM-Based SQL Query Generation,direct-text-to-sql-recent,schema retrieval and LLM SQL generation,research-article,https://www.mdpi.com/2076-3417/16020586,https://mdpi-res.com/d_attachment/applsci/applsci-16-00586/article_deploy/applsci-16-00586.pdf,https://mdpi-res.com/d_attachment/applsci/applsci-16-00586/article_deploy/applsci-16-00586.xml,164EC926C8FA633F2C669F8D00CCDCFD4C723B05A1655FF65A2962592EDDD7A1,CB96DE9DD2F53FC3C84B2F6545D271DA692D745225766538120F72511AA96987,1962087,262268,32,175,10900,161,11,12,9,32,1283,16,1660,20,3617,63,3524,55,0,0,816,7,2943,3524,domain/direct,1
MA_SQLGrid,10.3390/app152111399,applsci-15-11399,2025,Training a Team of Language Models as Options to Build an SQL-Based Memory,sql-multi-model,team of language models with SQL memory,research-article,https://www.mdpi.com/2076-3417/152111399,https://mdpi-res.com/d_attachment/applsci/applsci-15-11399/article_deploy/applsci-15-11399.pdf,https://mdpi-res.com/d_attachment/applsci/applsci-15-11399/article_deploy/applsci-15-11399.xml,BB25D529478905886D4711F9796E811F55DBD01AE79DF061E2C1B1FA42CFA121,351FF5C1F51D100300E3E9ADA352F7A8C2758D17D5F247CC7A15D8E556D3310E,411497,171857,17,246,6495,47,3,8,7,44,1951,13,0,0,2801,17,610,6,572,3,561,8,1951,1182,domain/direct,1
