corpus,slug,doi,year,category,section_index,section_title,normalized_role,paragraphs,words
C2GES,applsci-15-04034,10.3390/app15074034,2025,fault-text-llm,4,4. Results,Results and Analysis,44,3885
C2GES,applsci-15-04034,10.3390/app15074034,2025,fault-text-llm,5,5. Discussion,Discussion and Limitations,9,1000
C2GES,applsci-15-04034,10.3390/app15074034,2025,fault-text-llm,6,6. Conclusions and Prospects,Conclusions,6,301
C2GES,applsci-15-06395,10.3390/app15126395,2025,extractive-graph-recent,1,1. Introduction,Introduction,13,912
C2GES,applsci-15-06395,10.3390/app15126395,2025,extractive-graph-recent,2,2. Related Works,Related Work/Background,9,1037
C2GES,applsci-15-06395,10.3390/app15126395,2025,extractive-graph-recent,3,3. Datasets,Methods and Setup,3,184
C2GES,applsci-15-06395,10.3390/app15126395,2025,extractive-graph-recent,4,4. Materials and Methods,Methods and Setup,23,2352
C2GES,applsci-15-06395,10.3390/app15126395,2025,extractive-graph-recent,5,5. Experiment Setup and Results,Results and Analysis,16,1632
C2GES,applsci-15-06395,10.3390/app15126395,2025,extractive-graph-recent,6,6. Discussion,Discussion and Limitations,6,418
C2GES,applsci-15-06395,10.3390/app15126395,2025,extractive-graph-recent,7,7. Conclusions,Conclusions,4,392
C2GES,applsci-14-04671,10.3390/app14114671,2024,extractive-hypergraph,1,1. Introduction,Introduction,11,768
C2GES,applsci-14-04671,10.3390/app14114671,2024,extractive-hypergraph,2,2. Related Work,Related Work/Background,16,761
C2GES,applsci-14-04671,10.3390/app14114671,2024,extractive-hypergraph,3,3. Methodology,Methods and Setup,85,2890
C2GES,applsci-14-04671,10.3390/app14114671,2024,extractive-hypergraph,4,4. Optimization and Training,Methods and Setup,17,460
C2GES,applsci-14-04671,10.3390/app14114671,2024,extractive-hypergraph,5,5. Experiments and Results,Results and Analysis,78,3790
C2GES,applsci-14-04671,10.3390/app14114671,2024,extractive-hypergraph,6,6. Discussion,Discussion and Limitations,14,275
C2GES,applsci-14-04671,10.3390/app14114671,2024,extractive-hypergraph,7,7. Limitations,Discussion and Limitations,6,390
C2GES,applsci-14-04671,10.3390/app14114671,2024,extractive-hypergraph,8,8. Conclusions,Conclusions,5,322
C2GES,applsci-12-04479,10.3390/app12094479,2022,extractive-semantic,1,1. Introduction,Introduction,8,1039
C2GES,applsci-12-04479,10.3390/app12094479,2022,extractive-semantic,2,2. Background,Related Work/Background,4,935
C2GES,applsci-12-04479,10.3390/app12094479,2022,extractive-semantic,3,3. Methodology and Experimental Setup,Methods and Setup,25,1740
C2GES,applsci-12-04479,10.3390/app12094479,2022,extractive-semantic,4,4. Results,Results and Analysis,5,243
C2GES,applsci-12-04479,10.3390/app12094479,2022,extractive-semantic,5,5. Conclusions & Future Recommendations,Conclusions,2,197
C2GES,applsci-13-01458,10.3390/app13031458,2023,extractive-attention,1,1. Introduction,Introduction,6,942
C2GES,applsci-13-01458,10.3390/app13031458,2023,extractive-attention,2,2. Related Work,Related Work/Background,7,974
C2GES,applsci-13-01458,10.3390/app13031458,2023,extractive-attention,3,3. Attentional Extractive Summarization Framework,Methods and Setup,4,602
C2GES,applsci-13-01458,10.3390/app13031458,2023,extractive-attention,4,4. Framework Definition,Methods and Setup,9,1269
C2GES,applsci-13-01458,10.3390/app13031458,2023,extractive-attention,5,5. Proposed Systems,Methods and Setup,14,2152
C2GES,applsci-13-01458,10.3390/app13031458,2023,extractive-attention,6,6. Corpora,Methods and Setup,3,334
C2GES,applsci-13-01458,10.3390/app13031458,2023,extractive-attention,7,7. Experimental Setup,Methods and Setup,4,428
C2GES,applsci-13-01458,10.3390/app13031458,2023,extractive-attention,8,8. Evaluation,Results and Analysis,9,1153
C2GES,applsci-13-01458,10.3390/app13031458,2023,extractive-attention,9,9. Analysis,Results and Analysis,5,701
C2GES,applsci-13-01458,10.3390/app13031458,2023,extractive-attention,10,10. Conclusions and Future Works,Conclusions,4,294
C2GES,applsci-12-10382,10.3390/app122010382,2022,extractive-graph,1,1. Introduction,Introduction,9,752
C2GES,applsci-12-10382,10.3390/app122010382,2022,extractive-graph,2,2. Related Works,Related Work/Background,4,895
C2GES,applsci-12-10382,10.3390/app122010382,2022,extractive-graph,3,3. Our Approach: A Model with Graph Sentence-Level Attention,Methods and Setup,25,2093
C2GES,applsci-12-10382,10.3390/app122010382,2022,extractive-graph,4,4. Evaluation,Results and Analysis,23,2029
C2GES,applsci-12-10382,10.3390/app122010382,2022,extractive-graph,5,5. Conclusions,Conclusions,6,422
C2GES,applsci-12-05854,10.3390/app12125854,2022,technical-report-summary,1,1. Introduction,Introduction,6,577
C2GES,applsci-12-05854,10.3390/app12125854,2022,technical-report-summary,2,2. Related Work,Related Work/Background,7,875
C2GES,applsci-12-05854,10.3390/app12125854,2022,technical-report-summary,3,3. Proposed Method,Methods and Setup,21,1445
C2GES,applsci-12-05854,10.3390/app12125854,2022,technical-report-summary,4,4. Experimental Setup,Methods and Setup,37,2300
C2GES,applsci-12-05854,10.3390/app12125854,2022,technical-report-summary,5,5. Experimental Results,Results and Analysis,20,1380
C2GES,applsci-12-05854,10.3390/app12125854,2022,technical-report-summary,6,6. Discussion,Discussion and Limitations,10,689
C2GES,applsci-12-05854,10.3390/app12125854,2022,technical-report-summary,7,7. Conclusions,Conclusions,2,268
C2GES,applsci-14-07548,10.3390/app14177548,2024,summarization-recent,1,1. Introduction,Introduction,8,999
C2GES,applsci-14-07548,10.3390/app14177548,2024,summarization-recent,2,2. Literature Review,Related Work/Background,10,1607
C2GES,applsci-14-07548,10.3390/app14177548,2024,summarization-recent,3,3. News Text Summarization Model Based on Framing Theory,Methods and Setup,66,4036
C2GES,applsci-14-07548,10.3390/app14177548,2024,summarization-recent,4,4. Experiments,Results and Analysis,54,3111
C2GES,applsci-14-07548,10.3390/app14177548,2024,summarization-recent,5,5. Conclusions,Conclusions,3,347
C2GES,applsci-13-07753,10.3390/app13137753,2023,kg-summarization,1,1. Introduction,Introduction,10,762
C2GES,applsci-13-07753,10.3390/app13137753,2023,kg-summarization,2,2. Related Work,Related Work/Background,6,610
C2GES,applsci-13-07753,10.3390/app13137753,2023,kg-summarization,3,3. Problem Statement,Methods and Setup,3,220
