scenario,method,seed_index,legacy_hypervolume,rerun_hypervolume,exact_at_archived_precision
preference_aware_support,Ablation-NoPreferenceRanking,10,0.17322724,0.17322724,True
preference_aware_support,Ablation-NoPreferenceRanking,11,0.17708966,0.17708966,True
preference_aware_support,Ablation-NoPreferenceRanking,12,0.17391954,0.17391954,True
preference_aware_support,Ablation-NoPreferenceRanking,13,0.17682475,0.17682475,True
preference_aware_support,Ablation-NoPreferenceRanking,14,0.17596805,0.17596805,True
preference_aware_support,Ablation-NoPreferenceRanking,15,0.17679224,0.17679224,True
preference_aware_support,Ablation-NoPreferenceRanking,16,0.17271004,0.17271004,True
preference_aware_support,Ablation-NoPreferenceRanking,17,0.17622133,0.17622133,True
preference_aware_support,Ablation-NoPreferenceRanking,18,0.17641969,0.17641969,True
preference_aware_support,Ablation-NoPreferenceRanking,19,0.17506100,0.17506100,True
preference_aware_support,Ablation-NoPreferenceRanking,20,0.17605172,0.17605172,True
preference_aware_support,Ablation-NoPreferenceRanking,21,0.17441795,0.17441795,True
preference_aware_support,Ablation-NoPreferenceRanking,22,0.17570861,0.17570861,True
preference_aware_support,Ablation-NoPreferenceRanking,23,0.17484779,0.17484779,True
preference_aware_support,Ablation-NoPreferenceRanking,24,0.17643833,0.17643833,True
preference_aware_support,Ablation-NoPreferenceRanking,25,0.17257687,0.17257687,True
preference_aware_support,Ablation-NoPreferenceRanking,26,0.17487254,0.17487254,True
preference_aware_support,Ablation-NoPreferenceRanking,27,0.17315016,0.17315016,True
preference_aware_support,Ablation-NoPreferenceRanking,28,0.17636193,0.17636193,True
preference_aware_support,Ablation-NoPreferenceRanking,29,0.17641751,0.17641751,True
preference_aware_support,AHP-TOPSIS,0,0.13381786,0.13381786,True
preference_aware_support,Weighted Sum,0,0.02801251,0.02801251,True
preference_aware_support,Greedy BCR,0,0.04110810,0.04110810,True
traceability_evaluation,TRACE-MOEA,0,0.17470880,0.17470880,True
traceability_evaluation,TRACE-MOEA,1,0.17576885,0.17576885,True
traceability_evaluation,TRACE-MOEA,2,0.17502445,0.17502445,True
traceability_evaluation,TRACE-MOEA,3,0.17692408,0.17692408,True
traceability_evaluation,TRACE-MOEA,4,0.17563320,0.17563320,True
traceability_evaluation,TRACE-MOEA,5,0.17413938,0.17413938,True
traceability_evaluation,TRACE-MOEA,6,0.17503251,0.17503251,True
traceability_evaluation,TRACE-MOEA,7,0.17595405,0.17595405,True
traceability_evaluation,TRACE-MOEA,8,0.17418334,0.17418334,True
traceability_evaluation,TRACE-MOEA,9,0.17801800,0.17801800,True
traceability_evaluation,TRACE-MOEA,10,0.17458833,0.17458833,True
traceability_evaluation,TRACE-MOEA,11,0.17570165,0.17570165,True
traceability_evaluation,TRACE-MOEA,12,0.17745050,0.17745050,True
traceability_evaluation,TRACE-MOEA,13,0.17489519,0.17489519,True
traceability_evaluation,TRACE-MOEA,14,0.17575041,0.17575041,True
traceability_evaluation,TRACE-MOEA,15,0.17468847,0.17468847,True
traceability_evaluation,TRACE-MOEA,16,0.17379152,0.17379152,True
traceability_evaluation,TRACE-MOEA,17,0.17622226,0.17622226,True
traceability_evaluation,TRACE-MOEA,18,0.17325369,0.17325369,True
traceability_evaluation,TRACE-MOEA,19,0.17572045,0.17572045,True
traceability_evaluation,TRACE-MOEA,20,0.17704635,0.17704635,True
traceability_evaluation,TRACE-MOEA,21,0.17630244,0.17630244,True
traceability_evaluation,TRACE-MOEA,22,0.17400238,0.17400238,True
traceability_evaluation,TRACE-MOEA,23,0.17573678,0.17573678,True
traceability_evaluation,TRACE-MOEA,24,0.17755302,0.17755302,True
traceability_evaluation,TRACE-MOEA,25,0.17639798,0.17639798,True
traceability_evaluation,TRACE-MOEA,26,0.17543050,0.17543050,True
traceability_evaluation,TRACE-MOEA,27,0.17288189,0.17288189,True
traceability_evaluation,TRACE-MOEA,28,0.16864015,0.16864015,True
traceability_evaluation,TRACE-MOEA,29,0.17480622,0.17480622,True
traceability_evaluation,Ablation-NoPreferenceRanking,0,0.17521338,0.17521338,True
traceability_evaluation,Ablation-NoPreferenceRanking,1,0.17754631,0.17754631,True
traceability_evaluation,Ablation-NoPreferenceRanking,2,0.17602172,0.17602172,True
traceability_evaluation,Ablation-NoPreferenceRanking,3,0.17781959,0.17781959,True
traceability_evaluation,Ablation-NoPreferenceRanking,4,0.17639360,0.17639360,True
traceability_evaluation,Ablation-NoPreferenceRanking,5,0.17584770,0.17584770,True
traceability_evaluation,Ablation-NoPreferenceRanking,6,0.17430371,0.17430371,True
traceability_evaluation,Ablation-NoPreferenceRanking,7,0.17511150,0.17511150,True
traceability_evaluation,Ablation-NoPreferenceRanking,8,0.17546202,0.17546202,True
traceability_evaluation,Ablation-NoPreferenceRanking,9,0.17856829,0.17856829,True
traceability_evaluation,Ablation-NoPreferenceRanking,10,0.17523214,0.17523214,True
traceability_evaluation,Ablation-NoPreferenceRanking,11,0.17488678,0.17488678,True
traceability_evaluation,Ablation-NoPreferenceRanking,12,0.17381930,0.17381930,True
traceability_evaluation,Ablation-NoPreferenceRanking,13,0.17091727,0.17091727,True
traceability_evaluation,Ablation-NoPreferenceRanking,14,0.17375932,0.17375932,True
traceability_evaluation,Ablation-NoPreferenceRanking,15,0.17536588,0.17536588,True
traceability_evaluation,Ablation-NoPreferenceRanking,16,0.17525040,0.17525040,True
traceability_evaluation,Ablation-NoPreferenceRanking,17,0.17571017,0.17571017,True
traceability_evaluation,Ablation-NoPreferenceRanking,18,0.16240026,0.16240026,True
traceability_evaluation,Ablation-NoPreferenceRanking,19,0.17314899,0.17314899,True
traceability_evaluation,Ablation-NoPreferenceRanking,20,0.17349417,0.17349417,True
traceability_evaluation,Ablation-NoPreferenceRanking,21,0.17424735,0.17424735,True
traceability_evaluation,Ablation-NoPreferenceRanking,22,0.17223740,0.17223740,True
traceability_evaluation,Ablation-NoPreferenceRanking,23,0.17387171,0.17387171,True
traceability_evaluation,Ablation-NoPreferenceRanking,24,0.17744190,0.17744190,True
traceability_evaluation,Ablation-NoPreferenceRanking,25,0.17378327,0.17378327,True
traceability_evaluation,Ablation-NoPreferenceRanking,26,0.17095784,0.17095784,True
traceability_evaluation,Ablation-NoPreferenceRanking,27,0.17791823,0.17791823,True
traceability_evaluation,Ablation-NoPreferenceRanking,28,0.17307592,0.17307592,True
traceability_evaluation,Ablation-NoPreferenceRanking,29,0.17290333,0.17290333,True
traceability_evaluation,AHP-TOPSIS,0,0.13381786,0.13381786,True
traceability_evaluation,Weighted Sum,0,0.02801251,0.02801251,True
traceability_evaluation,Greedy BCR,0,0.04110810,0.04110810,True
