cell_id,factor,method,risk_aggregation,quality_compliance_share,n_preferences,preference_profile,seed_index,seed_value,hv_reported_empirical_ref1p1_clipped,hv_analytic_ref1p2,matched_single_hv_analytic_ref1p2,compromise_max_score,full_front_size,portfolio_size,trace_event_count
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,6,747514,0.1572944162,0.1030025107,0.0201388354,0.9861128295,38,13,1292
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,7,755433,0.1575277804,0.1060437158,0.0154448362,0.9851810182,38,14,1292
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,8,763352,0.1579902427,0.0975793214,0.0121544438,0.9844228300,39,14,1260
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,9,771271,0.1569600360,0.0953571228,0.0142750883,0.9836492422,39,13,1107
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,10,779190,0.1562329810,0.0931517375,0.0142856940,0.9837216620,39,13,1228
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,11,787109,0.1556086414,0.0968037270,0.0162527789,0.9859695707,39,13,1112
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,12,795028,0.1567422673,0.0996398997,0.0122129198,0.9848394473,38,14,1236
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,13,802947,0.1524093022,0.0942483054,0.0217593456,0.9862627189,38,12,1263
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,14,810866,0.1552187483,0.0983971153,0.0140444471,0.9882085745,37,15,1042
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,15,818785,0.1579960993,0.0985354437,0.0212274196,0.9849382703,39,12,1188
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,16,826704,0.1609514724,0.1011627023,0.0134517910,0.9821642102,39,14,1045
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,17,834623,0.1571480233,0.1005132473,0.0140104996,0.9861748533,39,13,1143
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,18,842542,0.1507632880,0.0949991976,0.0148624483,0.9836365448,39,13,1227
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,19,850461,0.1578984082,0.0980667530,0.0144386717,0.9839236957,39,13,1335
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,20,858380,0.1575458193,0.0935719282,0.0127526359,0.9843285171,39,13,1172
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,21,866299,0.1562634859,0.1004974220,0.0144673473,0.9850458239,39,14,1241
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,22,874218,0.1569462400,0.0959479234,0.0131362015,0.9869812379,38,12,1107
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,23,882137,0.1577879820,0.0982270276,0.0119361358,0.9858138298,40,14,1237
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,24,890056,0.1604009919,0.1017586187,0.0127065613,0.9857424298,38,14,1095
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,25,897975,0.1522424337,0.0971176794,0.0140249013,0.9856291533,37,14,1140
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,26,905894,0.1594364385,0.1004318946,0.0208064975,0.9838214552,38,12,1312
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,27,913813,0.1589494117,0.0992589886,0.0162674255,0.9846059871,40,13,1161
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,28,921732,0.1569709143,0.0976290966,0.0134766966,0.9823120672,38,14,1182
risk_max,formulation,TRACE-MOEA,max,0.5000000000,8,balanced,29,929651,0.1556191808,0.0986875983,0.0167530893,0.9863776290,39,14,1107
quality_compliance_025,formulation,TRACE-MOEA,mean,0.2500000000,8,balanced,0,700000,0.1807028243,0.1078928488,0.0137302018,0.9868883039,38,13,1143
