run_namespace,family_id,horizon_hours,selection_objective,contrast_id,treatment_condition_id,control_condition_id,metric,better_direction,execution_status,n_pairs,mean_treatment_minus_control,median_treatment_minus_control,sample_sd,dz,zero_variance,treatment_wins,ties,control_wins,p_exact_sign_flip,p_holm_within_family_horizon,holm_significant_005,seed_interval_low,seed_interval_high,mean_direction
p1_ieee_access_upgrade_v2,architecture_head_mae,24,mae,gru_head_vs_lstm_head,gru_head,lstm_head,curtailment_mae,lower,completed,10,0.00064658886341,0.0002842178544,0.000978969349456,0.660479170026,false,3,0,7,0.07421875,0.1484375,false,-5.37236214396e-05,0.00134690134826,adverse
p1_ieee_access_upgrade_v2,architecture_head_mae,24,mae,gru_head_vs_dlinear_head,gru_head,dlinear_head,curtailment_mae,lower,completed,10,-0.00383620163834,-0.0039640629046,0.00272195942578,-1.40935298374,false,10,0,0,0.001953125,0.005859375,true,-0.00578337411129,-0.00188902916539,favorable
p1_ieee_access_upgrade_v2,architecture_head_mae,24,mae,gru_head_vs_tcn_head,gru_head,tcn_head,curtailment_mae,lower,completed,10,0.00012198516193,6.249770735e-05,0.00195623668554,0.0623570567057,false,5,0,5,0.837890625,0.837890625,false,-0.00127742226075,0.00152139258461,adverse
p1_ieee_access_upgrade_v2,onset_f1_diagnostic,1,onset_f1,selected_learned_vs_gru_head_onset,gru_learned_k8_selected_blend,gru_learned_k8_fixed_1,onset_f1,higher,completed,10,0,0,0,,true,0,10,0,1,1,false,0,0,null
p1_ieee_access_upgrade_v2,onset_f1_diagnostic,1,onset_f1,learned_retrieval_vs_gru_head_onset,gru_learned_k8_retrieval,gru_learned_k8_fixed_1,onset_f1,higher,completed,10,0.0157104510603,0.0157410898225,0.0122637496448,1.28104792705,false,8,0,2,0.0078125,0.03125,true,0.00693749305901,0.0244834090616,favorable
p1_ieee_access_upgrade_v2,onset_f1_diagnostic,1,onset_f1,fixed_half_vs_gru_head_onset,gru_learned_k8_fixed_0_5,gru_learned_k8_fixed_1,onset_f1,higher,completed,10,0.0244187098693,0.022095557755,0.00730731533431,3.34168004967,false,10,0,0,0.001953125,0.01171875,true,0.0191913713809,0.0296460483577,favorable
p1_ieee_access_upgrade_v2,onset_f1_diagnostic,1,onset_f1,learned_retrieval_vs_fixed_half_onset,gru_learned_k8_retrieval,gru_learned_k8_fixed_0_5,onset_f1,higher,completed,10,-0.008708258809,-0.007199750218,0.0083466772794,-1.04332041572,false,2,0,8,0.017578125,0.052734375,false,-0.0146791120426,-0.00273740557542,adverse
p1_ieee_access_upgrade_v2,onset_f1_diagnostic,1,onset_f1,learned_retrieval_vs_raw_onset,gru_learned_k8_retrieval,raw_k8_retrieval,onset_f1,higher,completed,10,0.0185007686803,0.021708798909,0.0121587134249,1.52160578457,false,9,0,1,0.00390625,0.01953125,true,0.0098029490643,0.0271985882963,favorable
p1_ieee_access_upgrade_v2,onset_f1_diagnostic,1,onset_f1,learned_retrieval_vs_randomized_onset,gru_learned_k8_retrieval,gru_randomized_k8_retrieval,onset_f1,higher,completed,10,0.0047775706835,0.007153092514,0.00872159926552,0.547786081205,false,8,0,2,0.111328125,0.22265625,false,-0.00146148558204,0.011016626949,favorable
p1_ieee_access_upgrade_v2,onset_f1_diagnostic,24,onset_f1,selected_learned_vs_gru_head_onset,gru_learned_k8_selected_blend,gru_learned_k8_fixed_1,onset_f1,higher,completed,10,0,0,0,,true,0,10,0,1,1,false,0,0,null
p1_ieee_access_upgrade_v2,onset_f1_diagnostic,24,onset_f1,learned_retrieval_vs_gru_head_onset,gru_learned_k8_retrieval,gru_learned_k8_fixed_1,onset_f1,higher,completed,10,0.0020797219181,-0.001473093726,0.0116139175531,0.179071524194,false,5,0,5,0.560546875,1,false,-0.0062283742087,0.0103878180449,favorable
p1_ieee_access_upgrade_v2,onset_f1_diagnostic,24,onset_f1,fixed_half_vs_gru_head_onset,gru_learned_k8_fixed_0_5,gru_learned_k8_fixed_1,onset_f1,higher,completed,10,0.0016343932642,-0.0013961052475,0.0124119011935,0.131679525862,false,5,0,5,0.65234375,1,false,-0.00724454597055,0.010513332499,favorable
p1_ieee_access_upgrade_v2,onset_f1_diagnostic,24,onset_f1,learned_retrieval_vs_fixed_half_onset,gru_learned_k8_retrieval,gru_learned_k8_fixed_0_5,onset_f1,higher,completed,10,0.0004453286539,0.0028937071705,0.00790044326285,0.056367552944,false,6,0,4,0.861328125,1,false,-0.00520630799427,0.00609696530207,favorable
p1_ieee_access_upgrade_v2,onset_f1_diagnostic,24,onset_f1,learned_retrieval_vs_raw_onset,gru_learned_k8_retrieval,raw_k8_retrieval,onset_f1,higher,completed,10,-0.0078031435513,-0.0071563790795,0.00659085891099,-1.18393424236,false,1,0,9,0.005859375,0.03515625,true,-0.0125179599894,-0.00308832711316,adverse
p1_ieee_access_upgrade_v2,onset_f1_diagnostic,24,onset_f1,learned_retrieval_vs_randomized_onset,gru_learned_k8_retrieval,gru_randomized_k8_retrieval,onset_f1,higher,completed,10,0.0018371987688,0.002174389842,0.00755906848948,0.243045657194,false,7,0,3,0.455078125,1,false,-0.00357023307772,0.00724463061532,favorable
