cap,horizon_hours,selection_objective,condition_id,method_role,architecture,retrieval_space,k_neighbors,rank_eligible,run_namespace,n_expected_rows,n_completed_rows,aggregation_status,primary_cap,primary_k,scope,mean_curtailment_mae,sample_sd_curtailment_mae,mean_curtailment_rmse,sample_sd_curtailment_rmse,mean_event_f1,sample_sd_event_f1,mean_event_precision,sample_sd_event_precision,mean_event_recall,sample_sd_event_recall,mean_onset_f1,sample_sd_onset_f1,mean_onset_precision,sample_sd_onset_precision,mean_onset_recall,sample_sd_onset_recall,mean_onset_mae,sample_sd_onset_mae,mean_stress_subset_mae,sample_sd_stress_subset_mae
0.60,1,mae,gru_randomized_k32_retrieval,attribution_control,GRU-untrained,randomized,32,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0146196285222,0.000381785843056,0.0369495111541,0.000657538446873,0.803173998089,0.00938722690374,0.90337702695,0.0128594908425,0.7234375,0.020154971428,0.12795543554,0.00265650350491,0.0712183263068,0.00149428975598,0.629411764706,0.0151881699847,0.0698677655598,0.00100363734405,0.0495860363522,0.00118918864317
0.60,1,mae,gru_randomized_k4_retrieval,attribution_control,GRU-untrained,randomized,4,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.01391337904,0.000277855989219,0.0372508019704,0.00056959982264,0.771707790078,0.0110414970114,0.841868780042,0.0138024649481,0.7125,0.0142873611712,0.112092667649,0.00882174295148,0.0628091746109,0.00487008509752,0.520588235294,0.0460888598964,0.0729054780458,0.00216026776826,0.0475401136949,0.000878948064653
0.60,1,mae,gru_randomized_k8_retrieval,attribution_control,GRU-untrained,randomized,8,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0137580226355,0.000255666830255,0.0359358408451,0.000488623009436,0.779588163031,0.00724117992855,0.860198226116,0.0126968917748,0.712890625,0.00828640759203,0.125252399119,0.00508375708367,0.0698473188638,0.0028811430152,0.605882352941,0.0227822549777,0.0714667628938,0.000826804170878,0.0468427962288,0.000840291602641
0.60,1,mae,lstm_head,architecture_head,LSTM,,,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0151185620744,0.000847134450904,0.0323405365263,0.000623698904341,0.813972168617,0.0125691388104,0.901782276912,0.022742581971,0.74296875,0.0305254547127,0.150636541291,0.00589534955919,0.0826517010675,0.00343354600159,0.851470588235,0.0429865907223,0.0564012867637,0.00344211464181,0.044700468453,0.00116556674299
0.60,1,mae,raw_k16_retrieval,attribution_control,none,raw,16,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0247276576437,0,0.0554642436629,0,0.517333333333,0,0.81512605042,0,0.37890625,0,0.120576671035,0,0.0661870503597,1.46284727857e-17,0.676470588235,1.17027782286e-16,0.0534988644112,0,0.0741919737255,0
0.60,1,mae,raw_k32_retrieval,attribution_control,none,raw,32,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0261556336145,0,0.0571364359447,7.31423639287e-18,0.506963788301,1.17027782286e-16,0.883495145631,0,0.35546875,0,0.11013767209,0,0.0601915184679,7.31423639287e-18,0.647058823529,0,0.0501812627513,7.31423639287e-18,0.0767098857205,0
0.60,1,mae,raw_k4_retrieval,attribution_control,none,raw,4,True,p1_ieee_access_upgrade_v2,10,10,complete,False,False,descriptive_sensitivity,0.0238836608924,3.65711819643e-18,0.0563009522861,7.31423639287e-18,0.586797066015,1.17027782286e-16,0.78431372549,1.17027782286e-16,0.46875,0,0.128935532234,0,0.0717863105175,1.46284727857e-17,0.632352941176,0,0.0563971306621,7.31423639287e-18,0.0748527691105,0
0.60,1,mae,raw_k8_retrieval,attribution_control,none,raw,8,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0238095585962,3.65711819643e-18,0.0549911799809,7.31423639287e-18,0.545454545455,1.17027782286e-16,0.771428571429,1.17027782286e-16,0.421875,0,0.118644067797,1.46284727857e-17,0.065625,1.46284727857e-17,0.617647058824,0,0.0533170148383,0,0.0730902463631,0
0.60,1,mae,tcn_head,architecture_head,TCN,,,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0139863283805,0.00086449039278,0.0311618195364,0.000631047493676,0.82162290597,0.0133466988044,0.907993322424,0.0251242722238,0.7515625,0.0311521906834,0.146317360263,0.00562203665688,0.08102128671,0.00307680403177,0.757352941176,0.0628713496982,0.0583152888852,0.00353360949736,0.0414069917292,0.00109542490881
0.60,1,not_applicable,DirectPolicyTransform-Privileged,privileged_audit,,,,False,p1_ieee_access_upgrade_v2,1,1,complete,False,True,descriptive_sensitivity,0,0,0,0,1,0,1,0,1,0,0.236111111111,0,0.133858267717,0,1,0,0,0,0,0
0.60,1,not_applicable,Persistence,naive_baseline,,,,True,p1_ieee_access_upgrade_v2,1,1,complete,False,True,descriptive_sensitivity,0.0133698805313,0,0.0376433398413,0,0.8046875,0,0.8046875,0,0.8046875,0,0,0,0,0,0,0,0.0996983990777,0,0.0464064733604,0
0.60,1,not_applicable,Seasonal-24h,naive_baseline,,,,True,p1_ieee_access_upgrade_v2,1,1,complete,False,True,descriptive_sensitivity,0.0426413499914,0,0.0950255570462,0,0.38747553816,0,0.388235294118,0,0.38671875,0,0.0845070422535,0,0.048,0,0.352941176471,0,0.0914930092093,0,0.105245003731,0
0.60,1,onset_f1,Ridge,trained_baseline,linear,,,True,p1_ieee_access_upgrade_v2,1,1,complete,False,True,descriptive_sensitivity,0.0318471110248,0,0.0640610101388,0,0.506738544474,0,0.817391304348,0,0.3671875,0,0.112531969309,0,0.0597285067873,0,0.970588235294,0,0.0501367129074,0,0.084439980344,0
0.60,1,onset_f1,dlinear_head,architecture_head,DLinear,,,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0550079815447,0.020812822814,0.0946475645735,0.0113528789014,0.147457178966,0.118126233707,0.389089409158,0.219985545973,0.123828125,0.117028972636,0.0642872071734,0.0207902345003,0.0357563697967,0.010807344011,0.530882352941,0.285111288362,0.0846767534195,0.0122010280944,0.114098269327,0.0073438505439
0.60,1,onset_f1,gru_head,architecture_head,GRU,,,True,p1_ieee_access_upgrade_v2,10,10,complete,False,True,descriptive_sensitivity,0.0214510578767,0.00153285310028,0.0412005819491,0.00275555480904,0.690407561886,0.0763622707365,0.933959986855,0.026785149734,0.554296875,0.0923368978352,0.127585260418,0.00446119449245,0.0685236273589,0.00251345393118,0.925,0.0263523138348,0.0534671633602,0.00237604538023,0.0595660840124,0.00469450622789
