run_namespace,cap,horizon_hours,architecture,seed_index,seed,parameter_count,epochs,batch_size,checkpoint_epochs,execution_status,failure_code,sanitized_exception_class,training_runtime_s
p1_ieee_access_upgrade_v2,0.70,1,GRU,0,11,8257,20,256,5|10|15|20,completed,,,0.5794181
p1_ieee_access_upgrade_v2,0.70,1,LSTM,0,11,10993,20,256,5|10|15|20,completed,,,0.5010391
p1_ieee_access_upgrade_v2,0.70,1,DLinear,0,11,106,20,256,5|10|15|20,completed,,,0.3761982
p1_ieee_access_upgrade_v2,0.70,1,TCN,0,11,28273,20,256,5|10|15|20,completed,,,0.9255946
p1_ieee_access_upgrade_v2,0.70,1,GRU,1,23,8257,20,256,5|10|15|20,completed,,,0.5756675
p1_ieee_access_upgrade_v2,0.70,1,LSTM,1,23,10993,20,256,5|10|15|20,completed,,,0.5026267
p1_ieee_access_upgrade_v2,0.70,1,DLinear,1,23,106,20,256,5|10|15|20,completed,,,0.3737508
p1_ieee_access_upgrade_v2,0.70,1,TCN,1,23,28273,20,256,5|10|15|20,completed,,,0.8195771
p1_ieee_access_upgrade_v2,0.70,1,GRU,2,47,8257,20,256,5|10|15|20,completed,,,0.5213467
p1_ieee_access_upgrade_v2,0.70,1,LSTM,2,47,10993,20,256,5|10|15|20,completed,,,0.5111113
p1_ieee_access_upgrade_v2,0.70,1,DLinear,2,47,106,20,256,5|10|15|20,completed,,,0.3796343
p1_ieee_access_upgrade_v2,0.70,1,TCN,2,47,28273,20,256,5|10|15|20,completed,,,0.841651
p1_ieee_access_upgrade_v2,0.70,1,GRU,3,59,8257,20,256,5|10|15|20,completed,,,0.5915872
p1_ieee_access_upgrade_v2,0.70,1,LSTM,3,59,10993,20,256,5|10|15|20,completed,,,0.5115315
p1_ieee_access_upgrade_v2,0.70,1,DLinear,3,59,106,20,256,5|10|15|20,completed,,,0.3928482
p1_ieee_access_upgrade_v2,0.70,1,TCN,3,59,28273,20,256,5|10|15|20,completed,,,0.8516431
p1_ieee_access_upgrade_v2,0.70,1,GRU,4,71,8257,20,256,5|10|15|20,completed,,,0.5522516
p1_ieee_access_upgrade_v2,0.70,1,LSTM,4,71,10993,20,256,5|10|15|20,completed,,,0.5214889
p1_ieee_access_upgrade_v2,0.70,1,DLinear,4,71,106,20,256,5|10|15|20,completed,,,0.3876034
p1_ieee_access_upgrade_v2,0.70,1,TCN,4,71,28273,20,256,5|10|15|20,completed,,,0.8317331
p1_ieee_access_upgrade_v2,0.70,1,GRU,5,83,8257,20,256,5|10|15|20,completed,,,0.5569576
p1_ieee_access_upgrade_v2,0.70,1,LSTM,5,83,10993,20,256,5|10|15|20,completed,,,0.5074638
p1_ieee_access_upgrade_v2,0.70,1,DLinear,5,83,106,20,256,5|10|15|20,completed,,,0.3765635
p1_ieee_access_upgrade_v2,0.70,1,TCN,5,83,28273,20,256,5|10|15|20,completed,,,0.8111055
p1_ieee_access_upgrade_v2,0.70,1,GRU,6,97,8257,20,256,5|10|15|20,completed,,,0.5366734
p1_ieee_access_upgrade_v2,0.70,1,LSTM,6,97,10993,20,256,5|10|15|20,completed,,,0.5074059
p1_ieee_access_upgrade_v2,0.70,1,DLinear,6,97,106,20,256,5|10|15|20,completed,,,0.3804655
p1_ieee_access_upgrade_v2,0.70,1,TCN,6,97,28273,20,256,5|10|15|20,completed,,,0.8043726
p1_ieee_access_upgrade_v2,0.70,1,GRU,7,109,8257,20,256,5|10|15|20,completed,,,0.5463129
p1_ieee_access_upgrade_v2,0.70,1,LSTM,7,109,10993,20,256,5|10|15|20,completed,,,0.558648
p1_ieee_access_upgrade_v2,0.70,1,DLinear,7,109,106,20,256,5|10|15|20,completed,,,0.3770419
p1_ieee_access_upgrade_v2,0.70,1,TCN,7,109,28273,20,256,5|10|15|20,completed,,,0.8066568
p1_ieee_access_upgrade_v2,0.70,1,GRU,8,127,8257,20,256,5|10|15|20,completed,,,0.6149133
p1_ieee_access_upgrade_v2,0.70,1,LSTM,8,127,10993,20,256,5|10|15|20,completed,,,0.498755
p1_ieee_access_upgrade_v2,0.70,1,DLinear,8,127,106,20,256,5|10|15|20,completed,,,0.3719455
p1_ieee_access_upgrade_v2,0.70,1,TCN,8,127,28273,20,256,5|10|15|20,completed,,,0.8087431
p1_ieee_access_upgrade_v2,0.70,1,GRU,9,139,8257,20,256,5|10|15|20,completed,,,0.6105683
p1_ieee_access_upgrade_v2,0.70,1,LSTM,9,139,10993,20,256,5|10|15|20,completed,,,0.61073
p1_ieee_access_upgrade_v2,0.70,1,DLinear,9,139,106,20,256,5|10|15|20,completed,,,0.3789492
p1_ieee_access_upgrade_v2,0.70,1,TCN,9,139,28273,20,256,5|10|15|20,completed,,,0.8148737
p1_ieee_access_upgrade_v2,0.70,24,GRU,0,11,8257,20,256,5|10|15|20,completed,,,0.5152434
p1_ieee_access_upgrade_v2,0.70,24,LSTM,0,11,10993,20,256,5|10|15|20,completed,,,0.4997175
p1_ieee_access_upgrade_v2,0.70,24,DLinear,0,11,106,20,256,5|10|15|20,completed,,,0.3745255
p1_ieee_access_upgrade_v2,0.70,24,TCN,0,11,28273,20,256,5|10|15|20,completed,,,0.8073256
p1_ieee_access_upgrade_v2,0.70,24,GRU,1,23,8257,20,256,5|10|15|20,completed,,,0.51691
p1_ieee_access_upgrade_v2,0.70,24,LSTM,1,23,10993,20,256,5|10|15|20,completed,,,0.5086901
p1_ieee_access_upgrade_v2,0.70,24,DLinear,1,23,106,20,256,5|10|15|20,completed,,,0.3769767
p1_ieee_access_upgrade_v2,0.70,24,TCN,1,23,28273,20,256,5|10|15|20,completed,,,0.8136486
p1_ieee_access_upgrade_v2,0.70,24,GRU,2,47,8257,20,256,5|10|15|20,completed,,,0.5194767
p1_ieee_access_upgrade_v2,0.70,24,LSTM,2,47,10993,20,256,5|10|15|20,completed,,,0.4963587
p1_ieee_access_upgrade_v2,0.70,24,DLinear,2,47,106,20,256,5|10|15|20,completed,,,0.3748431
p1_ieee_access_upgrade_v2,0.70,24,TCN,2,47,28273,20,256,5|10|15|20,completed,,,0.8384577
p1_ieee_access_upgrade_v2,0.70,24,GRU,3,59,8257,20,256,5|10|15|20,completed,,,0.510943
p1_ieee_access_upgrade_v2,0.70,24,LSTM,3,59,10993,20,256,5|10|15|20,completed,,,0.5000969
p1_ieee_access_upgrade_v2,0.70,24,DLinear,3,59,106,20,256,5|10|15|20,completed,,,0.3704256
p1_ieee_access_upgrade_v2,0.70,24,TCN,3,59,28273,20,256,5|10|15|20,completed,,,0.7902565
p1_ieee_access_upgrade_v2,0.70,24,GRU,4,71,8257,20,256,5|10|15|20,completed,,,0.5103161
p1_ieee_access_upgrade_v2,0.70,24,LSTM,4,71,10993,20,256,5|10|15|20,completed,,,0.5121484
p1_ieee_access_upgrade_v2,0.70,24,DLinear,4,71,106,20,256,5|10|15|20,completed,,,0.3749244
p1_ieee_access_upgrade_v2,0.70,24,TCN,4,71,28273,20,256,5|10|15|20,completed,,,0.8096516
p1_ieee_access_upgrade_v2,0.70,24,GRU,5,83,8257,20,256,5|10|15|20,completed,,,0.5609828
p1_ieee_access_upgrade_v2,0.70,24,LSTM,5,83,10993,20,256,5|10|15|20,completed,,,0.5250462
p1_ieee_access_upgrade_v2,0.70,24,DLinear,5,83,106,20,256,5|10|15|20,completed,,,0.4232406
p1_ieee_access_upgrade_v2,0.70,24,TCN,5,83,28273,20,256,5|10|15|20,completed,,,0.8462434
p1_ieee_access_upgrade_v2,0.70,24,GRU,6,97,8257,20,256,5|10|15|20,completed,,,0.5324806
p1_ieee_access_upgrade_v2,0.70,24,LSTM,6,97,10993,20,256,5|10|15|20,completed,,,0.5100453
p1_ieee_access_upgrade_v2,0.70,24,DLinear,6,97,106,20,256,5|10|15|20,completed,,,0.3836122
p1_ieee_access_upgrade_v2,0.70,24,TCN,6,97,28273,20,256,5|10|15|20,completed,,,0.82856
p1_ieee_access_upgrade_v2,0.70,24,GRU,7,109,8257,20,256,5|10|15|20,completed,,,0.5223056
p1_ieee_access_upgrade_v2,0.70,24,LSTM,7,109,10993,20,256,5|10|15|20,completed,,,0.5112683
p1_ieee_access_upgrade_v2,0.70,24,DLinear,7,109,106,20,256,5|10|15|20,completed,,,0.3722338
p1_ieee_access_upgrade_v2,0.70,24,TCN,7,109,28273,20,256,5|10|15|20,completed,,,0.8403507
p1_ieee_access_upgrade_v2,0.70,24,GRU,8,127,8257,20,256,5|10|15|20,completed,,,0.5194237
p1_ieee_access_upgrade_v2,0.70,24,LSTM,8,127,10993,20,256,5|10|15|20,completed,,,0.5105882
