metric,effect,qwen_effect,granite_effect,granite_minus_qwen,ci_low,ci_high,cluster_count,bootstrap_samples
correct_int,backbone_x_context_compact_main,-0.05277777777777778,0.013888888888888888,0.06666666666666667,-0.03750180635838147,0.18009646564460718,70,20000
correct_int,backbone_x_shape_hint_main,0.23055555555555557,0.15833333333333333,-0.07222222222222222,-0.12301639242084267,-0.027172859791034808,70,20000
correct_int,backbone_x_interaction,-0.12777777777777777,0.06111111111111111,0.18888888888888888,0.006711409395973154,0.4310370638034274,70,20000
shape_int,backbone_x_context_compact_main,-0.03333333333333333,0.013888888888888888,0.04722222222222222,-0.03763440860215054,0.13514073465730875,70,20000
shape_int,backbone_x_shape_hint_main,0.49444444444444446,0.4527777777777778,-0.041666666666666664,-0.1811233732623484,0.10489618406285063,70,20000
shape_int,backbone_x_interaction,0.05555555555555555,0.06111111111111111,0.005555555555555556,-0.18355029079712615,0.17427598680710696,70,20000
