condition,metric,qwen_mean,granite_mean,granite_minus_qwen,ci_low,ci_high,cluster_count,mcnemar_qwen_only,mcnemar_granite_only,mcnemar_p,mcnemar_p_holm
F00_Full_NoShape,correct_int,0.4222222222222222,0.42777777777777776,0.005555555555555556,-0.03164556962025317,0.04697986577181208,70,5,6,1.0,1.0
F00_Full_NoShape,shape_int,0.5,0.45555555555555555,-0.044444444444444446,-0.2222222222222222,0.14213318257271385,70,24,16,0.26818725105476915,1.0
F01_Full_WithShape,correct_int,0.7166666666666667,0.5555555555555556,-0.16111111111111112,-0.2974917799697858,-0.048384315906563086,70,35,6,4.873598300036974e-06,3.8988786400295794e-05
F01_Full_WithShape,shape_int,0.9666666666666667,0.8777777777777778,-0.08888888888888889,-0.2248833732057416,0.01250196540880486,70,20,4,0.001543879508972168,0.010807156562805176
F10_Compact_NoShape,correct_int,0.43333333333333335,0.4111111111111111,-0.022222222222222223,-0.08,0.023923444976076555,70,8,4,0.3876953125,1.0
F10_Compact_NoShape,shape_int,0.4388888888888889,0.4388888888888889,0,-0.08040538261778686,0.08854166666666667,70,9,9,1.0,1.0
F11_Compact_WithShape,correct_int,0.6,0.6,0,-0.1019178018503881,0.10945273631840796,70,12,12,1.0,1.0
F11_Compact_WithShape,shape_int,0.9611111111111111,0.9222222222222223,-0.03888888888888889,-0.09090909090909091,0.0055248618784530384,70,11,4,0.11846923828124999,0.7108154296874999
