condition,n,execution_correct,execution_accuracy,shape_correct,shape_accuracy
F00_Full_NoShape,180,77,0.42777777777777776,82,0.45555555555555555
F01_Full_WithShape,180,100,0.5555555555555556,158,0.8777777777777778
F10_Compact_NoShape,180,74,0.4111111111111111,79,0.4388888888888889
F11_Compact_WithShape,180,108,0.6,166,0.9222222222222223
