contrast,baseline,treatment,metric,baseline_mean,treatment_mean,effect,ci_low,ci_high,cluster_count,mcnemar_baseline_only,mcnemar_treatment_only,mcnemar_p,mcnemar_p_holm
shape_at_full,F00_Full_NoShape,F01_Full_WithShape,correct_int,0.42777777777777776,0.5555555555555556,0.12777777777777777,-0.10185185185185185,0.3622547095761373,70,19,42,0.004444019471066869,0.022220097355334346
shape_at_full,F00_Full_NoShape,F01_Full_WithShape,shape_int,0.45555555555555555,0.8777777777777778,0.4222222222222222,0.23880597014925373,0.6294125111973723,70,3,79,3.803541892641332e-20,2.6624793248489323e-19
compact_at_no_shape,F00_Full_NoShape,F10_Compact_NoShape,correct_int,0.42777777777777776,0.4111111111111111,-0.016666666666666666,-0.078125,0.031088082901554404,70,9,6,0.6072387695312499,1.0
compact_at_no_shape,F00_Full_NoShape,F10_Compact_NoShape,shape_int,0.45555555555555555,0.4388888888888889,-0.016666666666666666,-0.09036144578313253,0.05000698324022285,70,11,8,0.6476058959960938,1.0
shape_at_compact,F10_Compact_NoShape,F11_Compact_WithShape,correct_int,0.4111111111111111,0.6,0.18888888888888888,0.03614302571109181,0.37984665380318866,70,6,40,3.1028037028590916e-07,1.861682221715455e-06
shape_at_compact,F10_Compact_NoShape,F11_Compact_WithShape,shape_int,0.4388888888888889,0.9222222222222223,0.48333333333333334,0.27717391304347827,0.6787572617365363,70,4,91,1.6794639150698915e-22,1.3435711320559132e-21
compact_at_with_shape,F01_Full_WithShape,F11_Compact_WithShape,correct_int,0.5555555555555556,0.6,0.044444444444444446,-0.06547862997658076,0.17059182209469123,70,11,19,0.20048842206597334,0.6745501756668091
compact_at_with_shape,F01_Full_WithShape,F11_Compact_WithShape,shape_int,0.8777777777777778,0.9222222222222223,0.044444444444444446,-0.06206896551724138,0.17269286570365214,70,9,17,0.16863754391670227,0.6745501756668091
