actual_words,budget_utilization,condition,doc_id,estimated_total_seconds,preprocess_seconds_shared,python_peak_memory_mb,redundancy,report_series_id,role_coverage,rouge1_f1,rouge2_f1,rougeL_f1,selected_units,selection_and_scoring_seconds,status,typed_edge_coverage,word_budget
108,0.9818181818181818,AB-0,nerc_003_january_2025_arctic_events_a_system_perfor,0.24606860004132614,0.07655270001851022,0.9929656982421875,0.24961240310077523,nerc_003_january_2025_arctic_events_a_system_perfor,0.6666666666666666,0.22469135802469134,0.11633663366336634,0.1308641975308642,3,0.1695159000228159,PASS,0.6666666666666666,110
110,1.0,AB-1,nerc_003_january_2025_arctic_events_a_system_perfor,0.23283730004914105,0.07655270001851022,0.9932785034179688,0.20174915523752732,nerc_003_january_2025_arctic_events_a_system_perfor,0.6666666666666666,0.22413793103448273,0.10864197530864197,0.1330049261083744,3,0.15628460003063083,PASS,0.6666666666666666,110
108,0.9818181818181818,AB-2,nerc_003_january_2025_arctic_events_a_system_perfor,0.22292040003230795,0.07655270001851022,0.98236083984375,0.1481010249985582,nerc_003_january_2025_arctic_events_a_system_perfor,1.0,0.23427866831072752,0.12360939431396785,0.1405672009864365,4,0.14636770001379773,PASS,1.0,110
109,0.990909090909091,AB-3,nerc_003_january_2025_arctic_events_a_system_perfor,0.22425630001816899,0.07655270001851022,0.9824676513671875,0.0973005973005973,nerc_003_january_2025_arctic_events_a_system_perfor,1.0,0.23124231242312426,0.11097410604192355,0.1328413284132841,4,0.14770359999965876,PASS,1.0,110
109,0.990909090909091,AB-4,nerc_003_january_2025_arctic_events_a_system_perfor,0.21763710002414882,0.07655270001851022,0.9822158813476562,0.062194970890623064,nerc_003_january_2025_arctic_events_a_system_perfor,1.0,0.20468557336621454,0.0815822002472188,0.11097410604192354,3,0.1410844000056386,PASS,1.0,110
109,0.990909090909091,AB-5,nerc_003_january_2025_arctic_events_a_system_perfor,0.21717110002646223,0.07655270001851022,0.982208251953125,0.062194970890623064,nerc_003_january_2025_arctic_events_a_system_perfor,1.0,0.20468557336621454,0.0815822002472188,0.11097410604192354,3,0.140618400007952,PASS,1.0,110
109,0.990909090909091,AB-6,nerc_003_january_2025_arctic_events_a_system_perfor,0.2246564999804832,0.07655270001851022,0.9847793579101562,0.0973005973005973,nerc_003_january_2025_arctic_events_a_system_perfor,1.0,0.23124231242312426,0.11097410604192355,0.1328413284132841,4,0.14810379996197298,PASS,1.0,110
110,1.0,RP-00,nerc_003_january_2025_arctic_events_a_system_perfor,0.24919350002892315,0.07655270001851022,1.0599136352539062,0.05671055671055671,nerc_003_january_2025_arctic_events_a_system_perfor,0.6666666666666666,0.21375921375921378,0.09113300492610837,0.13022113022113022,4,0.17264080001041293,PASS,0.75,110
109,0.990909090909091,RP-10,nerc_003_january_2025_arctic_events_a_system_perfor,0.22388090007007122,0.07655270001851022,0.9848556518554688,0.0973005973005973,nerc_003_january_2025_arctic_events_a_system_perfor,1.0,0.23124231242312426,0.11097410604192355,0.1328413284132841,4,0.147328200051561,PASS,1.0,110
110,1.0,RP-01,nerc_003_january_2025_arctic_events_a_system_perfor,0.24722309998469427,0.07655270001851022,1.0234146118164062,0.05671055671055671,nerc_003_january_2025_arctic_events_a_system_perfor,0.6666666666666666,0.21375921375921378,0.09113300492610837,0.13022113022113022,4,0.17067039996618405,PASS,0.75,110
