word_budget,condition,reports,failure_rate,rougeL_f1,redundancy,role_coverage,typed_edge_coverage,actual_words,budget_utilization,estimated_total_seconds,python_peak_memory_mb
110,AB-0,12,0.0,0.07988596419878304,0.18199776067215853,0.4444444444444444,0.6513888888888889,107.91666666666667,0.9810606060606061,0.3828341833383699,1.200934886932373
110,AB-1,12,0.0,0.08406043031691113,0.18314711189539304,0.5833333333333334,0.8805555555555555,107.75,0.9795454545454545,0.3766572333455163,1.1827908356984456
110,AB-2,12,0.0,0.08599761192503136,0.0924765725580231,0.9722222222222222,0.9416666666666668,107.91666666666667,0.9810606060606061,0.3690695833308079,1.181763728459676
110,AB-3,12,0.0,0.08413064371839361,0.09720265633359625,0.9444444444444445,0.9791666666666666,107.83333333333333,0.9803030303030303,0.36683114999808214,1.1767834822336833
110,AB-4,12,0.0,0.08022235665435173,0.07565956202958697,0.9444444444444445,1.0,107.58333333333333,0.978030303030303,0.3669071500044083,1.1832950909932454
110,AB-5,12,0.0,0.07981168529777014,0.06753858639745573,0.9444444444444445,1.0,107.16666666666667,0.9742424242424242,0.36665901667341433,1.1790493329366047
110,AB-6,12,0.0,0.082653414832692,0.08539703409353716,0.9444444444444445,0.9652777777777778,107.75,0.9795454545454546,0.3686269583364871,1.1767852306365967
110,RP-00,12,0.0,0.083422706759286,0.08642787360537023,0.611111111111111,0.9791666666666666,108.58333333333333,0.9871212121212122,0.38242609999724664,1.197866439819336
110,RP-10,12,0.0,0.082653414832692,0.08539703409353716,0.9444444444444445,0.9652777777777778,107.75,0.9795454545454546,0.36812667502090335,1.1768132050832112
110,RP-01,12,0.0,0.08162143484623798,0.07150510675579787,0.6388888888888888,0.9625,107.58333333333333,0.978030303030303,0.38497558333619963,1.186002492904663
110,RP-11,12,0.0,0.07981168529777014,0.06753858639745573,0.9444444444444445,1.0,107.16666666666667,0.9742424242424242,0.3667742750258185,1.1813883781433105
110,G-U,12,0.0,0.08237956302750432,0.08751753415981485,0.9444444444444445,0.9416666666666668,107.0,0.9727272727272728,0.433784699998796,1.1730319658915203
110,G-T,12,0.0,0.082653414832692,0.08539703409353716,0.9444444444444445,0.9652777777777778,107.75,0.9795454545454546,0.36715487500381033,1.176768700281779
260,AB-0,12,0.0,0.12683362105857274,0.15933789240085192,0.611111111111111,0.6573743386243386,258.0,0.9923076923076923,0.6328423083323287,2.526912053426107
260,AB-1,12,0.0,0.12518593481017906,0.15269330727499306,0.75,0.8480820105820106,257.75,0.9913461538461538,0.6297578333421067,2.532988707224528
260,AB-2,12,0.0,0.12217562447656032,0.11653290976467258,0.9722222222222222,0.8799603174603176,257.5833333333333,0.9907051282051281,0.6284821250010282,2.542543967564901
260,AB-3,12,0.0,0.12241387210081543,0.11375973776241026,1.0,0.9487433862433862,258.25,0.9932692307692307,0.613120541665315,2.514464775721232
260,AB-4,12,0.0,0.12623905653085352,0.09485297068967836,1.0,0.9710648148148149,258.8333333333333,0.9955128205128205,0.6226029250149926,2.5324625968933105
260,AB-5,12,0.0,0.12463104831945819,0.06493055767470925,1.0,0.9895833333333334,258.5,0.9942307692307693,0.6429631166732482,2.54043181737264
260,AB-6,12,0.0,0.12196649670129482,0.07762558991308897,1.0,0.9672619047619048,258.1666666666667,0.992948717948718,0.6174377333372831,2.5188121795654297
260,RP-00,12,0.0,0.12078885619306878,0.07825693819432569,0.7777777777777777,0.9340277777777778,258.75,0.9951923076923078,0.6391264916746877,2.5226293404897056
260,RP-10,12,0.0,0.12196649670129482,0.07762558991308897,1.0,0.9672619047619048,258.1666666666667,0.992948717948718,0.616465725004673,2.518782297770182
260,RP-01,12,0.0,0.1226388027297175,0.06192385673951776,0.75,0.9833333333333334,257.8333333333333,0.9916666666666667,0.6424430499998076,2.536457061767578
260,RP-11,12,0.0,0.12463104831945819,0.06493055767470925,1.0,0.9895833333333334,258.5,0.9942307692307693,0.6398394000037418,2.5235536893208823
260,G-U,12,0.0,0.11878548248504245,0.09025705784898068,1.0,0.8640873015873015,258.0,0.9923076923076923,0.6837264166679233,2.521101951599121
260,G-T,12,0.0,0.12196649670129482,0.07762558991308897,1.0,0.9672619047619048,258.1666666666667,0.992948717948718,0.6166140916611766,2.518622080485026
